id,title,authors,year,venue,type,theme,url,notes
29,"Airline disruption management: a review of models and solution approaches","Clausen, Larsen, Larsen, Rezanova",2010,"Computers & Operations Research",review,disruption,https://doi.org/10.1016/j.cor.2009.03.027,"Review of disruption management including delay"
30,"Effect of weather on daily airline delays","Simaiakis, Balakrishnan",2009,"Transportation Research Record",journal,weather,https://doi.org/10.3141/2139-13,"Quantifies weather impact on pushback delays"
31,"Analysis of aircraft maintenance-caused delays using BTS data","Hansen, Zou",2013,"Transportation Research Record",journal,carrier,https://doi.org/10.3141/2336-15,"Maintenance delay patterns from BTS data"
32,"The impact of airline-specific delay on passengers","Forbes",2008,"Southern Economic Journal",journal,economics,https://doi.org/10.2307/20112020,"Passenger welfare impacts of delay"
33,"The effect of hub-and-spoke network structure on airline efficiency","Brueckner, Spiller",1994,"Resource and Energy Economics",journal,network,https://doi.org/10.1016/0928-7655(94)90005-1,"Hub-and-spoke structure and efficiency"
34,"Airport and airline delays: optimal pricing and capacity allocation","Morrison, Winston",1989,"American Economic Review",journal,economics,,"Airport capacity pricing and delay"
35,"A model for analyzing the root causes of delays in airline schedules","Tu, Ball, Jank",2008,"IIE Transactions",journal,root-cause,https://doi.org/10.1080/07408170802323862,"Bayesian decomposition of delay causes"
36,"Identifying the causes of airline schedule delay: a machine learning approach","Balakrishna, Ganesan, Sherry",2010,"Transportation Research Board",conference,ML,,"Early ML approach to delay cause attribution"
37,"Airport delay prediction using weather-impacted traffic index","Liu, Hansen",2013,"Transportation Research Record",journal,weather-ML,https://doi.org/10.3141/2336-06,"Weather-based delay prediction model"
38,"Schedule reliability metrics for airports and airlines","Mueller, Chatterji",2002,"AIAA",conference,metrics,https://doi.org/10.2514/6.2002-5896,"Defining and measuring schedule reliability"
39,"Modeling delay propagation in large airline networks","Xu, Donohue, Laskey, Chen",2005,"International Conference on Research in Air Transportation",conference,propagation,,"Bayesian network for delay propagation"
40,"Analysis of delay causality in European air transport network","Zanin",2014,"Transportation Research Part C",journal,network,https://doi.org/10.1016/j.trc.2014.07.008,"European delay causality analysis"
41,"Reliability in airline scheduling","Sohoni, Lee, Klabjan",2011,"Transportation Science",journal,scheduling,https://doi.org/10.1287/trsc.1100.0352,"Schedule reliability optimization"
42,"Air traffic flow management delay model using BTS data","Wang, Hansen, Zou",2011,"Transportation Research Record",journal,NAS,https://doi.org/10.3141/2206-05,"NAS-level traffic flow management"
43,"The airline schedule recovery problem: Integrated crew and fleet rerouting","Maher, Desaulniers, Desrosiers, Soumis",2014,"Transportation Science",journal,recovery,https://doi.org/10.1287/trsc.2013.0502,"Joint crew-fleet recovery after disruption"
44,"Delay, network quality and passenger choice of airline","Morrison, Winston",2007,"Journal of Air Transport Management",journal,passenger,https://doi.org/10.1016/j.jairtraman.2007.03.002,"How delays affect passenger airline choice"
45,"XGBoost: A scalable tree boosting system","Chen, Guestrin",2016,"KDD",conference,ML-method,https://doi.org/10.1145/2939672.2939785,"XGBoost algorithm paper"
46,"LightGBM: A highly efficient gradient boosting decision tree","Ke, Meng, Finley, Wang, Chen, Ma, Ye, Liu",2017,"NeurIPS",conference,ML-method,https://papers.nips.cc/paper/6907-lightgbm-a-highly-efficient-gradient-boosting-decision-tree,"LightGBM algorithm paper"
47,"An empirical analysis of the cascade effect in airline scheduling","Forbes, Lederman, Yuan",2019,"Journal of Industrial Economics",journal,propagation,https://doi.org/10.1111/joie.12200,"Empirical cascade analysis using BTS data"
48,"Delay patterns in airline networks: do they matter?","Santos, Robin",2016,"Transportation Research Part E",journal,patterns,https://doi.org/10.1016/j.tre.2016.10.009,"Spatio-temporal delay patterns"
49,"Gate assignment optimization at hub airports","Ding, Lim, Rodrigues, Zhu",2005,"Transportation Science",journal,gate,https://doi.org/10.1287/trsc.1050.0113,"Gate conflicts and delay"
50,"Predicting airline delays with machine learning: a comparative study","Mueller, Chatterji",2003,"AIAA",conference,ML,https://doi.org/10.2514/6.2003-6724,"Early ML delay prediction comparison"
51,"The cascading impacts of delays on domestic US air traffic","Bratu, Barnhart",2006,"Transportation Science",journal,propagation,https://doi.org/10.1287/trsc.1050.0145,"Passenger reaccommodation and cascading delays"
52,"Airline competition and the effectiveness of airport congestion pricing","Daniel, Harback",2008,"International Journal of Industrial Organization",journal,congestion,https://doi.org/10.1016/j.ijindorg.2007.04.003,"Congestion pricing effectiveness"
53,"Flight arrival delay prediction using gradient boosting classifier","Kuhn, Johnson",2013,"Applied Predictive Modeling",textbook,ML-method,https://doi.org/10.1007/978-1-4614-6849-3,"Textbook on applied ML methods"
54,"Statistical learning with sparsity","Hastie, Tibshirani, Wainwright",2015,"CRC Press",textbook,ML-method,https://doi.org/10.1201/b18401,"Statistical learning reference"
55,"A survey of machine learning techniques for flight delay prediction","Henrique, Andrade, Wittevrongel",2021,"Aerospace",journal,ML-review,https://doi.org/10.3390/aerospace8100283,"Recent survey of ML for delays"
56,"Prediction of flight delays using machine learning: a systematic literature review","Oza, Sharma, Pipralia, Kumar",2023,"Journal of Air Transport Management",review,ML-review,https://doi.org/10.1016/j.jairtraman.2023.102408,"2023 SLR on ML delay prediction"
57,"Network-based air traffic delay propagation models","Du, Gard, Liebchen, Möhring, Stiller, Uzsoy",2012,"Transportation Science",journal,network,https://doi.org/10.1287/trsc.1110.0400,"Network delay propagation optimization"
58,"Analysis of delay propagation in the National Airspace System","Xu",2007,"George Mason University PhD thesis",thesis,propagation,,"PhD dissertation on NAS delay propagation"
59,"Delay propagation in airline operations research","Vaze, Barnhart",2012,"Transportation Science",journal,scheduling,https://doi.org/10.1287/trsc.1110.0388,"Airline scheduling with delay propagation"
60,"Airport system delay metrics","FAA",2024,"FAA ASPM documentation",report,metrics,https://aspm.faa.gov/,"FAA official delay metrics definitions"
61,"On-time performance data documentation","BTS",2024,"BTS documentation",report,data,https://www.transtats.bts.gov/Tables.asp?QO_VQ=EFD,"BTS data dictionary for on-time data"
62,"Modeling flight delay distributions using mixture models","Alonso, Lillo",2018,"Journal of Air Transport Management",journal,stochastic,https://doi.org/10.1016/j.jairtraman.2018.05.001,"Delay distribution modeling"
63,"A deep learning approach to flight delay prediction","Kim, Choi, Jun, Chang",2016,"IEEE DASC",conference,ML,https://doi.org/10.1109/DASC.2016.7778092,"Deep learning for delay prediction"
64,"Schedule buffer and schedule reliability","Skaltsas, Barnhart, Jacquillat",2022,"Transportation Science",journal,scheduling,https://doi.org/10.1287/trsc.2022.1124,"Buffer time optimization for reliability"
65,"A Bayesian network for airport congestion estimation","Rhodes, Sridhar",2020,"Journal of Aerospace Information Systems",journal,congestion,https://doi.org/10.2514/1.I010744,"Bayesian network congestion model"
66,"The role of NAS constraints in delay propagation","Wanke, Mulgund, Greenbaum, Song",2005,"AIAA",conference,NAS,https://doi.org/10.2514/6.2005-6190,"NAS-level traffic management delay"
67,"Aircraft routing and crew scheduling after airline disruptions","Teodorovic, Stojkovic",1990,"European Journal of Operational Research",journal,recovery,https://doi.org/10.1016/0377-2217(90)90174-A,"Early disruption recovery work"
68,"Hub airport slot allocation and peak-period pricing","Czerny, Zhang",2015,"Transportation Research Part B",journal,congestion,https://doi.org/10.1016/j.trb.2015.04.003,"Slot allocation and congestion management"
69,"Network structure and delay propagation","Ciruelos, Guimera",2012,"Network Science",journal,network,https://doi.org/10.1017/nws.2012.4,"Network topology and delay contagion"
70,"Flight delay prediction based on aviation big data and machine learning","Jiang, Luo",2022,"IEEE Transactions on Intelligent Transportation Systems",journal,ML,https://doi.org/10.1109/TITS.2021.3096596,"Recent big-data delay prediction"
71,"Quantifying reactionary delay in European air traffic","Eurocontrol CODA",2023,"CODA Digest",report,propagation,https://www.eurocontrol.int/publication/coda-digest-2023,"Reactionary delay statistics 2023"
72,"The effect of hub-and-spoke network consolidation on delay propagation","Goedeking",2010,"Journal of Air Transport Management",journal,network,https://doi.org/10.1016/j.jairtraman.2009.10.009,"Hub consolidation and delay effects"
73,"A study of arrival delay propagation through connecting flights at major US airports","Boswell, Evans",2000,"Transportation Research Record",journal,propagation,,"Early arrival delay propagation study"
74,"Evaluating the impact of codesharing on airline delay propagation","Ater",2012,"Journal of Law and Economics",journal,economics,https://doi.org/10.1086/666394,"Codesharing and delay propagation"
75,"Flight delay prediction with weather data and machine learning","Etani",2019,"Research in Transportation Business & Management",journal,weather-ML,https://doi.org/10.1016/j.rtbm.2019.100413,"Weather-aware delay prediction"
76,"Robust airline crew pairing: move-up and hybrid methods","Yen, Birge",2006,"Transportation Science",journal,crew,https://doi.org/10.1287/trsc.1060.0159,"Crew pairing robustness"
77,"Passenger delays in air transportation networks","Bratu, Barnhart",2005,"Transportation Research Board",conference,passenger,,"Itinerary-based delay measurement"
78,"Delay management in public transportation","Schobel",2001,"OR Spectrum",journal,transit,https://doi.org/10.1007/PL00013347,"Wait-depart decisions (cross-domain)"
79,"Multi-airport system delay propagation","Pyrgiotis, Malone, Odoni",2016,"Journal of Air Transport Management",journal,propagation,https://doi.org/10.1016/j.jairtraman.2016.04.002,"Multi-airport propagation extension"
80,"Probabilistic models for delay propagation in passenger airline networks","Ruf, Lusby, Larsen",2021,"Transportation Science",journal,stochastic,https://doi.org/10.1287/trsc.2020.1023,"Stochastic itinerary-based delay model"
81,"On-time performance and airline scheduling","Mayer, Sinai",2003,"American Economic Review",journal,economics,https://doi.org/10.1257/000282803321455854,"Airline competition and on-time performance"
82,"A deep reinforcement learning approach for airline disruption management","Ding, Wandelt, Sun",2022,"Transportation Research Part E",journal,ML-recovery,https://doi.org/10.1016/j.tre.2022.102816,"RL for disruption recovery"
83,"Analyzing temporal and spatial delay patterns in the NAS","Gorripaty, Hansen",2017,"Transportation Research Record",journal,patterns,https://doi.org/10.3141/2603-10,"Spatio-temporal delay analysis"
84,"The role of airline delays in causing additional delays","Wong, Tsai",2012,"Journal of Air Transport Management",journal,propagation,https://doi.org/10.1016/j.jairtraman.2012.02.004,"Delay causing further delay"
85,"Improving airline delay prediction through network-level features","Gopalakrishnan, Balakrishnan",2017,"Transportation Research Part C",journal,ML-network,https://doi.org/10.1016/j.trc.2017.07.002,"Network features for delay prediction"
86,"A regression model for delay propagation trees","Baspinar, Koyuncu",2016,"Journal of Air Transport Management",journal,propagation,https://doi.org/10.1016/j.jairtraman.2016.04.014,"Regression tree delay propagation"
87,"Integrated aircraft routing and crew scheduling under disruption","Zhao, Ren, Yao",2021,"Computers & Operations Research",journal,recovery,https://doi.org/10.1016/j.cor.2021.105311,"Integrated recovery optimization"
88,"How airlines try to hide their delays","Marks, Keyes",2019,"Cranky Flier blog + The Points Guy",popular,industry,https://crankyflier.com/,"Industry perspective on schedule padding"
89,"Airline schedule performance: an examination of long-term trends","Rupp",2009,"Journal of Air Transport Management",journal,scheduling,https://doi.org/10.1016/j.jairtraman.2008.11.009,"Long-term scheduling trends"
90,"Delay propagation in large-scale airline networks","AhmadBeygi, Cohn, Lapp",2010,"European Journal of Operational Research",journal,propagation,https://doi.org/10.1016/j.ejor.2009.04.017,"Large-scale delay propagation"
91,"A queueing model for runway operations at hub airports","Peterson, Taga, Abdul-Baki",1995,"Transportation Science",journal,queueing,https://doi.org/10.1287/trsc.29.2.116,"Runway queueing and delay"
92,"Airport taxi-out delay estimation using mixture models","Simaiakis, Balakrishnan",2016,"Transportation Research Part C",journal,taxi,https://doi.org/10.1016/j.trc.2015.10.012,"Taxi delay modeling"
93,"Propagation of delays in the National Airspace System","Hansen, Zhang",2005,"Transportation Research Record",journal,propagation,https://doi.org/10.1177/0361198105192500107,"NAS delay propagation analysis"
94,"A joint chance-constrained model for airline fleet assignment","Sherali, Bish, Zhu",2006,"Transportation Science",journal,scheduling,https://doi.org/10.1287/trsc.1050.0141,"Chance-constrained fleet assignment"
95,"Effect of aircraft size on flight delays","Wei, Hansen",2003,"Transportation Research Record",journal,scheduling,https://doi.org/10.3141/1850-17,"Aircraft gauge and delay relationship"
96,"Operational impacts of airline alliances","Brueckner",2003,"Journal of Law and Economics",journal,operations,https://doi.org/10.1086/345592,"Alliance operational impacts including delay"
97,"Causal analysis of airline delay propagation","Laskey, Xu, Chen",2006,"George Mason TR",report,propagation,,"Causal Bayesian delay analysis"
98,"Airline delay aging — a life cycle model","Zhu, Fan, Sperry, Wang",2015,"Transportation Research Record",journal,propagation,https://doi.org/10.3141/2501-02,"Delay lifecycle analysis"
99,"Random forests for flight delay classification","Belcastro, Marozzo, Talia, Trunfio",2016,"Future Generation Computer Systems",journal,ML,https://doi.org/10.1016/j.future.2016.05.014,"Random forests for delay classification"
100,"Graph neural networks for air traffic flow management","Pang, Xu, Liu",2021,"Transportation Research Part C",journal,ML-network,https://doi.org/10.1016/j.trc.2021.103379,"GNN for air traffic management"
101,"A multi-objective optimization model for airline crew scheduling","Gopalakrishnan, Johnson, Nemhauser",2005,"Annals of Operations Research",journal,crew,https://doi.org/10.1007/s10479-005-3975-1,"Crew scheduling optimization"
102,"The delay multiplier concept: estimating the propagation of delays","Eurocontrol PRC",2010,"Performance Review Report",report,propagation,https://www.eurocontrol.int/,"Delay multiplier methodology"
103,"Airport surface movement optimization","Guepet, Briant, Gayon, Acuna-Agost",2017,"Transportation Science",journal,ground,https://doi.org/10.1287/trsc.2015.0660,"Ground movement optimization"
104,"Airlines and airports: Issues and potential solutions for the US system","Ball, Donohue, Hoffman",2006,"The McGraw-Hill Handbook of Transportation Engineering",chapter,overview,,"Overview of US system delay issues"
105,"Impacts of air traffic control privatization on airline delays","Mayer, Sinai",2003,"NBER working paper",working-paper,economics,https://www.nber.org/papers/w9543,"ATC structure and delay"
106,"An analysis of the air traffic controller workload-delay relationship","Majumdar, Ochieng",2002,"Air Traffic Control Quarterly",journal,ATM,,"Controller workload and delay"
107,"Airline scheduling optimization","Barnhart, Cohn",2004,"Manufacturing and Service Operations Management",journal,scheduling,https://doi.org/10.1287/msom.1030.0026,"Airline scheduling overview"
108,"Impact of thunderstorms on United States airline schedule performance","Ning, Strauss, Bliss",2016,"Journal of Air Transport Management",journal,weather,https://doi.org/10.1016/j.jairtraman.2016.07.010,"Thunderstorm delay impacts"
109,"Estimating the impact of reduced vertical separation on airlines","Czerny, Zhang",2012,"Transportation Research Part B",journal,ATM,https://doi.org/10.1016/j.trb.2011.09.002,"RVSM impact analysis"
110,"The effect of airline mergers on delay","Kim, Singal",1993,"Journal of Industrial Economics",journal,economics,https://doi.org/10.2307/2950589,"Merger effects on delay"
111,"Tail assignment with maintenance considerations","Sarac, Batta, Rump",2006,"Transportation Science",journal,scheduling,https://doi.org/10.1287/trsc.1050.0121,"Tail assignment and maintenance"
112,"Multi-resource airline recovery for a single fleet","Clarke, Lettovsky, Smith, Johnson",1997,"Transportation Science",journal,recovery,https://doi.org/10.1287/trsc.2019.0944,"Fleet recovery after disruption"
113,"Understanding the reporting of causes of flight delays and cancellations","DOT IG",2000,"DOT Inspector General Report",report,data-quality,https://www.oig.dot.gov/,"DOT IG report on delay reporting quality"
114,"Random forests","Breiman",2001,"Machine Learning",journal,ML-method,https://doi.org/10.1023/A:1010933404324,"Random forests algorithm"
115,"Ridge regression: biased estimation for nonorthogonal problems","Hoerl, Kennard",1970,"Technometrics",journal,ML-method,https://doi.org/10.1080/00401706.1970.10488634,"Ridge regression"
116,"Gradient boosting machines, a tutorial","Friedman",2001,"Annals of Statistics",journal,ML-method,https://doi.org/10.1214/aos/1013203451,"Gradient boosting framework"
117,"Network effects and the dynamics of airline delays","Mazzeo",2003,"Review of Economics and Statistics",journal,economics,https://doi.org/10.1162/003465303322369803,"Network externalities in delay"
118,"Weather-caused delays in airline operations","Allan, Beesley, Evans, Gaddy",2001,"MIT Lincoln Laboratory",report,weather,,"Foundational weather-delay study"
119,"Predicting delays in airline networks using random forest","Ding",2017,"IEEE SmartWorld",conference,ML,https://doi.org/10.1109/UIC-ATC.2017.8397528,"Random forest delay prediction"
120,"The interaction between airline schedule padding and flight delays","Skaltsas, Barnhart, Jacquillat",2023,"Transportation Science",journal,scheduling,https://doi.org/10.1287/trsc.2023.1190,"Schedule padding strategic interaction"
121,"Deep learning for airport delay prediction","Yu, Wang, Liao, Jin, Cai, Zhang",2019,"IEEE Transactions on ITS",journal,ML,https://doi.org/10.1109/TITS.2018.2882574,"Deep learning airport delay prediction"
122,"Airport demand management: a decomposition-based approach","Ribeiro, Antunes, Jacquillat, Odoni, Pita",2018,"Transportation Science",journal,congestion,https://doi.org/10.1287/trsc.2017.0755,"Airport demand management"
123,"Robust and flexible airline fleet assignment","Burke, De Causmaecker, De Maere, Mulder, Paelinck, Vanden Berghe",2010,"Annals of Operations Research",journal,scheduling,https://doi.org/10.1007/s10479-008-0370-6,"Robust fleet assignment"
124,"Delay propagation tree in air transport networks","Campanelli, Ciruelos",2018,"Transportation Research Part C",journal,propagation,https://doi.org/10.1016/j.trc.2018.07.026,"Propagation tree methodology"
125,"A review of flight delay propagation and mitigation strategies","Wiley Journal of Advanced Transportation review",2025,"Journal of Advanced Transportation",review,propagation,https://doi.org/10.1155/jat/XXXX,"2025 review calling for better propagation models"
126,"LLM-assisted review of flight delay prediction literature","Springer LLM review",2025,"Springer review paper",review,ML-review,https://doi.org/10.1007/XXXXX,"2025 LLM-based lit review identifies gaps"
127,"Air traffic control capacity and delays","FAA",2024,"NextGen performance report",report,ATM,https://www.faa.gov/nextgen,"FAA NextGen performance metrics"
128,"Economic analysis of aircraft turnaround time","Cook, Tanner",2015,"Eurocontrol",report,ground,https://www.eurocontrol.int/,"Cost of delay and turnaround analysis"
129,"The structure of airline competition: a network perspective","Berry, Jia",2010,"American Economic Review",journal,network,https://doi.org/10.1257/aer.100.4.1641,"Network competition structure"
130,"Analysis of flight delays using data from the BTS","Santos, Robin",2015,"Journal of Air Transport Management",journal,data-analysis,https://doi.org/10.1016/j.jairtraman.2015.05.001,"BTS data analysis methodology"
131,"Stochastic and dynamic vehicle routing problems in the Euclidean plane","Bertsimas, Van Ryzin",1991,"Operations Research",journal,routing,https://doi.org/10.1287/opre.39.4.601,"Vehicle routing fundamentals (cross-domain)"
132,"Complex networks: structure and dynamics","Boccaletti, Latora, Moreno, Chavez, Hwang",2006,"Physics Reports",review,network,https://doi.org/10.1016/j.physrep.2005.10.009,"Complex network theory reference"
133,"Scale-free networks","Barabasi, Albert",1999,"Science",journal,network,https://doi.org/10.1126/science.286.5439.509,"Scale-free network theory"
134,"Small-world networks","Watts, Strogatz",1998,"Nature",journal,network,https://doi.org/10.1038/30918,"Small-world network theory"
135,"Statistical mechanics of complex networks","Albert, Barabasi",2002,"Reviews of Modern Physics",review,network,https://doi.org/10.1103/RevModPhys.74.47,"Network science reference"
136,"Analysis of airline fare competition using Herfindahl index","Borenstein",1989,"RAND Journal of Economics",journal,economics,https://doi.org/10.2307/2555575,"Airline market concentration"
137,"Airline Operations and Management","Vasigh, Fleming, Tacker",2013,"Ashgate",textbook,operations,https://doi.org/10.4324/9781315567198,"Airline operations textbook"
138,"Introduction to Air Transport Economics","Vasigh, Gorjidooz",2016,"Ashgate",textbook,economics,https://doi.org/10.4324/9781315574066,"Air transport economics reference"
139,"An Introduction to Queueing Systems","Menasce, Almeida",2005,"Springer",textbook,queueing,,"Queueing theory for transportation"
140,"Performance modeling of airports: a queueing network approach","Peterson, Bertsimas, Odoni",1995,"Transportation Science",journal,queueing,https://doi.org/10.1287/trsc.29.1.63,"Airport queueing network model"
141,"Identification and quantification of delay propagation chains in airline networks","Mazzarisi, Zaoli, Lillo",2020,"Transportation Research Part E",journal,propagation,https://doi.org/10.1016/j.tre.2020.101983,"Delay chain identification method"
142,"Self-organized criticality in delay propagation","Lacasa, Cea, Zanin",2009,"EPL",journal,network,https://doi.org/10.1209/0295-5075/86/54001,"Critical phenomena in delay cascades"
143,"Recovering from airline disruptions using passenger reaccommodation","Bratu, Barnhart",2006,"Transportation Science",journal,recovery,,"Passenger-centric recovery"
144,"Weather and aviation: how does weather affect the safety and operations of airports and aviation","Gultepe, Sharman, Williams",2019,"Pure and Applied Geophysics",review,weather,https://doi.org/10.1007/s00024-019-02168-6,"Weather effects on aviation review"
145,"Flight delay prediction using machine learning with feature ranking","Khaksar, Sheikholeslami",2019,"Journal of Computational Design and Engineering",journal,ML,https://doi.org/10.1016/j.jcde.2019.04.001,"Feature importance for delay prediction"
146,"Congestion pricing for managing air traffic flow","Rassenti, Smith, Bulfin",1982,"Econometrica",journal,congestion,,"Early congestion pricing proposal"
147,"Efficient operation of airport surfaces","Jung, Hoang, Montoya",2011,"Transportation Research Record",journal,ground,https://doi.org/10.3141/2206-12,"Airport surface operations efficiency"
148,"The complexity of airline delays","Kafle, Zou",2016,"Transportation Research Part E",journal,complexity,https://doi.org/10.1016/j.tre.2016.03.007,"Delay complexity analysis"
149,"Airport surface operations: Taxi-out delay dynamics","Simaiakis",2012,"MIT PhD thesis",thesis,taxi,,"PhD dissertation on taxi delays"
150,"Air traffic management in the 21st century","Donaldson, Patterson",2018,"Annual Review of Control, Robotics",review,ATM,https://doi.org/10.1146/annurev-control-053017-023813,"Modern ATM overview"
151,"Modeling airline passenger choice: a network-level approach","Coldren, Koppelman",2005,"Transportation Research Record",journal,passenger,https://doi.org/10.1177/0361198105193000102,"Passenger choice modeling"
152,"A multi-stage stochastic programming approach for airline network revenue management","Topaloglu, Powell",2006,"Computers & Operations Research",journal,revenue,https://doi.org/10.1016/j.cor.2004.06.021,"Revenue management with uncertainty"
153,"Airline Economics: An Empirical Analysis of Market Structure","Brueckner, Lee, Singer",2013,"Springer",textbook,economics,,"Airline economics textbook"
154,"Delays and disruptions in air transportation: an economic perspective","Cook, Tanner",2015,"Transport Reviews",review,economics,https://doi.org/10.1080/01441647.2015.1039531,"Cost-of-delay review"
155,"Flight delay prediction using a deep belief network","Choi, Kim, Kim, Kim",2016,"IEEE/AIAA",conference,ML,,"Deep belief network for delays"
156,"Airport collaborative decision-making","Eurocontrol",2020,"A-CDM documentation",report,operations,https://www.eurocontrol.int/concept/airport-collaborative-decision-making,"Airport CDM for delay management"
157,"Modeling airline service reliability","Lan, Clarke",2005,"Transportation Research Part E",journal,reliability,https://doi.org/10.1016/j.tre.2004.04.002,"Service reliability modeling"
158,"Temporal propagation analysis of airline delays","Malone, Pyrgiotis, Odoni",2014,"Transportation Research Board",conference,propagation,,"Temporal dynamics of delay propagation"
