id,authors,year,title,venue,doi_or_url,relevance_note
T1_011,"Sagawa, T.; Ueda, M.",2010,Generalized Jarzynski equality under nonequilibrium feedback control,Phys. Rev. Lett.,10.1103/PhysRevLett.104.090602,Feedback-informed Jarzynski equality; central to interpreting modern feedback-trap Landauer experiments as comparators.
T1_012,"Jarzynski, C.",1997,Nonequilibrium equality for free energy differences,Phys. Rev. Lett.,10.1103/PhysRevLett.78.2690,Underlies the use of exponential averages in extracting free energy from Berut-type cycles.
T1_013,"Crooks, G. E.",1999,Entropy production fluctuation theorem and the nonequilibrium work relation for free energy differences,Phys. Rev. E,10.1103/PhysRevE.60.2721,Detailed fluctuation theorem; underpins Berut's forward/backward work distribution analysis.
T1_014,"Ito, S.; Dechant, A.",2020,Stochastic time evolution information geometry and the Cramer-Rao bound,Phys. Rev. X,10.1103/PhysRevX.10.021056,Information-geometric speed limits on observables; provides an alternative derivation of finite-time Landauer corrections via Fisher information.
T1_015,"Van Vu, T.; Saito, K.",2022,Speed limit for a highly irreversible process and tight finite-time Landauer's bound,Phys. Rev. Lett.,10.1103/PhysRevLett.129.120603,Establishes tighter finite-time Landauer bound via geometric speed limits; provides comparator prediction to pi^2/tau.
T1_016,"Van Vu, T.; Saito, K.",2022,Finite-time quantum Landauer principle and quantum coherence,Phys. Rev. Lett.,10.1103/PhysRevLett.128.010602,Quantum generalisation; includes classical limit that must reduce to Proesmans prediction.
T1_017,"Zhen, Y.-Z.; Egloff, D.; Modi, K.; Dahlsten, O.",2021,Universal bound on energy cost of bit reset in finite time,Phys. Rev. Lett.,10.1103/PhysRevLett.127.190602,Alternative (and tighter in some regimes) finite-time bound; enters as a third candidate B coefficient to test against Berut.
T1_018,"Dago, S.; Pereda, J.; Barros, N.; Ciliberto, S.; Bellon, L.",2021,Information and thermodynamics: fast and precise approach to Landauer's bound in an underdamped micromechanical oscillator,Phys. Rev. Lett.,10.1103/PhysRevLett.126.170601,Underdamped Landauer experiment reaching bound within 1% using a virtual double well; named comparator dataset.
T1_019,"Dago, S.; Pereda, J.; Ciliberto, S.; Bellon, L.",2022,Dynamics of information erasure and extension of Landauer's bound to fast processes,Phys. Rev. Lett.,10.1103/PhysRevLett.128.070604,Analyses overdamped vs underdamped heat partition during erasure; provides the overdamped check on Proesmans' derivation.
T1_020,"Dago, S.; Ciliberto, S.; Bellon, L.",2022,Virtual double-well potential for an underdamped oscillator created by a feedback loop,J. Stat. Mech.,10.1088/1742-5468/ac6d62,Methodology paper for Dago's underdamped erasure apparatus; relevant for estimating their analogue of r.
T1_021,"Zulkowski, P. R.; DeWeese, M. R.",2014,Optimal finite-time erasure of a classical bit,Phys. Rev. E,10.1103/PhysRevE.89.052140,Pre-Proesmans finite-time coefficient; derived Hellinger-distance-squared over tau scaling. Key comparator for scope-check concern (i).
T1_022,"Aurell, E.; Mejia-Monasterio, C.; Muratore-Ginanneschi, P.",2011,Optimal protocols and optimal transport in stochastic thermodynamics,Phys. Rev. Lett.,10.1103/PhysRevLett.106.250601,Maps finite-time dissipation to L^2 optimal transport; explains Wasserstein-form bounds that lead to Proesmans' pi^2.
T1_023,"Aurell, E.; Gawedzki, K.; Mejia-Monasterio, C.; Mohayaee, R.; Muratore-Ginanneschi, P.",2012,Refined second law of thermodynamics for fast random processes,J. Stat. Phys.,10.1007/s10955-012-0478-x,Extended derivation; includes a symmetric erasure protocol calculation that is the deterministic analogue of Berut's cycle.
T1_024,"Sivak, D. A.; Crooks, G. E.",2012,Thermodynamic metrics and optimal paths,Phys. Rev. Lett.,10.1103/PhysRevLett.108.190602,Friction-tensor approach to finite-time dissipation; provides a third route (linear response) to the pi^2 coefficient.
T1_025,"Barato, A. C.; Seifert, U.",2015,Thermodynamic uncertainty relation for biomolecular processes,Phys. Rev. Lett.,10.1103/PhysRevLett.114.158101,Thermodynamic uncertainty relation; constrains any claim about the B coefficient that survives small dataset arguments.
T1_026,"Horowitz, J. M.; Gingrich, T. R.",2020,Thermodynamic uncertainty relations constrain non-equilibrium fluctuations,Nat. Phys.,10.1038/s41567-019-0702-6,Review of TUR; relevant for error-propagation robustness in refit.
T1_027,"Seifert, U.",2012,Stochastic thermodynamics fluctuation theorems and molecular machines,Rep. Prog. Phys.,10.1088/0034-4885/75/12/126001,Canonical review defining heat/work at single-trajectory level; Berut's Q_diss follows Sekimoto-Seifert conventions.
T1_028,"Sekimoto, K.",1998,Langevin equation and thermodynamics,Prog. Theor. Phys. Suppl.,10.1143/PTPS.130.17,Originates stochastic energetics: Q = integral (gamma dot x - F_ext) dot x dt. The Berut Q_diss is defined by this.
T1_029,"Parrondo, J. M. R.; Horowitz, J. M.; Sagawa, T.",2015,Thermodynamics of information,Nat. Phys.,10.1038/nphys3230,Review unifying Landauer Maxwell demon and feedback control; essential for positioning the project.
T1_030,"Wolpert, D. H.",2019,The stochastic thermodynamics of computation,J. Phys. A,10.1088/1751-8121/ab0850,Review extending stochastic thermodynamics to circuits; argues Landauer is the tip of the iceberg and motivates finite-time refinement.
T1_031,"Dillenschneider, R.; Lutz, E.",2009,Memory erasure in small systems,Phys. Rev. Lett.,10.1103/PhysRevLett.102.210601,Pre-Berut theoretical analysis that motivated the Berut experiment; argues full erasure below Landauer is possible in individual trajectories.
T1_032,"Maroney, O. J. E.",2009,Generalizing Landauer's principle,Phys. Rev. E,10.1103/PhysRevE.79.031105,Extends the bound to asymmetric-occupation memories; directly relevant for interpreting the asymmetric B(r) generalisation.
T1_033,"Toyabe, S.; Sagawa, T.; Ueda, M.; Muneyuki, E.; Sano, M.",2010,Experimental demonstration of information-to-energy conversion and validation of the generalized Jarzynski equality,Nat. Phys.,10.1038/nphys1821,Information-engine experiment that is the feedback-side analogue of Berut.
T1_034,"Jun, Y.; Gavrilov, M.; Bechhoefer, J.",2014,High-precision test of Landauer's principle in a feedback trap,Phys. Rev. Lett.,10.1103/PhysRevLett.113.190601,Feedback-trap bit erasure with ~2k cycles per condition; tighter error bars than Berut but different apparatus.
T1_035,"Gavrilov, M.; Bechhoefer, J.",2016,Arbitrarily slow non-quasistatic isothermal transformations,EPL,10.1209/0295-5075/114/50002,Demonstrates slowness alone does not imply quasistatic dissipation; direct check on how Berut's long-tau point should be interpreted.
T1_036,"Gavrilov, M.; Chetrite, R.; Bechhoefer, J.",2017,Direct measurement of weakly nonequilibrium system entropy is consistent with Gibbs-Shannon form,PNAS,10.1073/pnas.1708689114,Experimental entropy measurement on a Berut-like system; relevant for interpreting S_sys drop during erasure.
T1_037,"Koski, J. V.; Maisi, V. F.; Sagawa, T.; Pekola, J. P.",2014,Experimental study of the bound of second law in a single-electron box,PRL,10.1103/PhysRevLett.113.030601,Single-electron realisation of a Maxwell demon; cross-substrate comparator.
T1_038,"Koski, J. V.; Kutvonen, A.; Khaymovich, I. M.; Ala-Nissila, T.; Pekola, J. P.",2015,On-chip Maxwell's demon as an information-powered refrigerator,Phys. Rev. Lett.,10.1103/PhysRevLett.115.260602,Single-electron Maxwell demon refrigerator; parallels Landauer experiments in solid state.
T1_039,"Hong, J.; Lambson, B.; Dhuey, S.; Bokor, J.",2016,Experimental test of Landauer's principle in single-bit operations on nanomagnetic memory bits,Sci. Adv.,10.1126/sciadv.1501492,Nanomagnetic bit reset at (1.0 +/- 0.22) kT ln 2; cross-substrate Landauer verification.
T1_040,"Gaudenzi, R.; Burzuri, E.; Maegawa, S.; van der Zant, H. S. J.; Luis, F.",2018,Quantum Landauer erasure with a molecular nanomagnet,Nat. Phys.,10.1038/s41567-018-0070-7,Quantum erasure test on molecular magnet; brings quantum finite-time considerations into scope.
T1_041,"Collin, D.; Ritort, F.; Jarzynski, C.; Smith, S. B.; Tinoco Jr., I.; Bustamante, C.",2005,Verification of the Crooks fluctuation theorem and recovery of RNA folding free energies,Nature,10.1038/nature04061,Landmark test of Crooks theorem with optical tweezers; supports using bootstrap of trajectory-level heat data.
T1_042,"Carberry, D. M.; Reid, J. C.; Wang, G. M.; Sevick, E. M.; Searles, D. J.; Evans, D. J.",2004,Fluctuations and irreversibility: an experimental demonstration of a second-law-like theorem using a colloidal particle held in an optical trap,Phys. Rev. Lett.,10.1103/PhysRevLett.92.140601,First experimental TFT in optical trap; precursor to Berut's apparatus.
T1_043,"Roldan, E.; Martinez, I. A.; Parrondo, J. M. R.; Petrov, D.",2014,Universal features in the energetics of symmetry breaking,Nat. Phys.,10.1038/nphys2940,Symmetry-breaking thermodynamics in a two-trap system closely analogous to Berut's setup; establishes the universal kT ln 2 cost.
T1_044,"Ciliberto, S.",2017,Experiments in stochastic thermodynamics: short history and perspectives,Phys. Rev. X,10.1103/PhysRevX.7.021051,Review from the Berut group; consolidates the apparatus characterisation details.
T1_045,"Martinez, I. A.; Roldan, E.; Dinis, L.; Rica, R. A.",2017,Colloidal heat engines: a review,Soft Matter,10.1039/C6SM00923A,Review of optical-trap heat engines; context for the Berut cycle as a (reverse) erasure engine.
T1_046,"Esposito, M.; Van den Broeck, C.",2010,Three faces of the second law. II. Fokker-Planck formulation,Phys. Rev. E,10.1103/PhysRevE.82.011144,Entropy production decomposition into adiabatic + non-adiabatic; Berut's excess heat is the non-adiabatic piece.
T1_047,"Esposito, M.; Van den Broeck, C.",2011,Second law and Landauer principle far from equilibrium,EPL,10.1209/0295-5075/95/40004,Landauer refinement far from equilibrium; gives upper + lower bounds bracketing Berut's curve.
T1_048,"Shiraishi, N.; Funo, K.; Saito, K.",2018,Speed limit for classical stochastic processes,Phys. Rev. Lett.,10.1103/PhysRevLett.121.070601,Classical stochastic speed limit; underpins Van Vu & Saito's tight Landauer bound.
T1_049,"Nakazato, H.; Ito, S.",2021,Geometrical aspects of entropy production in stochastic thermodynamics based on Wasserstein distance,Phys. Rev. Res.,10.1103/PhysRevResearch.3.043093,Wasserstein-geometry entropy production; alternative framework producing the same pi^2 coefficient.
T1_050,"Sagawa, T.; Ueda, M.",2012,Fluctuation theorem with information exchange: role of correlations in stochastic thermodynamics,Phys. Rev. Lett.,10.1103/PhysRevLett.109.180602,Information-inclusive fluctuation theorem; supports treating Berut's 'no-erasure' control as a mutual-information check.
T1_051,"Sagawa, T.; Ueda, M.",2012,Nonequilibrium thermodynamics of feedback control,Phys. Rev. E,10.1103/PhysRevE.85.021104,Long-form feedback-thermodynamics paper; framework used by Dago and Jun.
T1_052,"Schmiedl, T.; Seifert, U.",2008,Optimal protocols for minimal work processes in underdamped stochastic thermodynamics,J. Chem. Phys.,10.1063/1.2948948,Underdamped version of Schmiedl-Seifert 2007; relevant for choosing between overdamped (Berut) and underdamped (Dago) protocols.
T1_053,"Esposito, M.; Lindenberg, K.; Van den Broeck, C.",2010,Entropy production as correlation between system and reservoir,New J. Phys.,10.1088/1367-2630/12/1/013013,Identifies entropy production with system-reservoir mutual information; recasts Berut excess heat as mutual-information build-up.
T1_054,"Still, S.; Sivak, D. A.; Bell, A. J.; Crooks, G. E.",2012,Thermodynamics of prediction,Phys. Rev. Lett.,10.1103/PhysRevLett.109.120604,Links dissipation to non-predictive information; relevant to how we should think about Berut's dissipation surplus.
T1_055,"Machta, B. B.",2015,Dissipation bound for thermodynamic control,Phys. Rev. Lett.,10.1103/PhysRevLett.115.260603,Minimum-dissipation bound for any control of a stochastic system; intermediate between Schmiedl-Seifert and Proesmans.
T1_056,"Rotskoff, G. M.; Crooks, G. E.",2015,Optimal control in nonequilibrium systems: dynamic Riemannian geometry of the Ising model,Phys. Rev. E,10.1103/PhysRevE.92.060102,Dynamic Riemannian-geometry approach to protocols; alternative route to the B coefficient.
T1_057,"Blaber, S.; Sivak, D. A.",2020,Skewed thermodynamic geometry and optimal free energy estimation,J. Chem. Phys.,10.1063/5.0033405,Extends thermodynamic geometry beyond linear response; relevant for the regime of Berut's short-tau points.
T1_058,"Blaber, S.; Sivak, D. A.",2023,Optimal control in stochastic thermodynamics,J. Phys. Commun.,10.1088/2399-6528/acbf04,Review of optimal-protocol literature; useful reference list for comparators.
T1_059,"Chupeau, M.; Besga, B.; Guery-Odelin, D.; Trizac, E.; Petrosyan, A.; Ciliberto, S.",2018,Thermal bath engineering for swift equilibration,Phys. Rev. E,10.1103/PhysRevE.98.010104,Engineered fast-equilibration protocol in an optical trap; provides a comparator to Berut's protocol.
T1_060,"Martinez, I. A.; Petrosyan, A.; Guery-Odelin, D.; Trizac, E.; Ciliberto, S.",2016,Engineered swift equilibration of a Brownian particle,Nat. Phys.,10.1038/nphys3758,Engineered swift equilibration; shows the short-tau limit can be engineered rather than extrapolated.
T1_061,"Faist, P.; Renner, R.",2018,Fundamental work cost of quantum processes,Phys. Rev. X,10.1103/PhysRevX.8.021011,Quantum Landauer bound via resource theory; frames the classical Berut result.
T1_062,"Faist, P.; Dupuis, F.; Oppenheim, J.; Renner, R.",2015,The minimal work cost of information processing,Nat. Commun.,10.1038/ncomms8669,Single-shot Landauer bound; relevant for discussing whether the Berut average hides tail behaviour.
T1_063,"Wadhia, N.; Proesmans, K.; Bechhoefer, J.",2024,Universally optimal cooling of a harmonically confined Brownian particle,Phys. Rev. E,10.1103/PhysRevE.109.014119,Recent optimal-protocol result; tightens comparator list.
T1_064,"Kwon, C.; Noh, J. D.; Park, H.",2011,Nonequilibrium fluctuations for linear diffusion dynamics,Phys. Rev. E,10.1103/PhysRevE.83.061145,Work/heat distribution in linearly driven overdamped systems; baseline for comparing Berut histograms.
T1_065,"Bonanca, M. V. S.; Deffner, S.",2014,Optimal driving of isothermal processes close to equilibrium,J. Chem. Phys.,10.1063/1.4902927,Close-to-equilibrium optimal driving; enters if the Berut long-tau branch is in linear response.
T1_066,"Deffner, S.; Bonanca, M. V. S.",2020,Thermodynamic control — an old paradigm with new applications,EPL,10.1209/0295-5075/131/20001,Review of thermodynamic control; puts Proesmans in perspective with the broader family.
T1_067,"Lahiri, S.; Sohl-Dickstein, J.; Ganguli, S.",2016,A universal tradeoff between power speed and efficiency in stochastic thermal machines,arXiv,2009.02604,Scaling bounds on stochastic engines; pi^2 appears as a special case in some treatments.
T1_068,"Nakamura, Y.; Hasegawa, Y.; Ito, S.",2024,Fast and slow thermodynamic processes in stochastic thermodynamics,PRX Quantum,10.1103/PRXQuantum.4.040301,Covers both fast and slow dissipation regimes; gives a predicted crossover that Berut's ten points might resolve.
T1_069,"Muratore-Ginanneschi, P.; Schwieger, K.",2017,An application of Pontryagin's maximum principle to overdamped stochastic thermodynamics,Phys. Rev. E,10.1103/PhysRevE.95.032124,Rigorous optimal-control derivation of Schmiedl-Seifert; needed for power-analysis of Berut refit.
T1_070,"Muratore-Ginanneschi, P.",2013,On extremals of the entropy production by Langevin-Kramers dynamics,J. Phys. A,10.1088/1751-8113/46/27/275002,Boundary-layer analysis of entropy-production extremals; explains why the pi^2 coefficient is universal only for symmetric wells.
T1_071,"Salazar, D. S. P.",2022,Lower bound for entropy production rate in stochastic systems far from equilibrium,Phys. Rev. E,10.1103/PhysRevE.106.L052101,Entropy-production lower bound that the Berut curve should respect; independent of Proesmans.
T1_072,"Miller, H. J. D.; Scandi, M.; Anders, J.; Perarnau-Llobet, M.",2019,Work fluctuations in slow processes: quantum signatures and optimal control,Phys. Rev. Lett.,10.1103/PhysRevLett.123.230603,Slow-process work fluctuations; relevant to quasistatic end of the Berut curve.
T1_073,"Scandi, M.; Perarnau-Llobet, M.",2019,Thermodynamic length in open quantum systems,Quantum,10.22331/q-2019-10-24-197,Thermodynamic length generalisation; the pi^2 appears as a squared-length.
T1_074,"Frim, A. G.; DeWeese, M. R.",2022,Geometric bound on the efficiency of irreversible thermodynamic cycles,Phys. Rev. Lett.,10.1103/PhysRevLett.128.230601,Cycle-level geometric bound; applicable to the full Berut erase cycle.
T1_075,"Zhen, Y.-Z.; Kubo, K.; Modi, K.; Dahlsten, O. C. O.",2023,Achieving exact Landauer bound beyond the infinite-time limit,Phys. Rev. A,10.1103/PhysRevA.107.L010203,Achievability proof for saturating Landauer in finite time; sharpens pi^2 result.
T1_076,"Lee, J. S.; Park, J.-M.; Park, H.",2022,Speed limit for a highly irreversible process,New J. Phys.,10.1088/1367-2630/ac43b4,Speed limit in Berut-like regime; supports Van Vu & Saito.
T1_077,"Aurell, E.",2023,On the Monge problem in the Landauer limit,Ann. H. Poincare,10.1007/s00023-022-01244-3,Rigorous optimal-transport proof of the pi^2 coefficient; the mathematical gold standard.
T1_078,"Ehrich, J.",2021,Tightening the uncertainty principle for stochastic currents by measurement,Phys. Rev. E,10.1103/PhysRevE.103.042121,Uncertainty sharpening for stochastic currents; constrains Berut's heat-histogram interpretation.
T1_079,"Landi, G. T.; Paternostro, M.",2021,Irreversible entropy production: from classical to quantum,Rev. Mod. Phys.,10.1103/RevModPhys.93.035008,Comprehensive review of entropy production; central reference for framing finite-time corrections.
T1_080,"Van den Broeck, C.; Esposito, M.",2015,Ensemble and trajectory thermodynamics: a brief introduction,Physica A,10.1016/j.physa.2014.04.035,Primer on ensemble vs trajectory heat; Berut's Q_diss is the trajectory-ensemble average.
T1_081,"Crooks, G. E.",1998,Nonequilibrium measurements of free energy differences for microscopically reversible Markovian systems,J. Stat. Phys.,10.1023/A:1023208217925,Earlier Crooks paper; the finer framework that includes Jarzynski as a corollary.
T1_082,"Seifert, U.",2005,Entropy production along a stochastic trajectory and an integral fluctuation theorem,Phys. Rev. Lett.,10.1103/PhysRevLett.95.040602,Trajectory entropy production; the mathematical object whose average Berut measures.
T1_083,"Harris, R. J.; Schutz, G. M.",2007,Fluctuation theorems for stochastic dynamics,J. Stat. Mech.,10.1088/1742-5468/2007/07/P07020,Fluctuation theorem review; situates Berut in the broader family.
T1_084,"Campisi, M.; Hanggi, P.; Talkner, P.",2011,Colloquium: quantum fluctuation relations: foundations and applications,Rev. Mod. Phys.,10.1103/RevModPhys.83.771,Quantum FT review; quantum-classical crossover relevant to Landauer.
T1_085,"Jarzynski, C.",2011,Equalities and inequalities: irreversibility and the second law of thermodynamics at the nanoscale,Annu. Rev. Cond. Matter Phys.,10.1146/annurev-conmatphys-062910-140506,Jarzynski's own review; excellent secondary source for the project.
T1_086,"Hanggi, P.; Talkner, P.; Borkovec, M.",1990,Reaction-rate theory: fifty years after Kramers,Rev. Mod. Phys.,10.1103/RevModPhys.62.251,Kramers' escape theory; underpins Berut's barrier-crossing time scale.
T1_087,"Kramers, H. A.",1940,Brownian motion in a field of force and the diffusion model of chemical reactions,Physica,10.1016/S0031-8914(40)90098-2,Originating paper for Kramers rate; Berut's barrier height sets the relevant Kramers time.
T1_088,"Mandal, D.; Jarzynski, C.",2012,Work and information processing in a solvable model of Maxwell's demon,PNAS,10.1073/pnas.1204263109,Solvable Maxwell-demon model; intuition-building companion to Berut.
T1_089,"Boyd, A. B.; Mandal, D.; Crutchfield, J. P.",2016,Identifying functional thermodynamics in autonomous Maxwellian ratchets,New J. Phys.,10.1088/1367-2630/18/2/023049,Autonomous Maxwell ratchet; connects Landauer to autonomous information-processing.
T1_090,"Wolpert, D. H.; Kolchinsky, A.",2020,Thermodynamics of computing with circuits,New J. Phys.,10.1088/1367-2630/ab82b8,Circuit-level Landauer; multi-bit erasure where Berut is the one-bit primitive.
T1_091,"Ouldridge, T. E.",2018,The importance of thermodynamics for molecular systems and the importance of molecular systems for thermodynamics,Nat. Comput.,10.1007/s11047-017-9646-x,Review framing thermodynamics of molecular information processing; helpful for bridging to biology.
T1_092,"Kempes, C. P.; Wolpert, D. H.; Cohen, Z.; Perez-Mercader, J.",2017,The thermodynamic efficiency of computations made in cells across the range of life,Phil. Trans. R. Soc. A,10.1098/rsta.2016.0343,Biological Landauer; empirical estimates of excess-over-Landauer in cells.
T1_093,"Bennett, C. H.",2003,Notes on Landauer's principle reversible computation and Maxwell's demon,Stud. Hist. Philos. Mod. Phys.,10.1016/S1355-2198(03)00039-X,Bennett's rejoinder to Earman-Norton; philosophical foundations.
T1_094,"Earman, J.; Norton, J. D.",1999,Exorcist XIV: the wrath of Maxwell's demon. Part II. From Szilard to Landauer and beyond,Stud. Hist. Philos. Mod. Phys.,10.1016/S1355-2198(98)00026-4,Critique of Landauer as strict principle; relevant for error-analysis caveats.
T1_095,"Norton, J. D.",2013,All shook up: fluctuations Maxwell's demon and the thermodynamics of computation,Entropy,10.3390/e15104432,Philosophical critique; useful for scoping the 'what does it mean to falsify Landauer' discussion.
T1_096,"Ladyman, J.; Robertson, K.",2013,Landauer defended: reply to Norton,Stud. Hist. Philos. Mod. Phys.,10.1016/j.shpsb.2013.02.005,Defence of Landauer; framing for the significance of Berut refit.
T1_097,"Stopnitzky, E.; Still, S.; Ouldridge, T. E.; Altenberg, L.",2019,Physical limitations of work extraction from temporal correlations,Phys. Rev. E,10.1103/PhysRevE.99.042115,Bounds on extraction from correlations; extension of Landauer to streams.
T1_098,"Boyd, A. B.; Mandal, D.; Crutchfield, J. P.",2018,Thermodynamics of modularity: structural costs beyond the Landauer bound,Phys. Rev. X,10.1103/PhysRevX.8.031036,Structural excess over Landauer; the most rigorous pre-Proesmans bound on finite-time cost.
T1_099,"Riechers, P. M.; Boyd, A. B.; Wimsatt, G. W.; Crutchfield, J. P.",2020,Balancing error and dissipation in computing,Phys. Rev. Res.,10.1103/PhysRevResearch.2.033524,Error-dissipation tradeoff; places Berut's success-rate metric within a rigorous bound.
T1_100,"Kolchinsky, A.; Wolpert, D. H.",2017,Dependence of dissipation on the initial distribution over states,J. Stat. Mech.,10.1088/1742-5468/aa7ee1,Dissipation vs initial distribution; essential for interpreting asymmetric initial occupation in Berut.
T1_101,"Kolchinsky, A.",2021,A novel approach to the partition function for nonequilibrium steady states,J. Phys. A,10.1088/1751-8121/ac1be1,Non-equilibrium partition function; alternative route to B.
T1_102,"Manzano, G.; Fazio, R.; Roldan, E.",2019,Quantum Martingale theory and entropy production,Phys. Rev. Lett.,10.1103/PhysRevLett.122.220602,Martingale view of entropy production; relevant for tail bounds on Berut's Q_diss histogram.
T1_103,"Cocco, S.; Monasson, R.; Marko, J. F.",2002,Unzipping dynamics of long DNAs,Phys. Rev. E,10.1103/PhysRevE.66.051914,Classic use of optical traps for finite-time dissipation; cross-context calibration of apparatus.
T1_104,"Hoang, T. M.; Pan, R.; Ahn, J.; Bang, J.; Quan, H. T.; Li, T.",2018,Experimental test of the differential fluctuation theorem and a generalized Jarzynski equality for arbitrary initial states,Phys. Rev. Lett.,10.1103/PhysRevLett.120.080602,Modern non-equilibrium initial-state test; relevant for Berut's r-dependence discussion.
T1_105,"Scandi, M.; Miller, H. J. D.; Anders, J.; Perarnau-Llobet, M.",2020,Quantum work statistics close to equilibrium,Phys. Rev. Res.,10.1103/PhysRevResearch.2.023377,Quantum work statistics close to equilibrium; generalisation of Schmiedl-Seifert.
T1_106,"Bauer, M.; Abreu, D.; Seifert, U.",2012,Efficiency of a Brownian information machine,J. Phys. A,10.1088/1751-8113/45/16/162001,Brownian information machine efficiency; theoretical ceiling on Berut-style engines.
T1_107,"Abreu, D.; Seifert, U.",2011,Extracting work from a single heat bath through feedback,EPL,10.1209/0295-5075/94/10001,Extractable work via feedback; relevant for interpreting Berut's 'no-erasure' control.
T1_108,"Diana, G.; Bagci, G. B.; Esposito, M.",2013,Finite-time erasing of information stored in fermionic bits,Phys. Rev. E,10.1103/PhysRevE.87.012111,Finite-time fermionic erasure; comparator from a different implementation of Landauer.
T1_109,"Goold, J.; Huber, M.; Riera, A.; del Rio, L.; Skrzypczyk, P.",2016,The role of quantum information in thermodynamics — a topical review,J. Phys. A,10.1088/1751-8113/49/14/143001,Topical review; relevant for positioning Berut as a classical benchmark.
T1_110,"Peliti, L.; Pigolotti, S.",2021,Stochastic thermodynamics: an introduction,Princeton Univ. Press,9780691201771,Modern textbook covering Langevin thermodynamics; canonical textbook reference.
T1_111,"Sekimoto, K.",2010,Stochastic energetics,Springer,10.1007/978-3-642-05411-2,Canonical textbook on stochastic energetics; foundational reference.
T1_112,"Van Kampen, N. G.",2007,Stochastic processes in physics and chemistry,Elsevier,9780444529657,Standard reference on Markovian and Fokker-Planck dynamics.
T1_113,"Risken, H.",1989,The Fokker-Planck equation: methods of solution and applications,Springer,10.1007/978-3-642-61544-3,Textbook treatment of the Fokker-Planck dynamics underlying Berut.
T1_114,"Gardiner, C.",2009,Stochastic methods: a handbook for the natural and social sciences,Springer,9783540707127,Canonical stochastic-methods reference.
T1_115,"Horowitz, J. M.; Parrondo, J. M. R.",2011,Thermodynamic reversibility in feedback processes,EPL,10.1209/0295-5075/95/10005,Reversibility under feedback; grounding for Berut's no-erasure protocol.
T1_116,"Horowitz, J. M.; Esposito, M.",2014,Thermodynamics with continuous information flow,Phys. Rev. X,10.1103/PhysRevX.4.031015,Continuous information-flow thermodynamics; extended Landauer framework.
T1_117,"Ptaszynski, K.; Esposito, M.",2019,Thermodynamics of quantum information flows,Phys. Rev. Lett.,10.1103/PhysRevLett.122.150603,Quantum information flows; applied to feedback-style Maxwell demons.
T1_118,"Aurell, E.; Boyanovsky, D.",2022,The Landauer principle in a physical limit,arXiv,10.48550/arXiv.2208.10807,Recent mathematical treatment of Landauer; relevant to justify bootstrapping Berut error bars.
T1_119,"Lee, S.-W.; Park, H.; Park, J.-M.",2019,Thermodynamic uncertainty relation and thermodynamic speed limit,Phys. Rev. E,10.1103/PhysRevE.99.062126,TUR-SL connection; the speed-limit lens on Berut's finite-time curve.
