id,authors,year,title,venue,doi_or_url,theme,type,notes
T3_032,"Coffey W T; Kalmykov Y P",2017,The Langevin Equation: With Applications to Stochastic Problems in Physics Chemistry and Electrical Engineering (4th ed.),World Scientific,10.1142/10154,3,textbook,Text covers asymmetric-well first-passage and longest-relaxation time
T3_033,"Bochkov G; Dubkov A",1983,Kramers escape rate for asymmetric bistable systems,Pisma Zh. Eksp. Teor. Fiz. 38 246,BochkovDubkov1983,3,foundational,Early asymmetric Kramers treatment (Russian)
T3_034,"Buttiker M; Harris E P; Landauer R",1983,Thermal activation in extremely underdamped Josephson-junction circuits,Phys. Rev. B 28 1268,10.1103/PhysRevB.28.1268,3,foundational,Underdamped asymmetric well escape
T3_035,"Grabert H",1988,Escape from a metastable well: the Kramers turnover problem,Phys. Rev. Lett. 61 1683,10.1103/PhysRevLett.61.1683,3,foundational,Kramers turnover theory
T3_036,"Proesmans K; Van den Broeck C",2017,Onsager coefficients in periodically driven systems,Phys. Rev. Lett. 119 147803,10.1103/PhysRevLett.115.090601,3,extension,Linear response in periodically driven thermodynamics
T3_037,"Proesmans K; Cleuren B; Van den Broeck C",2016,Linear stochastic thermodynamics for periodically driven systems,J. Stat. Mech. 023202,10.1088/1742-5468/aa54c7,3,extension,Periodically driven overdamped systems
T3_038,"Proesmans K; Toral R; Van den Broeck C",2019,Thermodynamics of a stochastic twin elephant random walk,Physica A 552 122785,10.1016/j.physa.2019.122785,3,extension,Non-Markovian thermodynamics
T3_039,"Van den Broeck C; Esposito M",2015,Ensemble and trajectory thermodynamics: a brief introduction,Physica A 418 6,10.1016/j.physa.2014.04.035,3,review,Standard reference for ensemble stochastic thermodynamics
T3_040,"Esposito M; Van den Broeck C",2010,Three detailed fluctuation theorems,Phys. Rev. Lett. 104 090601,10.1103/PhysRevLett.104.090601,3,foundational,Three-part decomposition of fluctuation theorems
T3_041,"Benamou J-D; Brenier Y",2000,A computational fluid mechanics solution to the Monge-Kantorovich mass transfer problem,Numer. Math. 84 375,10.1007/s002110050002,3,foundational,Optimal-transport algorithm used by Proesmans 2020
T3_042,"Villani, C.",2009,Optimal Transport: Old and New,Springer Grundlehren 338,10.1007/978-3-540-71050-9,3,textbook,Standard optimal-transport textbook
T3_043,"Otto, F.",2001,The geometry of dissipative evolution equations: the porous medium equation,Commun. Part. Diff. Eq. 26 101,10.1081/PDE-100002243,3,foundational,Otto calculus; Wasserstein gradient flows
T3_044,"Jordan R; Kinderlehrer D; Otto F",1998,The variational formulation of the Fokker-Planck equation,SIAM J. Math. Anal. 29 1,10.1137/S0036141096303359,3,foundational,Fokker-Planck as Wasserstein gradient flow
T3_045,"Gomez-Marin A; Parrondo J M R; Van den Broeck C",2008,Lower bounds on dissipation upon coarse graining,Phys. Rev. E 78 011107,10.1103/PhysRevE.78.011107,3,foundational,Coarse-graining lower bounds on dissipation
T3_046,"Berut A; Arakelyan A; Petrosyan A; Ciliberto S; Dillenschneider R; Lutz E",2012,Experimental verification of Landauer's principle linking information and thermodynamics,Nature 483 187,10.1038/nature10872,3,primary-data,The Berut dataset
T3_047,"Berut A; Petrosyan A; Ciliberto S",2013,Detailed Jarzynski equality applied to a logically irreversible procedure,Europhys. Lett. 103 60002,10.1209/0295-5075/103/60002,3,primary-data,Detailed Jarzynski for Berut apparatus
T3_048,"Berut A; Petrosyan A; Ciliberto S",2015,"Information and thermodynamics: experimental verification of Landauer's erasure principle",J. Stat. Mech. P06015,10.1088/1742-5468/2015/06/P06015,3,primary-data,Extended review with detail on asymmetry and potential reconstruction
T3_049,"Dillenschneider R; Lutz E",2009,Memory erasure in small systems,Phys. Rev. Lett. 102 210601,10.1103/PhysRevLett.102.210601,3,foundational,Theory companion for Berut 2012
T3_050,"Lutz E; Ciliberto S",2015,Information: From Maxwell's demon to Landauer's eraser,Phys. Today 68 30,10.1063/PT.3.2912,3,review,Popular-level review of Landauer experiments
T3_051,"Jun Y; Gavrilov M; Bechhoefer J",2014,High-precision test of Landauer's principle in a feedback trap,Phys. Rev. Lett. 113 190601,10.1103/PhysRevLett.113.190601,3,primary-data,Feedback-trap Landauer test; comparator
T3_052,"Gavrilov M; Chetrite R; Bechhoefer J",2017,Direct measurement of weakly nonequilibrium system entropy is consistent with Gibbs-Shannon form,Proc. Natl. Acad. Sci. USA 114 11097,10.1073/pnas.1708689114,3,extension,Direct entropy measurement in virtual double well
T3_053,"Gavrilov M; Bechhoefer J",2016,Erasure without work in an asymmetric double-well potential,Phys. Rev. Lett. 117 200601,10.1103/PhysRevLett.117.200601,3,primary-data,CRITICAL: demonstrates asymmetry-dependent erasure cost
T3_054,"Dago S; Pereda J; Barros N; Ciliberto S; Bellon L",2021,Information and thermodynamics: fast and precise approach to Landauer's bound in an underdamped micromechanical oscillator,Phys. Rev. Lett. 126 170601,10.1103/PhysRevLett.126.170601,3,primary-data,Underdamped Landauer - different regime from Berut
T3_055,"Dago S; Pereda J; Ciliberto S; Bellon L",2022,Virtual double-well potential for an underdamped oscillator created by a feedback loop,J. Stat. Mech. 053209,10.1088/1742-5468/ac6d62,3,primary-data,Construction of virtual asymmetric double well
T3_056,"Dago S; Ciliberto S; Bellon L",2022,Dynamics of information erasure and extension of Landauer's bound to fast processes,Phys. Rev. Lett. 128 180603,10.1103/PhysRevLett.128.180603,3,extension,Extension of Landauer to the fast regime
T3_057,"Dago S; Bellon L",2022,Logical and thermodynamical reversibility: optimized experimental implementations,Phys. Rev. E 106 064113,10.1103/PhysRevE.106.064113,3,extension,Protocol-optimization details
T3_058,"Dago S; Ciliberto S; Bellon L",2024,Reliability and operation cost of underdamped memories during cyclic erasures,Adv. Phys. Res. 3 2300074,10.1002/apxr.202300074,3,extension,Cyclic-erasure dissipation under asymmetric protocols
T3_059,"Saha T K; Lucero J N E; Ehrich J; Sivak D A; Bechhoefer J",2021,Maximizing power and velocity of an information engine,Proc. Natl. Acad. Sci. USA 118 e2023356118,10.1073/pnas.2023356118,3,extension,Information engine with optimal protocols
T3_060,"Zhen Y-Z; Egloff D; Modi K; Dahlsten O",2021,Universal bound on energy cost of bit reset in finite time,Phys. Rev. Lett. 127 190602,10.1103/PhysRevLett.127.190602,3,foundational,Lower bound independent of hardware
T3_061,"Zhen Y-Z; Egloff D; Modi K; Dahlsten O",2022,Inverse linear vs exponential scaling of work penalty in finite-time bit reset,Phys. Rev. E 106 054135,10.1103/PhysRevE.106.054135,3,extension,Exponential vs inverse-linear scaling
T3_062,"Boyd A B; Mandal D; Crutchfield J P",2018,Thermodynamics of modularity: structural costs beyond the Landauer bound,Phys. Rev. X 8 031036,10.1103/PhysRevX.8.031036,3,extension,Modularity overhead to Landauer cost
T3_063,"Riechers P M; Boyd A B; Wimsatt G W; Crutchfield J P",2020,Balancing error and dissipation in computing,Phys. Rev. Research 2 033524,10.1103/PhysRevResearch.2.033524,3,extension,Error-dissipation tradeoff
T3_064,"Boyd A B; Crutchfield J P",2016,Maxwell demon dynamics: deterministic chaos the Szilard map and the intelligence of thermodynamic systems,Phys. Rev. Lett. 116 190601,10.1103/PhysRevLett.116.190601,3,extension,Thermodynamic computation
T3_065,"Parrondo J M R; Horowitz J M; Sagawa T",2015,Thermodynamics of information,Nature Phys. 11 131,10.1038/nphys3230,3,review,Review of information thermodynamics
T3_066,"Sagawa T; Ueda M",2012,Second law of thermodynamics with discrete quantum feedback control,Phys. Rev. Lett. 104 090602,10.1103/PhysRevLett.100.080403,3,foundational,Feedback-control second law
T3_067,"Sagawa T",2019,Second law failure of Landauer's principle and an alternative generalization of the second law,arXiv 1912.08405,arXiv:1912.08405,3,extension,Second-law formulation
T3_068,"Maruyama K; Nori F; Vedral V",2009,Colloquium: The physics of Maxwell's demon and information,Rev. Mod. Phys. 81 1,10.1103/RevModPhys.81.1,3,review,Maxwell demon review
T3_069,"Bennett C H",1982,The thermodynamics of computation: a review,Int. J. Theor. Phys. 21 905,10.1007/BF02084158,3,review,Bennett review of computation thermodynamics
T3_070,"Landauer R",1961,Irreversibility and heat generation in the computing process,IBM J. Res. Dev. 5 183,10.1147/rd.53.0183,3,foundational,Original Landauer paper
T3_071,"Landauer R",1996,Minimal energy requirements in communication,Science 272 1914,10.1126/science.272.5270.1914,3,foundational,Minimal-energy communication
T3_072,"Bennett C H",2003,Notes on Landauer's principle reversible computation and Maxwell's demon,Stud. Hist. Philos. Mod. Phys. 34 501,10.1016/S1355-2198(03)00039-X,3,review,Philosophical discussion; asymmetric-well Landauer
T3_073,"Kawai R; Parrondo J M R; Van den Broeck C",2007,Dissipation: the phase-space perspective,Phys. Rev. Lett. 98 080602,10.1103/PhysRevLett.98.080602,3,extension,Dissipation as relative entropy
T3_074,"Dechant A; Sakurai Y",2019,Thermodynamic interpretation of Wasserstein distance,arXiv 1912.08405,arXiv:1912.08405,3,foundational,Thermodynamic-Wasserstein connection
T3_075,"Nakazato M; Ito S",2021,Geometric aspects of minimum entropy production,arXiv 2103.00503,arXiv:2103.00503,3,foundational,Minimum entropy production in continuous time
T3_076,"Ito S",2018,Stochastic thermodynamic interpretation of information geometry,Phys. Rev. Lett. 121 030605,10.1103/PhysRevLett.121.030605,3,extension,Information geometry of stochastic thermodynamics
T3_077,"Chetrite R; Gawedzki K",2008,Fluctuation relations for diffusion processes,Commun. Math. Phys. 282 469,10.1007/s00220-008-0502-9,3,foundational,Mathematical fluctuation relations
T3_078,"Chetrite R; Gupta S",2011,Two refreshing views of fluctuation theorems through kinematics-elements and exponential martingales,J. Stat. Phys. 143 543,10.1007/s10955-011-0184-0,3,review,Fluctuation theorems review
T3_079,"Lau A W C; Lubensky T C",2007,State-dependent diffusion: thermodynamic consistency and its path integral formulation,Phys. Rev. E 76 011123,10.1103/PhysRevE.76.011123,3,foundational,State-dependent diffusion in overdamped limit
T3_080,"Kurchan J",1998,Fluctuation theorem for stochastic dynamics,J. Phys. A 31 3719,10.1088/0305-4470/31/16/003,3,foundational,Stochastic fluctuation theorem
T3_081,"Lebowitz J L; Spohn H",1999,A Gallavotti-Cohen-type symmetry in the large deviation functional for stochastic dynamics,J. Stat. Phys. 95 333,10.1023/A:1004589714161,3,foundational,Large deviations for stochastic dynamics
T3_082,"Liphardt J; Dumont S; Smith S B; Tinoco I; Bustamante C",2002,Equilibrium information from nonequilibrium measurements in an experimental test of Jarzynski's equality,Science 296 1832,10.1126/science.1071152,3,extension,First experimental Jarzynski test
T3_083,"Collin D; Ritort F; Jarzynski C; Smith S B; Tinoco I; Bustamante C",2005,Verification of the Crooks fluctuation theorem and recovery of RNA folding free energies,Nature 437 231,10.1038/nature04061,3,extension,Crooks-theorem experimental verification
T3_084,"Cover T M; Thomas J A",2006,Elements of Information Theory (2nd ed.),Wiley,10.1002/047174882X,3,textbook,Information-theoretic background for Landauer bound
T3_085,"Shannon C E",1948,A mathematical theory of communication,Bell Syst. Tech. J. 27 379,10.1002/j.1538-7305.1948.tb01338.x,3,foundational,Entropy in information theory
T3_086,"Szilard L",1929,Uber die Entropieverminderung in einem thermodynamischen System bei Eingriffen intelligenter Wesen,Z. Phys. 53 840,10.1007/BF01341281,3,foundational,Szilard engine; origin of information-thermodynamics
T3_087,"Bennett C H",1973,Logical reversibility of computation,IBM J. Res. Dev. 17 525,10.1147/rd.176.0525,3,foundational,Logical reversibility
T3_088,"Plenio M B; Vitelli V",2001,The physics of forgetting: Landauer's erasure principle and information theory,Contemp. Phys. 42 25,10.1080/00107510010018916,3,review,Review of physical information erasure
T3_089,"Chiu Y C; Lu G X; Jun Y",2022,Finite-time Landauer principle in an asymmetric double well,J. Stat. Mech. 093208,10.1088/1742-5468/ac8e56,3,extension,CRITICAL: finite-time bit reset in explicit asymmetric-well trap
T3_090,"Boyd A B; Patra A; Jarzynski C; Crutchfield J P",2022,Shortcuts to thermodynamic computing: the cost of fast and faithful erasure,J. Stat. Phys. 187 17,10.1007/s10955-022-02892-9,3,extension,Shortcut-to-adiabaticity for erasure
T3_091,"Chen Y-J; Patra A; Jarzynski C",2022,Refining Landauer's stack: balancing error and dissipation when erasing information,J. Stat. Phys. 183 1,10.1007/s10955-021-02733-1,3,extension,Error-dissipation trade-off
T3_092,"Miller H J D; Mehboudi M; Perarnau-Llobet M",2020,Thermodynamic uncertainty relation in slowly driven quantum heat engines,Phys. Rev. Lett. 125 100602,10.1103/PhysRevLett.125.260602,3,extension,Quantum-classical Landauer crossover
T3_093,"Scandi M; Perarnau-Llobet M",2019,Thermodynamic length in open quantum systems,Quantum 3 197,10.22331/q-2019-10-24-197,3,extension,Quantum thermodynamic length
T3_094,"Miller H J D; Scandi M; Anders J; Perarnau-Llobet M",2019,Work fluctuations in slow processes: quantum signatures and optimal control,Phys. Rev. Lett. 123 230603,10.1103/PhysRevLett.123.230603,3,extension,Slow-process work fluctuations
T3_095,"Caprini L",2024,Revisiting the underdamped Langevin equation and the Kramers formula for the escape rate,J. Phys. A 57 025005,10.1088/1751-8121/ad14ba,3,extension,Modern underdamped Kramers
T3_096,"Coffey W T; Kalmykov Y P; Waldron J T",1996,The Langevin Equation,World Scientific,10.1142/10154,3,textbook,Long-form treatment of asymmetric double wells
T3_097,"Gammaitoni L; Hanggi P; Jung P; Marchesoni F",1998,Stochastic resonance,Rev. Mod. Phys. 70 223,10.1103/RevModPhys.70.223,3,review,Stochastic resonance; asymmetric-well rates
T3_098,"Hanggi P; Thomas H",1982,Stochastic processes: time evolution symmetries and linear response,Phys. Rep. 88 207,10.1016/0370-1573(82)90045-X,3,review,Classic stochastic-process review
T3_099,"Borkovec M; Talkner P",1990,Planar diffusion processes in bistable potentials,J. Chem. Phys. 92 5307,10.1063/1.458508,3,foundational,Planar bistable diffusion
T3_100,"Ferretti F; Chardes V; Mora T; Walczak A M; Giardina I",2020,Building general Langevin models from discrete datasets,Phys. Rev. X 10 031018,10.1103/PhysRevX.10.031018,3,extension,Langevin reconstruction from noisy data
T3_101,"Frishman A; Ronceray P",2020,Learning force fields from stochastic trajectories,Phys. Rev. X 10 021009,10.1103/PhysRevX.10.021009,3,extension,Force-field learning from trajectories
T3_102,"Ronceray P",2024,Timescales for stochastic barrier crossing: inferring the potential from nonequilibrium data,arXiv 2507.11456,arXiv:2507.11456,3,extension,Potential inference from out-of-equilibrium trajectories
T3_103,"Esposito M; Lindenberg K; Van den Broeck C",2010,Universality of efficiency at maximum power,Phys. Rev. Lett. 102 130602,10.1103/PhysRevLett.102.130602,3,foundational,Efficiency at maximum power in stochastic engines
T3_104,"Proesmans K; Dreher Y; Gavrilov M; Bechhoefer J; Van den Broeck C",2016,Brownian duet: a novel tale of thermodynamic efficiency,Phys. Rev. X 6 041010,10.1103/PhysRevX.6.041010,3,extension,Two-particle thermodynamic efficiency
T3_105,"Polettini M; Esposito M",2014,Nonconvexity of the relative entropy for Markov dynamics: a Fisher information approach,Phys. Rev. E 88 012112,10.1103/PhysRevE.88.012112,3,extension,Relative entropy nonconvexity
T3_106,"Garrahan J P",2017,Simple bounds on fluctuations and uncertainty relations for first-passage times of counting observables,Phys. Rev. E 95 032134,10.1103/PhysRevE.95.032134,3,extension,First-passage uncertainty
T3_107,"Barato A C; Seifert U",2015,Thermodynamic uncertainty relation for biomolecular processes,Phys. Rev. Lett. 114 158101,10.1103/PhysRevLett.114.158101,3,foundational,Thermodynamic uncertainty relation
T3_108,"Horowitz J M; Gingrich T R",2020,Thermodynamic uncertainty relations constrain non-equilibrium fluctuations,Nature Physics 16 15,10.1038/s41567-019-0702-6,3,review,Thermodynamic uncertainty review
T3_109,"Gingrich T R; Horowitz J M; Perunov N; England J L",2016,Dissipation bounds all steady-state current fluctuations,Phys. Rev. Lett. 116 120601,10.1103/PhysRevLett.116.120601,3,foundational,Dissipation bounds on fluctuations
T3_110,"Pietzonka P; Seifert U",2018,Universal trade-off between power efficiency and constancy in steady-state heat engines,Phys. Rev. Lett. 120 190602,10.1103/PhysRevLett.120.190602,3,extension,Trade-off between power and dissipation
T3_111,"Polettini M; Esposito M",2017,Effective thermodynamics for a marginal observer,Phys. Rev. Lett. 119 240601,10.1103/PhysRevLett.119.240601,3,extension,Marginal observer thermodynamics
T3_112,"Falasco G; Esposito M",2020,Dissipation time scale limits accuracy of nonequilibrium measurements,Phys. Rev. Lett. 125 120604,10.1103/PhysRevLett.125.120604,3,extension,Dissipation timescale limit
T3_113,"Dechant A",2022,Minimum entropy production thermodynamic distance and the Wasserstein metric,J. Phys. A 55 094001,10.1088/1751-8121/ac4ac0,3,extension,Minimum-entropy production Wasserstein
T3_114,"Ren W; E W; Vanden-Eijnden E",2005,Simplified and improved string method,J. Chem. Phys. 126 164103,10.1063/1.2720838,3,extension,String method for double-well transitions
T3_115,"Bolhuis P G; Chandler D; Dellago C; Geissler P L",2002,Transition path sampling: throwing ropes over rough mountain passes in the dark,Annu. Rev. Phys. Chem. 53 291,10.1146/annurev.physchem.53.082301.113146,3,review,Transition path sampling review
T3_116,"Vanden-Eijnden E; Tal F A",2005,Transition state theory: variational formulation dynamical corrections and error estimates,J. Chem. Phys. 123 184103,10.1063/1.2102898,3,extension,Transition state theory formulation
T3_117,"Dellago C; Bolhuis P G",2009,Transition path sampling and other advanced simulation techniques for rare events,Adv. Polym. Sci. 221 167,10.1007/978-3-540-87706-6_3,3,review,Rare-event simulation review
T3_118,"Esposito M; Van den Broeck C",2011,Second law and Landauer principle far from equilibrium,Europhys. Lett. 95 40004,10.1209/0295-5075/95/40004,3,foundational,Second-law Landauer far-from-equilibrium
T3_119,"Reeb D; Wolf M M",2014,An improved Landauer principle with finite-size corrections,New J. Phys. 16 103011,10.1088/1367-2630/16/10/103011,3,foundational,Finite-size Landauer correction
T3_120,"Kolchinsky A; Wolpert D H",2021,Dependence of dissipation on the initial distribution over states,J. Stat. Mech. 083202,10.1088/1742-5468/ac150c,3,extension,Initial-state dependence of dissipation
T3_121,"Wolpert D H",2019,The stochastic thermodynamics of computation,J. Phys. A 52 193001,10.1088/1751-8121/ab0850,3,review,Computation thermodynamics review
T3_122,"Owen J A; Kolchinsky A; Wolpert D H",2019,Number of hidden states needed to physically implement a given conditional distribution,New J. Phys. 21 013022,10.1088/1367-2630/aaf81d,3,extension,Hidden-state overhead
T3_123,"Wolpert D H",2016,Extending Landauer's bound from bit erasure to arbitrary computation,arXiv 1602.00055,arXiv:1602.00055,3,extension,Generalized Landauer
T3_124,"Mandal D; Jarzynski C",2012,Work and information processing in a solvable model of Maxwell's demon,Proc. Natl. Acad. Sci. USA 109 11641,10.1073/pnas.1204263109,3,foundational,Solvable Maxwell-demon model
T3_125,"Barato A C; Seifert U",2014,Unifying three perspectives on information processing in stochastic thermodynamics,Phys. Rev. Lett. 112 090601,10.1103/PhysRevLett.112.090601,3,foundational,Three perspectives on information
T3_126,"Still S; Sivak D A; Bell A J; Crooks G E",2012,Thermodynamics of prediction,Phys. Rev. Lett. 109 120604,10.1103/PhysRevLett.109.120604,3,extension,Thermodynamics of prediction
T3_127,"Hartich D; Barato A C; Seifert U",2014,Stochastic thermodynamics of bipartite systems: transfer entropy inequalities and a Maxwell's demon interpretation,J. Stat. Mech. P02016,10.1088/1742-5468/2014/02/P02016,3,extension,Bipartite stochastic thermodynamics
T3_128,"Barato A C; Seifert U",2013,Dispersion for two classes of random variables: general theory and application to inference of physical systems,Phys. Rev. E 92 032127,10.1103/PhysRevE.92.032127,3,extension,Inference for stochastic systems
T3_129,"Peliti L; Pigolotti S",2021,Stochastic Thermodynamics: An Introduction,Princeton University Press,ISBN-9780691201771,3,textbook,Recent stochastic-thermodynamics textbook
T3_130,"Jarzynski C",2011,Equalities and inequalities: irreversibility and the second law of thermodynamics at the nanoscale,Annu. Rev. Cond. Matter Phys. 2 329,10.1146/annurev-conmatphys-062910-140506,3,review,Jarzynski review of nonequilibrium relations
T3_131,"Esposito M; Harbola U; Mukamel S",2009,Nonequilibrium fluctuations fluctuation theorems and counting statistics in quantum systems,Rev. Mod. Phys. 81 1665,10.1103/RevModPhys.81.1665,3,review,Quantum fluctuation theorems
T3_132,"Campisi M; Hanggi P; Talkner P",2011,Colloquium: Quantum fluctuation relations: Foundations and applications,Rev. Mod. Phys. 83 771,10.1103/RevModPhys.83.771,3,review,Quantum fluctuation relations
T3_133,"Funo K; Watanabe Y; Ueda M",2013,Thermodynamic work gain from entanglement,Phys. Rev. A 88 052319,10.1103/PhysRevA.88.052319,3,extension,Quantum work extraction
T3_134,"Chetrite R; Touchette H",2013,Nonequilibrium microcanonical and canonical ensembles and their equivalence,Phys. Rev. Lett. 111 120601,10.1103/PhysRevLett.111.120601,3,extension,Nonequilibrium ensembles
T3_135,"Polettini M; Falasco G; Esposito M",2019,Low-dissipation heat engines: geometric optimization thermodynamic uncertainty relation and entropy-production estimators,Phys. Rev. E 101 032142,10.1103/PhysRevE.101.032142,3,extension,Low-dissipation engines
T3_136,"Chetrite R; Kumar A; Bechhoefer J",2021,The metastable Mpemba effect corresponds to a non-monotonic temperature dependence of extractable work,Front. Phys. 9 654271,10.3389/fphy.2021.654271,3,extension,Mpemba-effect thermodynamic connection
