timestamp	exp_id	description	n_treated	n_control	rate_treated	rate_control	risk_diff	rd_ci_lo	rd_ci_hi	roc_auc	pr_auc	brier	log_loss	n_train	n_test	status
2026-04-14T13:22:58	E09-2018-2019	Era-specific PSM ATT 2018-2019	53	265	0.1887	0.1660	+0.0226	-0.0868	+0.1435	nan	nan	nan	nan	0	0	HDR
2026-04-14T13:22:58	E10-Other_Technology	Sector-specific PSM ATT: Other Technology	92	460	0.3043	0.2717	+0.0326	-0.0696	+0.1370	nan	nan	nan	nan	0	0	HDR
2026-04-14T13:22:58	E10-Biotechnology	Sector-specific PSM ATT: Biotechnology	12	60	0.1667	0.2000	-0.0333	-0.2500	+0.2167	nan	nan	nan	nan	0	0	HDR
2026-04-14T13:22:59	E13	Placebo: fake-YC on sector/quarter-matched controls	117	31724	0.3077	0.2914	+0.0163	-0.0680	+0.1006	nan	nan	nan	nan	0	0	PLACEBO
2026-04-14T13:23:00	E14	Randomization inference (1000 perms)	117	585	0.2906	0.2684	+0.0222	-0.0780	+0.0850	nan	nan	nan	nan	0	0	MANDATORY_M7
2026-04-14T13:23:00	E16	E-value (VanderWeele-Ding) for primary ATT	117	585	0.2906	0.2684	+0.0222	+1.3822	+1.0828	nan	nan	nan	nan	0	0	MANDATORY_E2
2026-04-14T13:34:35	RV01-M2_size	RV01 real ecosystem covariate set M2_size	117	585	0.2906	0.2735	+0.0171	-0.0701	+0.1077	nan	nan	nan	nan	0	0	REVIEW
2026-04-14T13:34:35	RV01-M3_real	RV01 real ecosystem covariate set M3_real	116	580	0.2931	0.2328	+0.0603	-0.0310	+0.1517	nan	nan	nan	nan	0	0	REVIEW
2026-04-14T13:34:35	RV01-M4_real	RV01 real ecosystem covariate set M4_real	116	580	0.2931	0.2500	+0.0431	-0.0448	+0.1328	nan	nan	nan	nan	0	0	REVIEW
2026-04-14T13:37:43	RV03-T2y	Censoring-corrected T+2y (0% anchors dropped)	116	580	0.2155	0.2121	+0.0034	-0.0742	+0.0879	nan	nan	nan	nan	0	0	REVIEW
2026-04-14T13:40:51	RV03-T3y	Censoring-corrected T+3y (0% anchors dropped)	116	580	0.2931	0.2414	+0.0517	-0.0363	+0.1414	nan	nan	nan	nan	0	0	REVIEW
2026-04-14T13:43:56	RV03-T5y	Censoring-corrected T+5y (6% anchors dropped)	99	495	0.3131	0.3192	-0.0061	-0.1071	+0.0930	nan	nan	nan	nan	0	0	REVIEW
2026-04-14T13:47:00	RV03-T7y	Censoring-corrected T+7y (33% anchors dropped)	51	255	0.4706	0.4118	+0.0588	-0.0902	+0.2039	nan	nan	nan	nan	0	0	REVIEW
2026-04-14T13:47:00	RV05	Balance: max |SMD| post-match 0.250; common support 99.1%; drops 1	116	580	0.2931	0.2500	+0.2503	+0.9915	+1.0000	nan	nan	nan	nan	0	0	REVIEW
2026-04-14T13:47:45	RV04	Within-stratum permutation test (300 perms)	116	580	0.2931	0.2500	+0.0431	-0.0781	+0.0885	nan	nan	nan	nan	0	0	REVIEW
2026-04-14T13:49:33	RV07	Cox PH hazard ratio is_yc on time-to-next-raise (censored 2024-12-31)	117	31724	0.7858	0.1528	+0.7858	+0.5647	+1.0935	nan	nan	nan	nan	0	0	REVIEW
2026-04-14T13:51:40	RV02	Fuzzy-expanded treated (n=136, match_rate=9.2%); PSM on M3_real	134	670	0.2836	0.2672	+0.0164	-0.0642	+0.0971	nan	nan	nan	nan	0	0	REVIEW
2026-04-14T13:54:01	RV06-alt	RV06-alt lookalike placebo: top-n non-YC by PS vs remaining (Techstars scrape blocked on auth)	117	31607	0.0769	0.2922	-0.2153	-0.2596	-0.1645	nan	nan	nan	nan	0	0	REVIEW
