id,title,authors,year,type,domain,subcategory,method,key_finding,hypothesis_generated,relevance
5011,Dataset-learning duality and emergent criticality,"Kukleva, E.; Vanchurin, V.",2024,preprint,dl_theory,criticality_in_dl,theory,"Duality between dataset statistics and learning dynamics yields emergent criticality without explicit tuning (arXiv:2405.17391)",Theoretical basis for why trained nets self-organise near criticality when trained on natural data; relevant to input-driven framing,4
5012,ICLR: In-Context Learning of Representations,"Park, C.F.; Lee, A.; Lubana, E.S.; Yang, Y.; Okawa, M.; Nishi, K.; Wattenberg, M.; Tanaka, H.",2025,preprint,mech_interp,in_context_learning,empirical,"In-context examples reshape internal representations at runtime; supports runtime-conditional dynamics thesis (arXiv:2501.00070)",In-context prompts are a direct input-driven lever on representation geometry; tie to our input-conditional criticality probe,3
5013,A Sparsity Predicting Approach for Large Language Models via Activation Pattern Clustering,"Dhar, N.; Deng, B.; Islam, M.R.; Zhang, X.; Nasif, K.F.A.; Suo, K.",2025,preprint,mech_interp,activation_patterns,empirical,"Activation-pattern clustering for LLMs reveals structured input-conditional sparsity patterns (arXiv:2507.14179)",Activation-cluster structure is a candidate order parameter for input-driven criticality; test distributional shift with prompt,3
5014,LLM Circuit Analyses Are Consistent Across Training and Scale,"Tigges, C.; Hanna, M.; Yu, Q.; Biderman, S.",2024,conference_paper,mech_interp,induction_heads,empirical,"Induction-head emergence on Pythia is consistent across model sizes and training stages; NeurIPS 2024 (arXiv:2407.10827)",Pythia induction-head emergence is the canonical phase-transition reference for ICL; our emergence analysis must cite,5
5015,Which Attention Heads Matter for In-Context Learning,"Yin, K.; Steinhardt, J.",2025,preprint,mech_interp,induction_heads,empirical,"Analysis of which attention heads drive ICL across Pythia and similar models (arXiv:2502.14010; original request attributed to Chughtai et al. — VERIFY)",Complements Tigges 2024 induction-emergence story with head-importance analysis,4
5016,In-Context Learning Without Copying,"Sahin, K.; Feucht, S.; Belfki, A.; Brinkmann, J.; Mueller, A.; Bau, D.; Wendler, C.",2025,preprint,mech_interp,induction_heads,empirical,"Induction-head dynamics analysis showing ICL can occur without literal copying behaviour (arXiv:2511.05743; original request attributed to Sahin 2025 — VERIFY co-authors)",Extends induction dynamics picture; cite alongside Tigges for completeness,3
5017,On the Emergence of Induction Heads for In-Context Learning,"Musat, T.; Pimentel, T.; Noci, L.; Stolfo, A.; Sachan, M.; Hofmann, T.",2025,preprint,mech_interp,induction_heads,theory,"Theoretical and empirical analysis of induction-head emergence during training (arXiv:2511.01033)",Mechanistic emergence theory for induction heads; use to interpret any phase-transition signature,4
5018,Robust and Scalable Bayesian Online Changepoint Detection,"Altamirano, M.; Briol, F.-X.; Knoblauch, J.",2023,preprint,methodology,changepoint_detection,methodology,"Robust Bayesian online changepoint detector resilient to outliers and misspecification (arXiv:2302.04759)","Methodology for detecting training-dynamics phase transitions in noisy metric time series (loss, sigma, alpha)",4
5019,Critical Phase Transition in Large Language Models,"Nakaishi, K.; Nishikawa, Y.; Hukushima, K.",2024,preprint,criticality_in_dl,phase_transitions,empirical,"Sampling-temperature axis of LLM induces critical phase transition; Pythia-70M analysis (arXiv:2406.05335 Jun 2024)",Temperature axis criticality precedent; our training-axis criticality must distinguish,5
5020,Understanding Emergent Abilities of Language Models from the Loss Perspective,"Du, Z.; Zeng, A.; Dong, Y.; Tang, J.",2024,conference_paper,scaling,emergence,empirical,"Pre-training-loss axis explains emergent capabilities better than parameter count; NeurIPS 2024 (arXiv:2403.15796)",Use pre-training loss rather than params as x-axis when correlating emergent capabilities with criticality metrics,4
5021,Random Scaling of Emergent Capabilities,"Zhao, R.; Qin, T.; Alvarez-Melis, D.; Kakade, S.; Saphra, N.",2025,preprint,scaling,emergence,empirical,"Bimodal across-seed distributions during training explain apparent emergent breakthroughs; self-follow-up to Schaeffer-mirage-2023 thread (arXiv:2502.17356; originally attributed to Schaeffer — VERIFY authorship)",Across-seed variance must be reported for any phase-transition claim; rules out spurious emergence,5
5022,LLM Internal States Reveal Hallucination Risk Faced With a Query,"Ji, Z.; Chen, D.; Ishii, E.; Cahyawijaya, S.; Bang, Y.; Wilie, B.; Fung, P.",2024,preprint,mech_interp,hallucination,empirical,"Probing LLM internal states yields ~84% accuracy hallucination detection (arXiv:2407.03282)",Internal-state probes for hallucination are candidate downstream predictors of activation criticality,3
5023,INSIDE: LLMs Internal States Retain the Power of Hallucination Detection,"Chen, C.; Liu, K.; Chen, Z.; Gu, Y.; Wu, Y.; Tao, M.; Fu, Z.; Ye, J.",2024,conference_paper,mech_interp,hallucination,empirical,"EigenScore from response-covariance spectrum detects hallucinations; ICLR 2024 (arXiv:2402.03744)",Covariance-spectrum hallucination detector is a direct test of whether spectral criticality correlates with factuality,4
5024,H-Neurons: On the Existence Impact and Origin of Hallucination-Associated Neurons in LLMs,"Gao, C.; Chen, H.; Xiao, C.; Chen, Z.; Liu, Z.; Sun, M.",2025,preprint,mech_interp,hallucination,empirical,"Small subset of neurons predicts hallucination (arXiv:2512.01797)",Hallucination-associated neuron subset; test whether they are high-degree hubs in scale-free functional graph,3
5025,Prompt-Guided Internal States for Hallucination Detection of Large Language Models,"Zhang, F.; Yu, P.; Yi, B.; Zhang, B.; Li, T.; Liu, Z.",2024,preprint,mech_interp,hallucination,empirical,"PRISM hallucination detection from prompt-guided internal states (arXiv:2411.04847)",Prompt-conditioned internal-state probe; compare to prompt-conditional criticality metrics,3
5026,Semantic Entropy Probes: Robust and Cheap Hallucination Detection in LLMs,"Kossen, J.; Han, J.; Razzak, M.; Schut, L.; Malik, S.; Gal, Y.",2024,preprint,mech_interp,hallucination,empirical,"Semantic entropy probes trained on LLM hidden states give cheap hallucination detection (arXiv:2406.15927)",Semantic entropy correlates with uncertainty; check relation to activation-spectrum entropy proxies,3
5027,Semantic Energy: Detecting LLM Hallucination Beyond Entropy,"Ma, H.; Pan, J.; Liu, J.; Chen, Y.; Zhou, J.T.; Wang, G.; Hu, Q.; Wu, H.; Zhang, C.; Wang, H.",2025,preprint,mech_interp,hallucination,empirical,"Energy-based detector outperforms entropy-based hallucination methods (arXiv:2508.14496)",Non-entropy energy functional as alternative hallucination predictor; may align with our activation-energy observables,3
5028,Semantic Uncertainty Quantification of Hallucinations in LLMs: A Quantum Tensor Network Based Method,"Vipulanandan, P.; Premaratne, K.; Sarkar, D.",2026,preprint,mech_interp,hallucination,methodology,"Quantum tensor network approach to hallucination uncertainty quantification (arXiv:2601.20026)",Tensor-network method parallels our RG coarse-graining; both operate on covariance/correlation structure,2
5029,Tethered Reasoning: Decoupling Entropy from Hallucination in Quantized LLMs via Manifold Steering,"Atkinson, C.",2026,preprint,mech_interp,hallucination,methodology,"Quantization-robust hallucination detection via manifold steering (arXiv:2602.17691)",Bridges quantization (off-critical perturbation) and hallucination; direct test of whether quantization shifts criticality,3
5030,Investigating Symbolic Triggers of Hallucination in Gemma Models Across HaluEval and TruthfulQA,"Lamba, N.; Tiwari, S.; Gaur, M.",2025,preprint,mech_interp,hallucination,empirical,"Gemma-2-2B hallucination token-window analysis shows 10-30 token peak in risk (arXiv:2509.09715)",Token-window hallucination structure gives a temporal criticality window to test,2
5031,Revisiting Adversarial Training for ImageNet: Architectures Training and Generalization across Threat Models,"Singh, N.D.; Croce, F.; Hein, M.",2023,conference_paper,robustness,adversarial,empirical,"ViT-B with ConvStem adversarial training sets new RobustBench SOTA on ImageNet; NeurIPS 2023 (arXiv:2303.01870)",Adversarially trained RobustBench checkpoint; compare activation-criticality between robust and standard ViTs,4
5032,A Light Recipe to Train Robust Vision Transformers,"Debenedetti, E.; Sehwag, V.; Mittal, P.",2022,preprint,robustness,adversarial,empirical,"Simple adversarial-training recipe generalises across ViT variants including XCiT (arXiv:2209.07399; original request listed as XCiT adversarial trained — VERIFY arXiv ID corrected from unspecified)",Alternative robust ViT for criticality comparison,3
5033,Fourier-spectral analysis of adversarial activations,"Kim",2024,conference_paper,robustness,adversarial,empirical,"VERIFY: WACV 2024 Fourier-spectral analysis of adversarial activations; exact title/authors/arXiv not verified in writing pass",Adversarial perturbations as off-critical excitation; spectral analysis parallels our PSD-of-activation methodology,3
5034,LLM.int8(): 8-bit Matrix Multiplication for Transformers at Scale,"Dettmers, T.; Lewis, M.; Belkada, Y.; Zettlemoyer, L.",2022,conference_paper,quantization,post_training,empirical,"8-bit quantization for LLMs preserving accuracy despite emergent outlier features; NeurIPS 2022 (arXiv:2208.07339)",Quantization as controlled perturbation off critical point; outlier features align with massive-activation story,4
5035,SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,"Xiao, G.; Lin, J.; Seznec, M.; Wu, H.; Demouth, J.; Han, S.",2022,conference_paper,quantization,post_training,empirical,"SmoothQuant migrates activation outliers to weights enabling W8A8 quantization; ICML 2023 (arXiv:2211.10438)",Quantization methodology specifically targeting activation outliers; relevant to massive-activation hypothesis,3
5036,AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration,"Lin, J.; Tang, J.; Tang, H.; Yang, S.; Chen, W.-M.; Wang, W.-C.; Xiao, G.; Dang, X.; Gan, C.; Han, S.",2023,preprint,quantization,post_training,empirical,"Activation-aware weight quantization preserves salient channels (arXiv:2306.00978)",Activation-aware quantization implicitly respects criticality structure; test whether AWQ-preserved channels are critical hubs,3
5037,Massive Activations in Large Language Models,"Sun, M.; Chen, X.; Kolter, J.Z.; Liu, Z.",2024,conference_paper,mech_interp,massive_activations,empirical,"Few activations with magnitudes ~10000x greater than median appear systematically in LLMs; COLM 2024 (arXiv:2402.17762)",Massive activations are extreme-tail candidates for criticality hubs; central observable,5
5038,Hidden Dynamics of Massive Activations in Transformer Training,"Gallego-Feliciano, J.; McClendon, S.A.; Morinelli, J.; Zervoudakis, S.; Saravanos, A.",2025,preprint,mech_interp,massive_activations,empirical,"Training dynamics of massive activations show sudden emergence consistent with phase transition (arXiv:2508.03616)",Massive-activation emergence timing provides a clean phase-transition signature during training,5
5039,QuaRot: Outlier-Free 4-Bit Inference in Rotated LLMs,"Ashkboos, S.; Mohtashami, A.; Croci, M.L.; Li, B.; Cameron, P.; Jaggi, M.; Alistarh, D.; Hoefler, T.; Hensman, J.",2024,preprint,quantization,rotation,empirical,"Rotation-based quantization removes outlier features enabling 4-bit inference (arXiv:2404.00456)",Rotation erases massive activations; test whether rotation also destroys criticality signatures,3
5040,SpinQuant: LLM Quantization with Learned Rotations,"Liu, Z.; Zhao, C.; Fedorov, I.; Soran, B.; Choudhary, D.; Krishnamoorthi, R.; Chandra, V.; Tian, Y.; Blankevoort, T.",2024,conference_paper,quantization,rotation,empirical,"Learned rotations further improve rotation-based quantization; ICLR 2025 (arXiv:2405.16406)",Learned-rotation quantization; parallel to QuaRot for criticality-preservation test,2
5041,Evaluating Quantized Large Language Models,"Li, S.; Ning, X.; Wang, L.; Liu, T.; Shi, X.; Yan, S.; Dai, G.; Yang, H.; Wang, Y.",2024,preprint,quantization,evaluation,empirical,"Systematic evaluation of quantized LLMs across tasks and bitwidths (arXiv:2402.18158)",Baseline quantization-accuracy curve against which to correlate criticality-metric degradation,2
5042,Evolution of the Spectral Dimension of Transformer Activations,"Liu; Paquette; Sous",2025,workshop_paper,criticality_in_dl,spectral_dimension,empirical,"VERIFY: NeurIPS 2025 OPT workshop paper 43; covariance-spectrum spectral-dimension alpha evolution across Pythia training checkpoints",Direct precedent for tracking spectral-dimension across training; our contribution must differentiate on observable or scope,5
5043,The Shape of Learning: Anisotropy and Intrinsic Dimensions in Transformer-Based Models,"Razzhigaev, A.; Mikhalchuk, M.; Goncharova, E.; Oseledets, I.; Dimitrov, D.; Kuznetsov, A.",2024,conference_paper,mech_interp,intrinsic_dimension,empirical,"Transformer activations exhibit low intrinsic dimension and anisotropy; EACL 2024 (arXiv:2311.05928; author Tulchinskii in original request — VERIFY attribution corrected)",Intrinsic-dimension measurement precedent; cite for low-dim subspace criticality argument,4
5044,Low-Dimensional Execution Manifolds in Transformer Learning Dynamics: Evidence from Modular Arithmetic Tasks,"Xu, Y.",2026,preprint,dl_theory,intrinsic_dimension,empirical,"Training trajectories compress onto 3-4 dim manifolds in 128-dim parameter space; modular arithmetic transformer (arXiv:2602.10496)",Extreme low-dim training manifold; criticality may live on this manifold,3
5045,Universal scale-free representations in human visual cortex,"Gauthaman, R.M.; Ménard, B.; Bonner, M.F.",2024,preprint,neuroscience,cortical_covariance,empirical,"Visual cortex population covariance exhibits universal power-law spectrum (arXiv:2409.06843)",Direct biological precedent for power-law covariance spectrum; compare to transformer covariance spectra,5
5046,Towards Universality: Studying Mechanistic Similarity Across Language Model Architectures,"Wang, J.; Ge, X.; Shu, W.; Tang, Q.; Zhou, Y.; He, Z.; Qiu, X.",2024,preprint,mech_interp,universality,empirical,"Mamba-vs-Transformer SAE universality analysis across architectures (arXiv:2410.06672)",Cross-architecture SAE-feature universality; test whether criticality signatures are also universal,3
5047,Steering CLIPs Vision Transformer with Sparse Autoencoders,"Joseph, S.; Suresh, P.; Goldfarb, E.; Hufe, L.; Gandelsman, Y.; Graham, R.; Bzdok, D.; Samek, W.; Richards, B.A.",2025,preprint,mech_interp,sparse_autoencoders,empirical,"SAEs trained on CLIP ViT enable interpretable steering of vision features (arXiv:2504.08729; original request listed as vision SAE — VERIFY title)",Vision-domain SAE basis; test whether vision-model criticality matches LLM criticality,3
5048,Interpretable and Testable Vision Features via Sparse Autoencoders,"Stevens, S.; Chao, W.-L.; Berger-Wolf, T.; Su, Y.",2025,preprint,mech_interp,sparse_autoencoders,empirical,"Vision SAE features enable testable interpretability claims (arXiv:2502.06755; original request listed as vision SAE — VERIFY title)",Vision SAE basis; cross-modal criticality comparison,3
5049,The Platonic Representation Hypothesis,"Huh, M.; Cheung, B.; Wang, T.; Isola, P.",2024,preprint,dl_theory,representation_convergence,theory,"Representations in AI models are converging toward shared platonic representation across modalities and architectures (arXiv:2405.07987; original request listed only as 'arXiv to verify' — VERIFY arXiv ID 2405.07987 confirmed)",Cross-modal representation convergence; universal criticality exponents expected under this hypothesis,4
5050,Similarity of neural network representations revisited,"Kornblith, S.; Norouzi, M.; Lee, H.; Hinton, G.",2019,conference_paper,dl_theory,representation_similarity,methodology,"Centered Kernel Alignment (CKA) as invariant similarity measure across neural network representations; ICML 2019 (VERIFY arXiv:1905.00414)",Methodological backbone for cross-model representation comparison; use CKA to pair criticality-matched layers across architectures,4
