id	phase	family	metric	value	status	seed	description	interaction
B01	B	discovery	bottleneck_ranking	bottleneck_ranking.csv	KEEP	42	Bottleneck ranking by marginal units/yr	
B02	B	discovery	policy_simulator	policy_package_simulator.csv	KEEP	42	Policy package simulator	
R1_50	2.75	sensitivity	effective_yield	0.495	KEEP	42	R1: opt-out=50%, eff_comp=18796, perm_marg=4946, ccc_marg=3267, swap=False	
R1_70	2.75	sensitivity	effective_yield	0.552	KEEP	42	R1: opt-out=70%, eff_comp=20969, perm_marg=5518, ccc_marg=3267, swap=False	
R1_90	2.75	sensitivity	effective_yield	0.609	KEEP	42	R1: opt-out=90%, eff_comp=23143, perm_marg=6090, ccc_marg=3267, swap=False	
R1_100	2.75	sensitivity	effective_yield	0.638	KEEP	42	R1: opt-out=100%, eff_comp=24229, perm_marg=6376, ccc_marg=3267, swap=False	
R2	2.75	robustness	perm_rank1_fraction	1.0	KEEP	42	R2: Perm #1 in 100% of 5000 MC draws; CCC never outranks perm	
R3	2.75	audit	revised_all_efficiency	5029.0	KEEP	42	R3: ABP/JR 100% overlap; combined eff revised from ~6100 to 5029	
R4_permission_volume	2.75	bootstrap	marginal_ci_permission_volume	3492.0	KEEP	42	R4: permission_volume marginal=3492 95%CI=[3225,3769]	
R4_ccc_filing_rate	2.75	bootstrap	marginal_ci_ccc_filing_rate	3242.0	KEEP	42	R4: ccc_filing_rate marginal=3242 95%CI=[2708,3788]	
R4_permission_lapse	2.75	bootstrap	marginal_ci_permission_lapse	722.0	KEEP	42	R4: permission_lapse marginal=722 95%CI=[395,1091]	
R4_abp_decision_time	2.75	bootstrap	marginal_ci_abp_decision_time	2526.0	KEEP	42	R4: abp_decision_time marginal=2526 95%CI=[2058,3200]	
R4_judicial_review	2.75	bootstrap	marginal_ci_judicial_review	1127.0	KEEP	42	R4: judicial_review marginal=1127 95%CI=[918,1427]	
