exp_id	description	model_family	n_features	cv_auc_mean	cv_auc_std	cv_f2_mean	cv_f2_std	holdout_auc	holdout_f2	holdout_precision	holdout_recall	aug2025_nw_auc	notes
E14	Add country indicator	xgboost	30	0.6466	0.0302	0.0293	0.0332	0.7494	0.0575	1.0000	0.0465	0.7989	Add country indicator
E15	Add DOY (day of year)	xgboost	31	0.6409	0.0294	0.0208	0.0208	0.7352	0.0289	1.0000	0.0233	0.7978	Add DOY (day of year)
E16	Remove DC (redundant with SPEI)	xgboost	20	0.6637	0.0378	0.0096	0.0192	0.7195	0.0000	0.0000	0.0000	0.8078	Remove DC (redundant with SPEI)
E17	Add FWI*wind interaction	xgboost	21	0.6579	0.0338	0.0074	0.0098	0.7159	0.0000	0.0000	0.0000	0.7944	Add FWI*wind interaction
E18	Add LFMC*FWI interaction	xgboost	21	0.6565	0.0310	0.0096	0.0191	0.7092	0.0000	0.0000	0.0000	0.7756	Add LFMC*FWI interaction
E19	Add temp*wind interaction	xgboost	21	0.6640	0.0270	0.0096	0.0192	0.7155	0.0289	1.0000	0.0233	0.7967	Add temp*wind interaction
E20	Add log(FWI+1)	xgboost	21	0.6521	0.0248	0.0096	0.0191	0.6923	0.0000	0.0000	0.0000	0.7667	Add log(FWI+1)
E21	Add wind^2 (nonlinear wind effect)	xgboost	21	0.6540	0.0354	0.0122	0.0185	0.7150	0.0000	0.0000	0.0000	0.8256	Add wind^2 (nonlinear wind effect)
E22	Add SPEI6*LFMC interaction	xgboost	21	0.6566	0.0402	0.0074	0.0098	0.7142	0.0000	0.0000	0.0000	0.8178	Add SPEI6*LFMC interaction
E23	Add wind>30 binary	xgboost	21	0.6578	0.0275	0.0122	0.0185	0.7137	0.0000	0.0000	0.0000	0.8056	Add wind>30 binary
E24	Add LFMC<80 binary	xgboost	21	0.6558	0.0276	0.0122	0.0185	0.7187	0.0000	0.0000	0.0000	0.8267	Add LFMC<80 binary
E25	Add SPEI6<-1 binary	xgboost	21	0.6558	0.0276	0.0122	0.0185	0.7137	0.0000	0.0000	0.0000	0.8044	Add SPEI6<-1 binary
E26	Three binary indicators (wind>30, LFMC<80, SPEI<-1)	xgboost	23	0.6538	0.0282	0.0000	0.0000	0.7032	0.0289	1.0000	0.0233	0.8011	Three binary indicators (wind>30, LFMC<80, SPEI<-1)
E27	Add eucalyptus + concurrent fires	xgboost	22	0.6552	0.0260	0.0096	0.0192	0.7446	0.0287	0.5000	0.0233	0.8189	Add eucalyptus + concurrent fires
E28	Add heatwave + night temp	xgboost	22	0.6547	0.0368	0.0137	0.0189	0.7112	0.0000	0.0000	0.0000	0.7911	Add heatwave + night temp
E29	Add detection hour + DOY	xgboost	22	0.6466	0.0284	0.0074	0.0097	0.7070	0.0000	0.0000	0.0000	0.8044	Add detection hour + DOY
E30	XGBoost deeper (max_depth=8)	xgboost	20	0.6520	0.0319	0.0096	0.0192	0.7162	0.0000	0.0000	0.0000	0.7633	XGBoost deeper (max_depth=8)
E31	XGBoost shallower (max_depth=4)	xgboost	20	0.6676	0.0407	0.0000	0.0000	0.7220	0.0000	0.0000	0.0000	0.8500	XGBoost shallower (max_depth=4)
E32	XGBoost more trees (n_estimators=500)	xgboost	20	0.6408	0.0346	0.0048	0.0096	0.6604	0.0000	0.0000	0.0000	0.7111	XGBoost more trees (n_estimators=500)
E33	XGBoost lower LR (0.03)	xgboost	20	0.6599	0.0262	0.0049	0.0097	0.7413	0.0000	0.0000	0.0000	0.8733	XGBoost lower LR (0.03)
E34	XGBoost scale_pos_weight=10	xgboost	20	0.6533	0.0282	0.0992	0.0171	0.7012	0.0543	0.1667	0.0465	0.7389	XGBoost scale_pos_weight=10
E35	XGBoost scale_pos_weight=25	xgboost	20	0.6485	0.0389	0.1426	0.0224	0.7187	0.0529	0.1176	0.0465	0.8789	XGBoost scale_pos_weight=25
E36	LightGBM with best features	lightgbm	20	0.6520	0.0125	0.0511	0.0094	0.7030	0.0289	1.0000	0.0233	0.8544	LightGBM with best features
E37	ExtraTrees with best features	extratrees	20	0.6850	0.0286	0.0092	0.0113	0.7801	0.0289	1.0000	0.0233	0.8289	ExtraTrees with best features
E38	Ridge with best features	ridge	20	0.6992	0.0358	0.0494	0.0327	0.7953	0.1777	0.2800	0.1628	0.8156	Ridge with best features
E39	XGBoost scale_pos_weight=5, depth=5	xgboost	20	0.6574	0.0287	0.1098	0.0293	0.7216	0.0279	0.1429	0.0233	0.8467	XGBoost scale_pos_weight=5, depth=5
E40	Remove FWI from base	xgboost	19	0.6456	0.0241	0.0074	0.0098	0.7134	0.0000	0.0000	0.0000	0.8667	Remove FWI from base
E41	Remove FFMC from base	xgboost	19	0.6553	0.0292	0.0041	0.0082	0.7167	0.0287	0.5000	0.0233	0.8067	Remove FFMC from base
E42	Remove DMC from base	xgboost	19	0.6496	0.0320	0.0074	0.0097	0.7202	0.0000	0.0000	0.0000	0.8711	Remove DMC from base
E43	Remove DC from base	xgboost	19	0.6544	0.0390	0.0000	0.0000	0.7095	0.0000	0.0000	0.0000	0.8289	Remove DC from base
E44	Remove ISI from base	xgboost	19	0.6512	0.0247	0.0096	0.0191	0.7167	0.0000	0.0000	0.0000	0.8667	Remove ISI from base
E45	Remove BUI from base	xgboost	19	0.6494	0.0299	0.0122	0.0186	0.7148	0.0000	0.0000	0.0000	0.8356	Remove BUI from base
E46	Remove temp_c from base	xgboost	19	0.6424	0.0334	0.0026	0.0052	0.7254	0.0000	0.0000	0.0000	0.8556	Remove temp_c from base
E47	Remove rh_pct from base	xgboost	19	0.6511	0.0266	0.0026	0.0052	0.7158	0.0000	0.0000	0.0000	0.8256	Remove rh_pct from base
E48	Remove precip_mm from base	xgboost	19	0.6533	0.0311	0.0069	0.0088	0.6790	0.0287	0.5000	0.0233	0.8022	Remove precip_mm from base
E49	Remove NDVI from base	xgboost	19	0.6372	0.0224	0.0073	0.0096	0.7056	0.0000	0.0000	0.0000	0.7900	Remove NDVI from base
E50	Remove elevation_m from base	xgboost	19	0.6559	0.0262	0.0074	0.0098	0.7304	0.0289	1.0000	0.0233	0.8300	Remove elevation_m from base
E51	Best interactions: FWI*wind + lowLFMC + eucalyptus	xgboost	23	0.6555	0.0259	0.0095	0.0190	0.7003	0.0289	1.0000	0.0233	0.7767	Best interactions: FWI*wind + lowLFMC + eucalyptus
E52	Binary+interactions: wind>30+LFMC<80+SPEI<-1+FWI*wind	xgboost	24	0.6626	0.0348	0.0122	0.0186	0.7039	0.0289	1.0000	0.0233	0.8011	Binary+interactions: wind>30+LFMC<80+SPEI<-1+FWI*wind
E53	spw=10 + interactions	xgboost	22	0.6519	0.0282	0.1262	0.0227	0.7189	0.0552	0.2222	0.0465	0.7500	spw=10 + interactions
E54	spw=25, depth=5, 500 trees	xgboost	20	0.6487	0.0272	0.1039	0.0174	0.6720	0.0546	0.1818	0.0465	0.7433	spw=25, depth=5, 500 trees
E55	lr=0.03, 800 trees, spw=15	xgboost	20	0.6616	0.0270	0.1185	0.0255	0.7058	0.0549	0.2000	0.0465	0.7522	lr=0.03, 800 trees, spw=15
E56	Minimal: FWI+LFMC+SPEI6 only	xgboost	17	0.6532	0.0316	0.0234	0.0204	0.7062	0.0000	0.0000	0.0000	0.8244	Minimal: FWI+LFMC+SPEI6 only
E57	Minimal 3-feature (FWI+LFMC+SPEI6) spw=10	xgboost	3	0.6433	0.0490	0.2016	0.0367	0.7652	0.1238	0.1667	0.1163	0.8444	Minimal 3-feature
E58	Best minus SPEI-1	xgboost	19	0.6512	0.0292	0.0095	0.0190	0.7327	0.0289	1.0000	0.0233	0.8500	Best minus SPEI-1
E59	Best minus SPEI-3	xgboost	19	0.6463	0.0202	0.0148	0.0194	0.7256	0.0286	0.3333	0.0233	0.8200	Best minus SPEI-3
E60	Best minus SPEI-12	xgboost	19	0.6600	0.0372	0.0074	0.0098	0.7091	0.0000	0.0000	0.0000	0.7778	Best minus SPEI-12
E61	Best minus SPEI-6 (base)	xgboost	19	0.6456	0.0301	0.0123	0.0187	0.6855	0.0287	0.5000	0.0233	0.7878	Best minus SPEI-6 (base)
E62	spw=10, depth=4, BEST+eucalyptus+concurrent	xgboost	22	0.6675	0.0333	0.1374	0.0280	0.7496	0.1500	0.2143	0.1395	0.8822	spw=10, depth=4, BEST+eucalyptus+concurrent
E63	spw=15, depth=5, BEST+interactions	xgboost	22	0.6621	0.0347	0.1498	0.0264	0.7222	0.1026	0.1739	0.0930	0.7511	spw=15, depth=5, BEST+interactions
E64	LightGBM spw=10 BEST+interactions	lightgbm	21	0.6501	0.0260	0.0464	0.0146	0.6967	0.0289	1.0000	0.0233	0.8089	LightGBM spw=10 BEST+interactions
E65	ExtraTrees BEST+eucalyptus	extratrees	21	0.6901	0.0293	0.0000	0.0000	0.7840	0.0000	0.0000	0.0000	0.8456	ExtraTrees BEST+eucalyptus
E66	LFMC deviation from seasonal mean	xgboost	21	0.6572	0.0296	0.0122	0.0185	0.7181	0.0000	0.0000	0.0000	0.8556	LFMC deviation from seasonal mean
E67	Temperature anomaly from monthly mean	xgboost	21	0.6478	0.0275	0.0096	0.0191	0.6910	0.0287	0.5000	0.0233	0.8289	Temperature anomaly from monthly mean
E68	FWI percentile within month	xgboost	21	0.6537	0.0241	0.0026	0.0052	0.7150	0.0000	0.0000	0.0000	0.8322	FWI percentile within month
E69	VPD proxy (vapor pressure deficit)	xgboost	21	0.6587	0.0362	0.0074	0.0097	0.6919	0.0289	1.0000	0.0233	0.7844	VPD proxy (vapor pressure deficit)
E70	Keetch-Byram proxy (cumulative drying)	xgboost	21	0.6593	0.0327	0.0048	0.0097	0.6995	0.0289	1.0000	0.0233	0.8000	Keetch-Byram proxy (cumulative drying)
E71	Best + VPD + FWI*wind, spw=10, depth=5	xgboost	22	0.6664	0.0301	0.1335	0.0256	0.7260	0.0806	0.2143	0.0698	0.8133	Best + VPD + FWI*wind, spw=10, depth=5
E72	Best + VPD + eucalyptus, spw=10	xgboost	22	0.6505	0.0316	0.1304	0.0342	0.7234	0.0279	0.1429	0.0233	0.8222	Best + VPD + eucalyptus, spw=10
E73	Best + all promising: VPD+FWI*wind+eucalyptus+concurrent	xgboost	24	0.6549	0.0305	0.1180	0.0223	0.7512	0.0806	0.2143	0.0698	0.8311	Best + all promising: VPD+FWI*wind+eucalyptus+concurrent
E74	E73 + more trees (800) + lower LR (0.03)	xgboost	24	0.6676	0.0230	0.1206	0.0222	0.7439	0.0549	0.2000	0.0465	0.8356	E73 + more trees (800) + lower LR (0.03)
E75	LightGBM with E73 features	lightgbm	24	0.6589	0.0273	0.0390	0.0211	0.7330	0.0287	0.5000	0.0233	0.8133	LightGBM with E73 features
E76	Reduced feature set: FWI+LFMC+SPEI6+wind+temp+VPD	xgboost	18	0.6557	0.0399	0.0122	0.0185	0.6997	0.0287	0.5000	0.0233	0.8122	Reduced feature set: FWI+LFMC+SPEI6+wind+temp+VPD
E77	XGBoost spw=20 BEST features	xgboost	20	0.6550	0.0352	0.1250	0.0128	0.6905	0.0526	0.1111	0.0465	0.7489	XGBoost spw=20 BEST features
E78	XGBoost spw=30 BEST features	xgboost	20	0.6562	0.0279	0.1290	0.0227	0.7341	0.1031	0.1818	0.0930	0.8200	XGBoost spw=30 BEST features
E79	XGBoost spw=15 depth=4 BEST+VPD	xgboost	21	0.6594	0.0252	0.1629	0.0329	0.7224	0.1382	0.1333	0.1395	0.7578	XGBoost spw=15 depth=4 BEST+VPD
E80	Final best: BEST+VPD+FWI*wind, spw=15, depth=5, 500 trees	xgboost	22	0.6412	0.0249	0.0919	0.0218	0.6655	0.0829	0.3333	0.0698	0.6989	Final best: BEST+VPD+FWI*wind, spw=15, depth=5, 500 trees
E_FINAL	Final: Ridge 20 features	ridge	20	0.6992	0.0358	0.0494	0.0327	0.7953	0.1777	0.2800	0.1628	0.8156	Final: Ridge 20 features
