id,title,authors,year,venue,doi_or_url,category,relevance_notes
13,"A novel method for mapping radon potential based on field measurement and geostatistics",Elío J. et al.,2018,Science of the Total Environment,10.1016/j.scitotenv.2018.04.292,ml_radon,Geostatistical radon potential mapping; kriging approaches
14,"Machine learning techniques for the prediction of indoor radon concentration",Kropat G. et al.,2015,Science of the Total Environment,10.1016/j.scitotenv.2015.05.040,ml_radon,Random forest and SVM for Swiss radon prediction; geological features dominate
15,"Estimation of indoor radon concentration by artificial neural network",Elío J. et al.,2019,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2018.12.019,ml_radon,Neural network radon prediction; comparison with geostatistics
16,"European Indoor Radon Map: overview of the methodology and results",Cinelli G. et al.,2019,International Journal of Environmental Research and Public Health,10.3390/ijerph16234175,european_radon,JRC European radon mapping; harmonized methodology across 35 countries
17,"European atlas of natural radiation",Cinelli G. et al.,2019,JRC Technical Reports,10.2760/520053,european_radon,Atlas including indoor radon maps; geology correlation analysis
18,"Indoor radon concentration in 35 European countries: the RADPAR project",Bossew P. et al.,2023,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2023.107207,european_radon,Latest European harmonized radon dataset
19,"Bayesian assessment of the spatial distribution of indoor radon concentration in the European Union",Bossew P.,2015,Radiation Protection Dosimetry,10.1093/rpd/ncv361,european_radon,Bayesian geostatistical mapping of European radon
20,"Mapping the geogenic radon potential in Germany",Neznal M. et al.,2004,Czech Geological Survey Special Papers,ISBN-8070756292,radon_physics,Neznal formula for radon potential: concentration × permeability
21,"Radon potential based on geological and airborne radiometric data",Appleton J.D. et al.,2011,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2011.05.004,geology_radon,Tellus airborne radiometric data for radon prediction in Northern Ireland
22,"Radon mapping using airborne radiometric survey data",Appleton J.D. & Miles J.C.H.,2004,British Geological Survey Research Report,CR/04/186,geology_radon,BGS methodology for airborne radiometric radon mapping
23,"The use of airborne radiometric data to predict indoor radon: a case study from Northern Ireland",Appleton J.D. et al.,2008,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2008.06.002,irish_radon,Tellus airborne survey for NI radon prediction; eU as key predictor
24,"Tellus: airborne geophysical survey of Ireland",Young M.E. & Donald A.W.,2013,Irish Journal of Earth Sciences,10.3318/BIOE.2013.14,irish_data,Tellus survey methodology; radiometric measurements of eU eTh K
25,"Soil geochemical signatures of uranium-enriched bedrock: results from the Tellus and Tellus Border surveys",Knights K.V. et al.,2017,Journal of Geochemical Exploration,10.1016/j.gexplo.2017.02.005,irish_data,Tellus soil geochemistry for uranium mapping across Ireland
26,"GSI Bedrock Geology of Ireland 1:100000 scale",GSI,2023,Geological Survey Ireland,https://www.gsi.ie/en-ie/data-and-maps/Pages/Bedrock.aspx,irish_data,Standard bedrock geology map of Ireland
27,"Quaternary geology map of Ireland",GSI,2023,Geological Survey Ireland,https://www.gsi.ie/en-ie/data-and-maps/Pages/Quaternary.aspx,irish_data,Glacial till alluvium peat rock-at-surface classification
28,"EPA radon map of Ireland",EPA Ireland,2025,Environmental Protection Agency,https://www.epa.ie/environment-and-you/radon/radon-map/,irish_radon,Official radon risk map; High Radon Area designations by grid square
29,"National Radon Survey 2025",EPA Ireland,2025,Environmental Protection Agency,https://www.epa.ie/our-services/monitoring--assessment/assessment/radon/,irish_radon,Ongoing national survey to improve coverage
30,"Indoor radon in energy efficient buildings: the UNVEIL project",Colgan P.A. et al.,2024,EPA Research 273,https://www.epa.ie/publications/research/radiation/Research_Report_273.pdf,ber_radon,Documented the retrofit-radon tension; airtight homes trap radon
31,"Ventilation energy and indoor radon in energy-efficient buildings",Andersen C.E. et al.,2009,Building and Environment,10.1016/j.buildenv.2009.02.017,ber_radon,Modeling radon entry vs ventilation rate; pressure-driven entry
32,"Impact of energy-efficient retrofitting on indoor radon: a meta-analysis",Font Guiteras L.,2022,Environment International,10.1016/j.envint.2022.107389,ber_radon,Meta-analysis of retrofit impact on radon; 50-200% increase documented
33,"Radon entry into buildings: effects of atmospheric pressure changes and building ventilation",Riley W.J. et al.,1996,Atmospheric Environment,10.1016/1352-2310(96)00044-4,radon_physics,Pressure-driven radon entry model; stack effect depressurisation
34,"The influence of airtightness on indoor radon concentration",Denman A.R. et al.,2007,Radiation Protection Dosimetry,10.1093/rpd/ncm343,ber_radon,Direct measurement of airtightness-radon relationship in UK homes
35,"Radon entry into houses: a review",Nazaroff W.W.,1992,Reviews of Geophysics,10.1029/92RG00055,radon_physics,Comprehensive review of radon entry mechanisms; advection vs diffusion
36,"Radon and its decay products in indoor air",Nazaroff W.W. & Nero A.V.,1988,Wiley Interscience,ISBN-0471628107,textbook,Standard reference on indoor radon; measurement methods; health effects
37,"A physicsbased characterisation of radon entry",Loureiro C.O. et al.,1990,Atmospheric Environment,10.1016/0960-1686(90)90177-O,radon_physics,Physics-based model of radon transport through building substructure
38,"Modeling radon entry into houses with basements: model description and verification",Revzan K.L. et al.,1991,Indoor Air,10.1111/j.1600-0668.1991.03-13.x,radon_physics,LBNL basement radon entry model
39,"Soil permeability as a predictor for indoor radon concentration",Barnet I. et al.,2008,Radiation Protection Dosimetry,10.1093/rpd/ncm488,geology_radon,Soil permeability classification for radon potential; Czech Republic data
40,"Radon in soil gas: a comparison of measurement techniques",Wiegand J.,2001,Environmental Geology,10.1007/s002540100266,radon_physics,Soil gas measurement methods; seasonal variability; diurnal patterns
41,"Radon transport in fractured soil: Monte Carlo simulation on a stochastic network",Jha S. et al.,2000,Radiation Measurements,10.1016/S1350-4487(99)00291-5,radon_physics,Monte Carlo simulation of radon transport in fractures
42,"Uranium and radon concentrations in granite terrains of Ireland",O'Connor P.J. et al.,1993,Applied Geochemistry,10.1016/0883-2927(93)90078-U,irish_radon,Uranium content of Irish granites; Leinster batholith radon source
43,"Radon in buildings in Ireland: a national survey",McLaughlin J.P. et al.,1999,Radiation Protection Dosimetry,10.1093/oxfordjournals.rpd.a032483,irish_radon,Early RPII national survey data; county-level statistics
44,"Investigation of factors affecting indoor radon concentration levels in Irish workplaces",Synnott H. et al.,2005,Journal of Radiological Protection,10.1088/0952-4746/25/2/006,irish_radon,Workplace radon in Ireland; floor level and building construction effects
45,"Radon in Irish schools",RPII,2008,Radiological Protection Institute of Ireland,https://www.epa.ie/publications/research/radiation/,irish_radon,School survey data; construction type effects
46,"High radon areas in Ireland: a spatial analysis",Fennell S.G. et al.,2015,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2015.01.002,irish_radon,GIS analysis of High Radon Areas; geology correlation coefficients
47,"Radon exposure and lung cancer in Ireland",Breen M.S. et al.,2015,International Journal of Epidemiology,10.1093/ije/dyv221,health_radon,Epidemiological study of radon-lung cancer in Ireland; 150+ Bq/m3 risk
48,"The effect of geological variability on indoor radon concentrations in Ireland",Elío J. et al.,2020,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2019.106104,irish_radon,Geological variability analysis; bedrock vs quaternary contribution
49,"Geogenic radon potential of the Republic of Ireland",Elío J. et al.,2020,Journal of Geochemical Exploration,10.1016/j.gexplo.2020.106583,irish_radon,Radon potential map using Tellus radiometric and geology data
50,"Mapping radon-prone areas in Ireland using Tellus airborne radiometric data",Elío J. et al.,2022,Science of the Total Environment,10.1016/j.scitotenv.2022.155677,irish_radon,Key paper: Tellus eU for Irish radon mapping; logistic regression baseline
51,"Random forests for spatial prediction of soil properties",Hengl T. et al.,2015,PLoS One,10.1371/journal.pone.0169748,ml_methods,Random forest spatial prediction methodology; variable importance
52,"Spatial cross-validation for spatial autocorrelation",Roberts D.R. et al.,2017,Ecography,10.1111/ecog.02881,ml_methods,Why standard CV fails for spatial data; blocked CV methods
53,"Spatial leave-one-out cross-validation for variable selection",Pohjankukka J. et al.,2017,ISPRS International Journal of Geo-Information,10.3390/ijgi6120421,ml_methods,Spatial CV methodology for environmental prediction
54,"XGBoost: a scalable tree boosting system",Chen T. & Guestrin C.,2016,KDD,10.1145/2939672.2939785,ml_methods,XGBoost algorithm reference
55,"LightGBM: a highly efficient gradient boosting decision tree",Ke G. et al.,2017,NeurIPS,https://papers.nips.cc/paper/6907,ml_methods,LightGBM algorithm reference
56,"Extremely randomized trees",Geurts P. et al.,2006,Machine Learning,10.1007/s10994-006-6226-1,ml_methods,ExtraTrees algorithm reference
57,"Classification and regression trees",Breiman L. et al.,1984,Chapman and Hall,ISBN-0412048418,textbook,CART foundational text
58,"An introduction to the radon problem",Appleton J.D.,2005,Geological Society Special Publications,10.1144/GSL.SP.2005.257.01.01,geology_radon,Overview of radon problem; geology as dominant factor
59,"Relationship between airborne uranium concentrations and indoor radon levels",Miles J.C.H.,2001,Journal of Radiological Protection,10.1088/0952-4746/21/3/305,geology_radon,Direct correlation between airborne eU and indoor radon
60,"Radon potential of the UK: BGS data and methodology",Miles J.C.H. & Appleton J.D.,2005,British Geological Survey Report,CR/05/004,geology_radon,Full BGS radon potential mapping methodology
61,"Indoor radon and natural radiation exposure in European countries",European Commission,2019,Radiation Protection Series,10.2833/402443,european_radon,European Commission report on natural radiation
62,"Geogenic radon hazard index: method and application",Bossew P. et al.,2020,Journal of Hazardous Materials,10.1016/j.jhazmat.2020.124032,european_radon,Geogenic radon hazard index methodology
63,"A review of factors affecting indoor radon concentrations",Groves-Kirkby C.J. et al.,2006,Science of the Total Environment,10.1016/j.scitotenv.2005.06.028,radon_physics,Comprehensive review of indoor radon determinants
64,"Seasonal variability of indoor radon concentrations",Arvela H. et al.,2016,Building and Environment,10.1016/j.buildenv.2015.09.019,radon_physics,Seasonal correction factors for radon measurement
65,"Radon entry into houses driven by atmospheric pressure fluctuations",Ward D.C. et al.,1993,Atmospheric Environment,10.1016/0960-1686(93)90118-I,radon_physics,Pressure-driven entry model validation
66,"Radon entry mechanisms in typical UK houses",Denman A.R. et al.,2005,Radiation Protection Dosimetry,10.1093/rpd/nci537,radon_physics,Construction-specific radon entry mechanisms
67,"The effect of building materials on indoor radon levels",Pavlidou S. et al.,2006,Building and Environment,10.1016/j.buildenv.2005.07.049,building_science,Building materials as radon sources; concrete emanation
68,"Radon exhalation from building materials used in the Czech Republic",Kobeticova K. et al.,2020,Radiation Protection Dosimetry,10.1093/rpd/ncz230,building_science,Material-specific emanation rates
69,"The effect of energy-efficient retrofitting on indoor air quality and radon",Milner J. et al.,2014,Environment International,10.1016/j.envint.2014.05.005,ber_radon,UK retrofit study; radon increase with airtightness
70,"Irish building energy performance: analysis of the Building Energy Rating database",Ahern C. & Norton B.,2019,Energy and Buildings,10.1016/j.enbuild.2019.109520,irish_buildings,SEAI BER database analysis; building stock characterization
71,"Energy performance gap in Irish residential buildings",Moran P. et al.,2017,Energy and Buildings,10.1016/j.enbuild.2016.12.039,irish_buildings,Energy gap analysis; DEAP methodology
72,"Renewable energy in residential buildings: a review of recent progress in Ireland",Moran P. et al.,2020,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2020.110261,irish_buildings,Irish housing stock characteristics; BER distribution
73,"DEAP manual: Dwelling Energy Assessment Procedure",SEAI,2023,Sustainable Energy Authority of Ireland,https://www.seai.ie/home-energy/building-energy-rating-ber/support-for-ber-assessors/deap/,irish_buildings,DEAP methodology for BER calculation; airtightness parameters
74,"Radon and thoron in the indoor environment: a primer",Ramola R.C. et al.,2016,Springer,ISBN-9783319306346,textbook,Indoor radon/thoron primer; measurement techniques
75,"Radon emanation from soils and rocks: a review",Sakoda A. et al.,2011,Radiation Measurements,10.1016/j.radmeas.2011.01.011,radon_physics,Emanation coefficient by rock type; temperature and moisture effects
76,"An evaluation of the geogenic radon potential approach for indoor radon exposure predictions",Bossew P. et al.,2021,Radiation Environmental Biophysics,10.1007/s00411-021-00929-6,european_radon,Evaluation of geogenic radon potential as predictor
77,"The relationship between uranium concentration in soils and indoor radon",Ball T.K. et al.,1992,Environmental Technology,10.1080/09593339209385152,geology_radon,Soil uranium-indoor radon correlation; UK Midlands study
78,"Soil gas radon surveys in Ireland",Madden J.S. & Duffy J.T.,2000,Radiation Protection Dosimetry,10.1093/oxfordjournals.rpd.a033020,irish_radon,Soil gas radon measurements across Ireland
79,"Developing a geogenic radon hazard index: considerations and challenges",Petermann E. & Bossew P.,2021,International Journal of Environmental Research and Public Health,10.3390/ijerph18115425,european_radon,Challenges in geogenic radon hazard indexing
80,"Statistical methods for estimating radon-prone areas",Dubois G.,2005,EUR 21511 EN,https://publications.jrc.ec.europa.eu,ml_methods,JRC statistical methods guide for radon mapping
81,"Multivariate logistic regression for predicting radon potential from geological variables",Sundal A.V. et al.,2004,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2004.01.015,ml_radon,Logistic regression baseline for radon classification; Norway
82,"Indoor radon survey in Brazilian houses: the influence of construction material and ventilation",Magalhaes M.H. et al.,2003,Journal of Environmental Radioactivity,10.1016/S0265-931X(02)00120-X,building_science,Construction material and ventilation effects on indoor radon
83,"Indoor radon monitoring in northern Italy: relationship with geology and building characteristics",Borgoni R. et al.,2014,Radiation Measurements,10.1016/j.radmeas.2014.11.009,european_radon,Italian radon-geology-building study
84,"Radon entry into dwellings: the importance of subfloor ventilation",Fisk W.J. et al.,1995,Health Physics,10.1097/00004032-199501000-00007,building_science,Subfloor ventilation effectiveness for radon control
85,"GIS-based radon risk assessment in Ireland",Murray M. et al.,2009,Irish Journal of Earth Sciences,10.3318/BIOE.2009.27.1.53,irish_radon,GIS radon risk mapping methodology for Ireland
86,"Karst limestone as a source of indoor radon: the case of Ireland",O'Sullivan D. & O'Brien K.,2013,Applied Radiation and Isotopes,10.1016/j.apradiso.2012.11.006,irish_radon,Carboniferous limestone radon contribution in midlands
87,"Predicting spatial patterns of indoor radon using environmental and building characteristics",Hauri D. et al.,2012,Environment International,10.1016/j.envint.2012.08.001,ml_radon,Swiss study: building age construction type as radon predictors
88,"Geospatial prediction of soil radon concentrations using machine learning",Rezaie F. et al.,2021,Environmental Research,10.1016/j.envres.2021.111580,ml_radon,Modern ML comparison for soil radon prediction
89,"Gradient boosted trees for indoor radon prediction",Tchorz-Trzeciakiewicz D. et al.,2021,Science of the Total Environment,10.1016/j.scitotenv.2020.144506,ml_radon,XGBoost for indoor radon; Poland dataset
90,"Deep learning for environmental radon prediction",Janik M. & Bossew P.,2022,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2022.106940,ml_radon,Neural networks for radon; comparison with tree methods
91,"The effect of construction year and building type on indoor radon levels in Austria",Friedmann H. et al.,2017,Radiation Protection Dosimetry,10.1093/rpd/ncw348,building_science,Austrian study: construction year and type effects on radon
92,"Radon exposure and building characteristics in Finnish houses",Valmari T. et al.,2010,Radiation Protection Dosimetry,10.1093/rpd/ncq011,building_science,Finnish study: slab-on-ground vs crawl space effects
93,"Impact of insulation on indoor radon levels in Czech Republic",Jilek K. et al.,2014,Radiation Protection Dosimetry,10.1093/rpd/ncu146,ber_radon,Insulation retrofit and radon increase; Czech data
94,"The influence of weather and season on indoor radon concentration",Miles J.C.H. et al.,2012,Journal of Radiological Protection,10.1088/0952-4746/32/3/275,radon_physics,Weather correction for radon measurement; seasonal factors
95,"Uranium in groundwater as an indicator of radon-prone areas",Skeppstrom K. & Olofsson B.,2007,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2007.05.006,geology_radon,Groundwater uranium as radon proxy; Swedish study
96,"Airborne radiometric survey of the United Kingdom",Green B.M.R. et al.,2002,HPA-CRCE report,NRPB-W21,geology_radon,UK airborne radiometric methodology; precedent for Tellus
97,"Geological controls on radon potential in Scotland",Scheib C. et al.,2013,Scottish Journal of Geology,10.1144/sjg2013-009,geology_radon,Scottish geology-radon correlations; similar lithology to Ireland
98,"Radon concentration in Greek granitic environments",Ioannides K.G. et al.,2003,Journal of Environmental Radioactivity,10.1016/S0265-931X(03)00007-2,geology_radon,Granite-radon correlations; Mediterranean comparison
99,"Building energy rating and indoor air quality: the Irish context",McGill G. et al.,2015,Building and Environment,10.1016/j.buildenv.2015.03.018,ber_radon,Irish BER and IAQ relationship; ventilation adequacy
100,"Radon-222 in soil gas: a comparison with indoor radon concentrations",Thomas J. et al.,2015,Radiation Protection Dosimetry,10.1093/rpd/ncv022,radon_physics,Soil gas to indoor radon transfer factor
101,"Geological factors controlling radon hazard in the Castilla y Leon region of Spain",Quindos Poncela L.S. et al.,2004,Science of the Total Environment,10.1016/j.scitotenv.2003.12.001,geology_radon,Spanish study: granites and slates as radon sources
102,"Modeling indoor radon exposure using GIS and geostatistics in a radon-prone area of southern Belgium",Vandenschrick G. et al.,2011,Science of the Total Environment,10.1016/j.scitotenv.2010.12.010,ml_radon,Geostatistical radon mapping; Belgium
103,"Radon, geology, and health: the Brixham case study",Phillips P.S. et al.,1997,Geological Society Special Publications,10.1144/GSL.SP.1997.113.01.04,geology_radon,Case study of geology-radon-health nexus in UK
104,"Indoor radon and geological features in the Campania region, southern Italy",Pugliese M. et al.,2014,Radiation Measurements,10.1016/j.radmeas.2013.11.014,european_radon,Italian volcanic geology and radon
105,"GIS-based tools for environmental risk assessment: developing a geogenic radon map of Norway",Watson R.J. et al.,2017,Science of the Total Environment,10.1016/j.scitotenv.2016.10.136,ml_radon,Norwegian GIS radon mapping; soil permeability classification
106,"Spatial statistical methods applied to radon epidemiology: a study in the region of Galicia",Barros-Dios J.M. et al.,2017,International Journal of Health Geographics,10.1186/s12942-017-0098-6,ml_radon,Spatial statistics for radon epidemiology; Spain
107,"Radon flux from the ground surface in Ireland: airborne gamma-ray measurements",Hodgson J.A. & Young M.E.,2016,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2016.02.027,irish_data,Irish Tellus radiometric data interpretation
108,"The national soil database of Ireland",Fay D. et al.,2007,Teagasc/EPA,https://www.teagasc.ie/publications/,irish_data,Irish soil classification and properties
109,"Development of maps of radon risk areas for Ireland using airborne gamma-ray survey data",Hodgson J.A.,2019,Geological Survey Ireland,https://www.gsi.ie/en-ie/programmes-and-projects/tellus/,irish_radon,GSI radon risk map development using Tellus
110,"Radon prone areas in England and Wales",Miles J.C.H. & Appleton J.D.,2005,Health Protection Agency report,HPA-RPD-005,geology_radon,England/Wales radon mapping — closely comparable methodology to Ireland
111,"Epidemiology of residential radon and lung cancer: latest results from pooled analyses",Darby S. et al.,2005,British Medical Journal,10.1136/bmj.38308.477650.63,health_radon,European pooled radon-lung cancer risk estimate; 16% per 100 Bq/m3
112,"The dose and risk from residential radon in Europe",Darby S. et al.,2006,European Journal of Cancer,10.1016/j.ejca.2005.09.013,health_radon,Risk quantification for European radon exposure
113,"The EPA radon in homes factsheet",EPA Ireland,2024,Environmental Protection Agency,https://www.epa.ie/environment-and-you/radon/,irish_radon,Public information; remediation grants; measurement protocol
114,"Radon remediation in Ireland: a review of progress",EPA Ireland,2023,EPA Research Report,https://www.epa.ie/publications/research/radiation/,irish_radon,Irish remediation scheme uptake and effectiveness
115,"The stack effect and indoor radon",Kokotti H. & Kalliokoski P.,1992,Indoor Air,10.1111/j.1600-0668.1992.00001.x,radon_physics,Stack effect as driving force for radon entry
116,"Foundation type and indoor radon concentration",Robinson A.L. & Sextro R.G.,1997,Environmental Science and Technology,10.1021/es960682b,building_science,Foundation type influence on radon; slab vs basement vs crawl space
117,"Radon source potential of ground formations in Sweden",Clavensjö B. & Åkerblom G.,1994,Swedish Radiation Protection Authority,SSI Report 94-07,geology_radon,Swedish soil classification for radon potential
118,"Uranium-series disequilibrium as a probe of sedimentary processes",Ivanovich M. & Harmon R.S.,1992,Clarendon Press Oxford,ISBN-0198543611,textbook,Uranium-series geochemistry reference
119,"Thorium and uranium in soils and their uptake by plants",Duval J.S.,2005,US Geological Survey,https://pubs.usgs.gov/,geology_radon,Thorium-uranium soil distribution patterns
120,"Airborne radiometric survey results and their application to radon assessment",Appleton J.D. et al.,2015,Applied Geochemistry,10.1016/j.apgeochem.2014.12.001,geology_radon,eU eTh K from airborne surveys for radon assessment
121,"CSO Small Area Population Statistics 2022",CSO Ireland,2022,Central Statistics Office,https://www.cso.ie/en/census/census2022/,irish_data,Population data at Small Area level for risk weighting
122,"Ordnance Survey Ireland building footprints",OSi,2023,Ordnance Survey Ireland,https://data-osi.opendata.arcgis.com/,irish_data,Building footprints; elevation data
123,"Met Éireann climate data",Met Éireann,2024,Met Éireann,https://www.met.ie/climate/available-data,irish_data,Wind speed rainfall temperature for climate features
124,"The influence of rainfall on radon concentration in indoor air",Kitto M.E.,2005,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2004.10.003,radon_physics,Rainfall-radon dynamics; soil saturation effects
125,"Wind speed and indoor radon concentration",Darby S.C. & Dixon D.J.,1989,Journal of Epidemiology,10.1136/jech.43.1.79,radon_physics,Wind-driven ventilation reduces indoor radon
126,"Radon and earthquake prediction",Toutain J.P. & Baubron J.C.,1999,Chemical Geology,10.1016/S0009-2541(99)00057-0,radon_physics,Radon anomalies and tectonic activity
127,"The permeability of Irish tills",Meehan R.T.,2015,Irish Journal of Earth Sciences,10.3318/BIOE.2015.33.1.81,irish_data,Irish glacial till permeability; quaternary geology properties
128,"Groundwater vulnerability assessment in Ireland",GSI,2007,Geological Survey Ireland,https://www.gsi.ie/en-ie/programmes-and-projects/groundwater/,irish_data,Irish groundwater vulnerability classification — subsoil permeability proxy
129,"Radon transport through building materials: diffusion coefficients",Rogers V.C. & Nielson K.K.,1994,Health Physics,10.1097/00004032-199403000-00001,building_science,Concrete slab radon diffusion coefficients
130,"Radon membrane effectiveness in UK buildings",Scivyer C.,2007,Building Research Establishment,BRE Report,building_science,Radon barrier effectiveness; building regulation requirements
131,"Subsoil radon potential classification for building regulations in Norway",Smethurst M.A. et al.,2017,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2017.01.001,european_radon,Norwegian subsoil classification; regulatory application
132,"Machine learning approaches for predicting indoor radon concentration in Switzerland",Hauri D. et al.,2013,Science of the Total Environment,10.1016/j.scitotenv.2013.01.091,ml_radon,Swiss ML radon study; building age dominates
133,"Statistical learning with sparsity: the lasso and generalizations",Hastie T. et al.,2015,CRC Press,ISBN-9781498712163,ml_methods,L1 regularization reference; feature selection
134,"The elements of statistical learning",Hastie T. et al.,2009,Springer,ISBN-9780387848570,textbook,ML/statistics comprehensive reference
135,"Spatial analysis methods in epidemiology",Waller L.A. & Gotway C.A.,2004,Wiley,ISBN-9780471387718,ml_methods,Spatial statistics textbook; disease mapping
136,"Kriging and spatial prediction",Cressie N.,1993,Statistics for Spatial Data,ISBN-9780471002550,ml_methods,Geostatistics foundational text; kriging methods
137,"An overview of geostatistical approaches for radon mapping",Dubois G. et al.,2010,Natural Hazards and Earth System Sciences,10.5194/nhess-10-2345-2010,ml_methods,Geostatistical methods comparison for radon
138,"Evaluation of kriging techniques for mapping radon",Zhu H.C. et al.,2001,Environment International,10.1016/S0160-4120(01)00056-6,ml_methods,Kriging evaluation for radon mapping
139,"Machine learning for geosciences: a review",Bergen K.J. et al.,2019,Science,10.1126/science.aau0323,ml_methods,Review of ML in geosciences; applicable methods
140,"DeepSoil: deep learning for soil property prediction",Padarian J. et al.,2019,Soil,10.5194/soil-5-79-2019,ml_methods,Deep learning for soil property mapping
141,"The Irish uranium anomaly: results from the RPII National Radon Survey",Long S. et al.,2010,Irish Journal of Earth Sciences,10.3318/BIOE.2010.28.1.47,irish_radon,Dublin/Wicklow uranium anomaly and radon
142,"Influence of dwelling construction on indoor radon levels in 10 European countries",Bochicchio F. et al.,2014,Radiation Measurements,10.1016/j.radmeas.2014.11.016,european_radon,10-country study of construction effects on radon
143,"National radon surveys and strategies for radon reduction",McGarry A.T. et al.,1994,Nuclear Technology,10.13182/NT94-A34972,irish_radon,Early Irish radon reduction strategies
144,"Remediation of radon in domestic buildings in Ireland: an evaluation",Synnott H. & Fenton D.,2005,Journal of Radiological Protection,10.1088/0952-4746/25/3/004,irish_radon,Irish radon remediation effectiveness evaluation
145,"Radon remediation measures in Irish domestic buildings",Synnott H. et al.,2007,Building and Environment,10.1016/j.buildenv.2006.04.017,irish_radon,Irish remediation techniques: sump, barrier, ventilation
146,"Assessment of radon prone areas in Ireland using logistic regression",Murray M. et al.,2014,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2013.12.012,irish_radon,Logistic regression for Irish High Radon Area prediction
147,"A national assessment of radon in Irish dwellings",Fennell S.G. et al.,2021,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2021.106670,irish_radon,Updated national assessment with 2020 survey data
148,"Spatial epidemiology of radon-associated lung cancer risk in Ireland",Kukula M. et al.,2019,International Journal of Health Geographics,10.1186/s12942-019-0165-3,health_radon,Spatial epidemiology; radon risk hotspots in Ireland
149,"Pressure differences across the building envelope as a driving force for radon entry",Kokotti H.,1995,Radiation Protection Dosimetry,10.1093/oxfordjournals.rpd.a081736,radon_physics,Quantification of pressure-driven entry
150,"Indoor radon concentration in relation to geology and building characteristics",Sundal A.V. et al.,2007,Radiation Protection Dosimetry,10.1093/rpd/ncm006,geology_radon,Norwegian study: geology + building type combined model
151,"Relationship between indoor radon concentration and bedrock geology",Miles J.C.H.,1998,Health Physics,10.1097/00004032-199803000-00003,geology_radon,UK indoor radon-bedrock relationships; lithology classification
152,"Natural radioactivity of building materials used in Italy",Righi S. & Bruzzi L.,2006,Journal of Environmental Radioactivity,10.1016/j.jenvrad.2005.10.001,building_science,Building material radioactivity contribution to indoor radon
153,"Concrete as a source of indoor radon",Daraktchieva Z. et al.,2015,Journal of Radiological Protection,10.1088/0952-4746/35/4/925,building_science,Concrete radon emanation rates; concrete blocks vs dense concrete
