exp_id	description	model_family	n_features	cv_auc_mean	cv_auc_std	cv_f1_mean	cv_f1_std	cv_precision_mean	cv_recall_mean	holdout_auc	holdout_f1	holdout_precision	holdout_recall	notes
E06	Add is_limestone binary indicator	xgboost	13	0.7261972513940061	0.017679023721938344	0.3705242362927653	0.04760065906776824	0.5040679996169771	0.29632786354828167	0.7316663915937724	0.37547892720306514	0.5157894736842106	0.29518072289156627	 (6.1s) KEEP
E07	Add is_shale binary indicator	xgboost	14	0.7324251902028357	0.019147589815245582	0.37820470728587685	0.026687555918863858	0.5253107642867214	0.29745971698055423	0.7325191175661552	0.4015444015444015	0.5591397849462365	0.3132530120481928	 (6.1s) KEEP
E08	Add is_rock_surface binary indicator	xgboost	15	0.735821516422517	0.02298846703604728	0.37047770245804085	0.03936583687014734	0.528463175343502	0.28716054281785924	0.7278428783627662	0.3735408560311284	0.5274725274725275	0.2891566265060241	 (6.0s) KEEP
E09	Add is_peat binary indicator	xgboost	16	0.7390733500756382	0.019372337924858957	0.4045381177625712	0.03503954484669096	0.5462166586550614	0.3224487169681496	0.7505363921439183	0.42066420664206644	0.5428571428571428	0.3433734939759036	 (6.2s) KEEP
E10	Add area-mean BER rating ordinal	xgboost	17	0.7326588625100336	0.022014945781736697	0.37537260835672537	0.040814739759631444	0.5322668240850058	0.29116265794462254	0.7298234032018485	0.367816091954023	0.5052631578947369	0.2891566265060241	 (6.4s) REVERT
E11	Add area-mean air permeability	xgboost	17	0.7903107812612526	0.016869691275253694	0.5149186539525492	0.061468788722837765	0.6055293415445246	0.4536575189393801	0.8017824723551742	0.48507462686567165	0.6372549019607843	0.39156626506024095	 (5.8s) KEEP
E12	Add pct suspended timber floor	xgboost	18	0.7919701110876077	0.01689627956189233	0.5183535624657499	0.04829780354121117	0.6335458551978781	0.4426708049189839	0.8082466853716235	0.5037037037037037	0.6538461538461539	0.40963855421686746	 (5.8s) KEEP
E13	Add pct slab-on-ground floor	xgboost	19	0.7893195457396832	0.019020301421754638	0.49142381980726413	0.06424978687051608	0.612242991696897	0.41426151237893044	0.7950431864444077	0.5109489051094891	0.6481481481481481	0.42168674698795183	 (5.7s) REVERT
E14	Add mean year built	xgboost	19	0.7916275874321761	0.020990150208306815	0.5040955191284386	0.044467751517790116	0.6302801339726636	0.4221593783610458	0.7977389008087143	0.4740740740740741	0.6153846153846154	0.3855421686746988	 (5.7s) REVERT
E15	Add pct detached homes	xgboost	19	0.7908147481338565	0.014775663340482366	0.5110416741658282	0.03344527911479067	0.6201578412430061	0.4363775555335618	0.8034191560763603	0.5126353790613718	0.6396396396396397	0.42771084337349397	 (5.6s) REVERT
E16	Add pct homes built post-2011 (modern regs)	xgboost	19	0.7924925484032647	0.019897498137834244	0.5074450230589053	0.05606891401058458	0.62080653028097	0.43203124358415523	0.8085217582659404	0.5037037037037037	0.6538461538461539	0.40963855421686746	 (5.7s) KEEP
E17	Add pct homes built pre-1970	xgboost	20	0.7917173633499012	0.02087601333551318	0.5138747176247384	0.04435469234765099	0.6270782669203722	0.43775477505237204	0.7953595202728723	0.46564885496183206	0.6354166666666666	0.3674698795180723	 (5.6s) REVERT
E18	Add mean floor area	xgboost	20	0.7899070198632959	0.019700897058974445	0.5013477760785632	0.02969396713290247	0.6239210747146031	0.42087712268619687	0.807834076030148	0.5038167938931297	0.6875	0.39759036144578314	 (5.6s) REVERT
E19	Add pct MVHR ventilation	xgboost	20	0.7934697647938367	0.01767033207219906	0.5102188305738979	0.04078554432190844	0.6174209682400406	0.43670433743883263	0.8052346371788524	0.49429657794676807	0.6701030927835051	0.39156626506024095	 (5.7s) KEEP
E20	Class weight balancing (scale_pos_weight=2.54)	xgboost	20	0.7913512278288759	0.019111285843171597	0.5555002399744955	0.03934478932895202	0.574674791892801	0.5392651422614098	0.7999807448973979	0.5705705705705706	0.5688622754491018	0.572289156626506	 (5.7s) REVERT
