id,authors,year,title,venue,doi_or_url,theme,one_line_relevance
P020,"Erb, C. B.; Harvey, C. R.",2006,"The Strategic and Tactical Value of Commodity Futures",Financial Analysts Journal 62(2) 69-97,https://doi.org/10.2469/faj.v62.n2.4084,T1,"Companion to Gorton-Rouwenhorst — individual commodities near-zero excess return but rebalanced portfolios get an equity-like premium."
P021,"Driesprong, G.; Jacobsen, B.; Maat, B.",2008,"Striking oil: Another puzzle?",Journal of Financial Economics 89(2) 307-327,https://doi.org/10.1016/j.jfineco.2007.07.008,T1,"Oil price changes statistically predict global stock returns in 12 of 18 countries — oil-equity link is nontrivial."
P022,"Tang, K.; Xiong, W.",2012,"Index Investment and Financialization of Commodities",Financial Analysts Journal 68(6) 54-74,https://doi.org/10.2469/faj.v68.n6.5,T2,"Post-2004 financialisation: non-energy commodity futures became increasingly correlated with oil and with equities, especially for index-member commodities."
P023,"Cheng, I.-H.; Xiong, W.",2014,"Financialization of Commodity Markets",Annual Review of Financial Economics 6 419-441,https://doi.org/10.1146/annurev-financial-110613-034432,T2,"Review of financialisation literature; post-2008 commodity-equity correlation jumped from near zero to ~+0.5 and stayed elevated."
P024,"Rigobon, R.; Sack, B.",2004,"The impact of monetary policy on asset prices",Journal of Monetary Economics 51(8) 1553-1575,https://doi.org/10.1016/j.jmoneco.2004.02.004,T2,"Heteroskedasticity-based identification: tighter policy moves stocks down and the yield curve up — baseline for Fed-regime conditioning."
P025,"Forbes, K. J.; Warnock, F. E.",2012,"Capital flow waves: Surges, stops, flight, and retrenchment",Journal of International Economics 88(2) 235-251,https://doi.org/10.1016/j.jinteco.2012.03.006,T2,"Global risk drives extreme capital-flow episodes; the global financial cycle is a candidate driver of cross-asset correlation regimes."
P026,"Campbell, J. Y.; Pflueger, C.; Viceira, L. M.",2020,"Macroeconomic Drivers of Bond and Equity Risks",Journal of Political Economy 128(8) 3148-3185,https://doi.org/10.1086/707766,T2,"Sign of inflation-output-gap correlation flips bond-stock correlation — same mechanism likely drives gold-stock correlation changes."
P027,"Campbell, J. Y.; Sunderam, A.; Viceira, L. M.",2017,"Inflation Bets or Deflation Hedges? The Changing Risks of Nominal Bonds",Critical Finance Review 6(2) 263-301,https://doi.org/10.1561/104.00000043,T2,"Foundational paper showing bond-stock covariance moves from positive (pre-2000) to negative (2000s) due to changing inflation risk."
P028,"Baker, S. R.; Bloom, N.; Davis, S. J.",2016,"Measuring Economic Policy Uncertainty",Quarterly Journal of Economics 131(4) 1593-1636,https://doi.org/10.1093/qje/qjw024,T2,"EPU index — candidate macro regime variable for conditioning cross-asset correlations."
P029,"Caldara, D.; Iacoviello, M.",2022,"Measuring Geopolitical Risk",American Economic Review 112(4) 1194-1225,https://doi.org/10.1257/aer.20191823,T2,"Canonical GPR index (1985-present, 10-newspaper) — primary candidate for our geopolitical-regime conditioning variable."
P030,"Iqbal, J.",2017,"Does gold hedge stock market, inflation and exchange rate risks? An econometric investigation",International Review of Economics & Finance 48 1-17,https://doi.org/10.1016/j.iref.2016.11.005,T2,"Gold hedges inflation in US only in average/bearish gold regimes; not a universal inflation hedge."
P031,"Beckmann, J.; Czudaj, R.",2013,"Gold as an Inflation Hedge in a Time-Varying Coefficient Framework",North American Journal of Economics and Finance 24 208-222,https://doi.org/10.1016/j.najef.2012.10.007,T2,"Gold's inflation-hedging coefficient is regime-dependent and varies across the USA/UK/JP/EU — evidence against a constant-correlation view."
P032,"Adrian, T.; Shin, H. S.",2010,"Liquidity and Leverage",Journal of Financial Intermediation 19(3) 418-437,https://doi.org/10.1016/j.jfi.2008.12.002,T2,"Marked-to-market leverage is procyclical; forced deleveraging connects liquidity crises to simultaneous cross-asset drawdowns."
P033,"Ilmanen, A.",2011,"Expected Returns: An Investor's Guide to Harvesting Market Rewards",Wiley (ISBN 978-1119990727),https://doi.org/10.1002/9781118467190,T2,"Textbook: macro factors (growth, inflation, liquidity, tail) drive cross-asset correlation; correlations vary with regime."
P034,"Cochrane, J. H.",2023,"The Fiscal Theory of the Price Level",Princeton University Press (ISBN 978-0691242248),https://press.princeton.edu/books/hardcover/9780691242248/the-fiscal-theory-of-the-price-level,T3,"Fiscal theory of the price level: inflation is pinned down by the present value of surpluses — intellectual basis for the 'debasement trade' narrative."
P035,"Sims, C. A.",2016,"Fiscal Policy, Monetary Policy and Central Bank Independence",Jackson Hole Symposium (Federal Reserve Bank of Kansas City),https://www.kansascityfed.org/documents/7030/Sims2016JH.pdf,T3,"Argues ZLB-era fiscal-dominance: monetary policy is effectively constrained by fiscal stance; complements the debasement-trade reasoning."
P036,"Bouri, E.; Shahzad, S. J. H.; Roubaud, D.; Kristoufek, L.; Lucey, B. M.",2020,"Bitcoin, gold, and commodities as safe havens for stocks: New insight through wavelet analysis",Quarterly Review of Economics and Finance 77 156-164,https://doi.org/10.1016/j.qref.2020.03.004,T3,"Wavelet evidence that the safe-haven role of BTC/gold/commodities is frequency-dependent and largely absent at high frequencies."
P037,"Smales, L. A.",2024,"Cryptocurrency as an alternative inflation hedge?",Accounting & Finance 64(1) 143-170,https://doi.org/10.1111/acfi.13193,T3,"Post-2020 re-examination finds bitcoin is NOT an effective inflation hedge — contradicts 'digital gold' narrative."
P038,"Rodriguez, H.; Colombo, J.",2025,"Is bitcoin an inflation hedge?",Journal of Economics and Business 133 106209,https://doi.org/10.1016/j.jeconbus.2024.106209,T3,"Most recent published empirical: BTC does not systematically hedge inflation shocks; its return is dominated by risk-on/off flows."
P039,"World Gold Council (Cavatoni, J.; Reade, J.)",2024,"Why bitcoin isn't the new gold",WGC Gold Focus 2024/08,https://www.gold.org/goldhub/gold-focus/2024/08/why-bitcoin-isnt-new-gold,T3,"Industry-body decomposition of gold drivers (real rates, DXY, geopolitics) vs BTC drivers (risk flows, ETF adoption)."
P040,"Caldara, D.; Conlisk, S.; Iacoviello, M.; Penn, M.",2024,"Do Geopolitical Risks Raise or Lower Inflation?",Federal Reserve Board manuscript (forthcoming J. Monetary Econ.),https://www.matteoiacoviello.com/research_files/GPR_INFLATION_PAPER.pdf,T3,"Shows GPR shocks raise inflation and depress output in importing countries — supports a stagflationary-regime conditioning channel."
P041,"Bank for International Settlements (Rees, D. M.)",2023,"Commodity prices and the US dollar",BIS Working Paper 1083,https://www.bis.org/publ/work1083.pdf,T3,"Documents the 2021-2023 breakdown of the historical inverse commodity-USD correlation — commodities and USD now co-move."
P042,"Bank for International Settlements",2023,"Commodity prices, the dollar and stagflation risk",BIS Quarterly Review (March 2023),https://www.bis.org/publ/qtrpdf/r_qt2303f.pdf,T3,"Joint USD+commodity spike in 2021-22 created a stagflationary regime — earlier, the two usually offset."
P043,"Obstfeld, M.; Zhou, H.",2023,"The Global Dollar Cycle",NBER Working Paper 31004,https://www.nber.org/papers/w31004,T3,"Global dollar cycle is a dominant driver of EM asset returns; candidate conditioning regime variable for correlation analysis."
P044,"Statista / Bloomberg Terminal Research",2025,"Correlation in returns of bitcoin, gold, stocks and government bonds",Statista Infographic,https://www.statista.com/chart/34914/correlation-in-returns-of-bitcoin-gold-stocks-and-government-bonds/,T3,"2024-2025 rolling-correlation panel showing BTC strongly correlated with S&P 500 while gold remains weakly negative — the stylised fact we want to verify."
P045,"CME Group (OpenMarkets)",2025,"Gold and Bitcoin Decouple. What's Driving the Divergence?",CME Group Research,https://www.cmegroup.com/openmarkets/metals/2025/Gold-and-Bitcoin-Decouple-Whats-Driving-the-Divergence.html,T3,"Industry analysis of the 2025 gold/BTC decoupling — BTC joined the equity block while gold strengthened the debasement trade."
