exp_id	description	mae	rmse	r2	n_pareto	best_efficiency	prior	decision	notes
E44	Add cool_per_fan (cool rate per fan slot)	4.4598	5.5732	0.6022			0.25	REVERT	family=xgboost feats=1
E45	Add Elin_per_vol	4.4598	5.5732	0.6022			0.30	REVERT	family=xgboost feats=1
E46	E_lin + interlayer_time	4.7231	5.8617	0.5599			0.40	REVERT	family=xgboost feats=2
E47	E_lin + cool_rate	4.8723	6.1694	0.5125			0.40	REVERT	family=xgboost feats=2
E48	E_lin + thermal_margin	4.3234	5.4998	0.6126			0.40	REVERT	family=xgboost feats=2
E49	E_lin + infill_contact	4.7180	5.9269	0.5501			0.40	REVERT	family=xgboost feats=2
E50	E_lin + temp_x_infill	4.8728	5.9927	0.5400			0.40	REVERT	family=xgboost feats=2
P25.0	Compose: reproduce Phase 2 winner E08	4.2921	5.4112	0.6250			1.00	REVERT	family=xgboost feats=5
P25.1	Compose: E_lin + monotone(infill+, speed-)	4.7174	5.8589	0.5603			0.60	REVERT	family=xgboost feats=1
P25.2	Compose: E_lin + monotone(infill+, speed-, nozzle+)	4.5710	6.1088	0.5220			0.55	REVERT	family=xgboost feats=1
P25.3	Compose: E_lin + monotone(infill+, speed-) + n=600	4.6651	5.7984	0.5694			0.55	REVERT	family=xgboost feats=1
P25.4	Compose: E_lin + monotone(infill+, speed-) + max_depth=4	4.6347	5.7083	0.5826			0.45	REVERT	family=xgboost feats=1
P25.5	Compose: E_lin + thermal_margin + dual monotone	4.3132	5.4365	0.6214			0.50	REVERT	family=xgboost feats=2
P25.6	Compose: E_lin + interlayer_time + dual monotone	4.6719	5.8209	0.5660			0.50	REVERT	family=xgboost feats=2
P25.7	Compose: E_lin + dual monotone + log_target	4.5271	5.7058	0.5830			0.40	REVERT	family=xgboost feats=1
P25.8	Compose: E_lin + dual monotone + n=600 + depth=4	4.5914	5.6567	0.5902			0.45	REVERT	family=xgboost feats=1
