id,title,authors,year,venue,doi_or_url,theme,notes
11,Flow: Architecture and Benchmarking for Reinforcement Learning in Traffic Control,"Wu C., Kreidieh A., Vinitsky E., Bayen A.M.",2017,arXiv:1710.05465v1,https://arxiv.org/abs/1710.05465v1,RL / Flow framework,"Originating arXiv draft laying out the benchmark ring-road and merge tasks used throughout the Berkeley mixed-autonomy line."
12,"The Lord of the Ring Road: A Review and Evaluation of Autonomous Control Policies for Traffic in a Ring Road","Chou F.-C., Bagabaldo A.R., Bayen A.M.",2022,ACM Transactions on Cyber-Physical Systems 6(1) Art.8,10.1145/3494577,Controllers,"Systematic benchmark of 10 AV controllers (FollowerStopper, PI-saturated, RL, LQR, etc.) on a ring at varying penetration and distribution. Finds RL policies are most consistently effective."
13,"Designing, simulating, and performing the 100-AV field test for the CIRCLES consortium: Methodology and Implementation of the Largest mobile traffic control experiment to date","Lee J.W., Wang H., Jang K., Lichtle N., Hayat A., Bunting M., Bhadani R., Nice M., Gumm M., Delle Monache M.L., Seibold B., Piccoli B., Sprinkle J., Work D.B., Bayen A.M.",2024,arXiv:2404.15533,https://arxiv.org/abs/2404.15533,MegaVanderTest,"Methodology and execution paper for the 100-AV I-24 field test (MegaVanderTest, November 2022). Discusses data pipeline, controller selection, validation workflow, and operational lessons."
14,I-24 MOTION: An instrument for freeway traffic science,"Gloudemans D., Wang Y., Ji J., Zachar G., Barbour W., Hall E., Cebelak M., Smith L., Work D.B.",2023,Transportation Research Part C 155:104311,10.1016/j.trc.2023.104311,I-24 MOTION,"Canonical description of the I-24 MOTION testbed: 276 cameras covering ~4.2 miles of I-24 near Nashville, producing trajectories of every vehicle at 10 Hz. Essential data infrastructure for the MegaVanderTest."
15,Virtual trajectories for I-24 MOTION: data and tools,"Gloudemans D., Barbour W., Gloudemans N., Cebelak M., Work D.B.",2023,arXiv:2311.10888,https://arxiv.org/abs/2311.10888,I-24 MOTION,"Derives virtual Eulerian/Lagrangian trajectory products from the raw I-24 MOTION INCEPTION dataset. Useful format for downstream ML."
16,"Are commercially implemented adaptive cruise control systems string stable?","Gunter G., Gloudemans D., Stern R.E., McQuade S., Bhadani R., Bunting M., Delle Monache M.L., Lysecky R., Seibold B., Sprinkle J., Piccoli B., Work D.B.",2021,IEEE Transactions on Intelligent Transportation Systems 22(11):6992-7003,10.1109/TITS.2020.3000682,ACC/CACC,"Seven 2018-model-year commercial ACC systems tested in platoon experiments. ALL were string-unstable; a 6 mph disturbance grew to 25 mph along a platoon. Pivotal finding: stock ACC is part of the problem, not the solution."
17,Congested traffic states in empirical observations and microscopic simulations,"Treiber M., Hennecke A., Helbing D.",2000,Physical Review E 62(2):1805-1824,10.1103/PhysRevE.62.1805,Car-following models,"The Intelligent Driver Model (IDM). Foundational time-continuous CFM used in SUMO, Flow, and essentially every HDR simulator for phantom jams."
18,Dynamical model of traffic congestion and numerical simulation,"Bando M., Hasebe K., Nakayama A., Shibata A., Sugiyama Y.",1995,Physical Review E 51(2):1035-1042,10.1103/PhysRevE.51.1035,Car-following models,"The Optimal Velocity (OV) model with V(gap) = tanh-like function. Linear stability analysis of ring roads gives the classical instability condition f'(h*)/(2a) > 1/2."
19,A behavioural car-following model for computer simulation,"Gipps P.G.",1981,Transportation Research Part B 15(2):105-111,10.1016/0191-2615(81)90037-0,Car-following models,"Gipps collision-avoidance CFM: each driver sets a desired braking and acceleration limit. Default CFM in SUMO prior to IDM adoption."
20,Simulation des Strassenverkehrsflusses,"Wiedemann R.",1974,Schriftenreihe des Instituts für Verkehrswesen Universität Karlsruhe,N/A,Car-following models,"Psychophysical CFM with perceptual thresholds. Basis of the VISSIM (Wiedemann-99) model used throughout industry."
21,A simplified car-following theory: a lower order model,"Newell G.F.",2002,Transportation Research Part B 36(3):195-205,10.1016/S0191-2615(00)00044-8,Car-following models,"Newell's parsimonious car-following rule: follower trajectory is a space-time shift of leader's. Foundation of the triangular fundamental diagram in Lagrangian form."
22,Resurrection of 'Second Order' Models of Traffic Flow,"Aw A., Rascle M.",2000,SIAM Journal on Applied Mathematics 60(3):916-938,10.1137/S0036139997332099,Macroscopic models,"Introduces the Aw-Rascle hyperbolic 2-eq macro model; replaces space derivative with convective derivative. Fixes the anisotropy defect of Payne-Whitham."
23,A non-equilibrium traffic model devoid of gas-like behavior,"Zhang H.M.",2002,Transportation Research Part B 36(3):275-290,10.1016/S0191-2615(00)00050-3,Macroscopic models,"Companion to Aw-Rascle, jointly forming the ARZ model. Standard macroscopic backbone for jamiton theory."
24,On kinematic waves II. A theory of traffic flow on long crowded roads,"Lighthill M.J., Whitham G.B.",1955,Proceedings of the Royal Society A 229(1178):317-345,10.1098/rspa.1955.0089,Macroscopic models,"The LWR model. q=Q(ρ) conservation law; shock and rarefaction propagation theory. Foundation of first-order macroscopic traffic."
25,Shock Waves on the Highway,"Richards P.I.",1956,Operations Research 4(1):42-51,10.1287/opre.4.1.42,Macroscopic models,"Independent derivation of the LWR first-order theory; shows queue-forming shocks and threshold density behavior."
26,Self-sustained nonlinear waves in traffic flow,"Flynn M.R., Kasimov A.R., Nave J.-C., Rosales R.R., Seibold B.",2009,Physical Review E 79:056113,10.1103/PhysRevE.79.056113,Jamiton theory,"Coins 'jamitons'. Shows ARZ-type models admit detonation-wave-analog solutions that match phantom jam observations, including backward propagation speed."
27,Constructing set-valued fundamental diagrams from jamiton solutions in second order traffic models,"Seibold B., Flynn M.R., Kasimov A.R., Rosales R.R.",2013,Networks and Heterogeneous Media 8(3):745-772,10.3934/nhm.2013.8.745,Jamiton theory,"Shows jamiton-populated flow produces a set-valued (scattered) fundamental diagram matching empirical loop-detector scatter."
28,Jamitons: Phantom Traffic Jams,"Seibold B.",2013,School Science Review (September 2013),https://eric.ed.gov/?id=EJ1016087,Jamiton theory,"Didactic exposition of jamitons for physics teachers; useful reference for intuition."
29,Traffic Flow Dynamics: Data Models and Simulation,"Treiber M., Kesting A.",2013,Springer Berlin (ISBN 978-3-642-32459-8),10.1007/978-3-642-32460-4,Textbook,"The primary reference textbook. Covers IDM, OV, Gipps, stability analysis, fundamental diagrams, and macroscopic models with worked examples. Source of default IDM parameters."
30,Traffic and related self-driven many-particle systems,"Helbing D.",2001,Reviews of Modern Physics 73(4):1067-1141,10.1103/RevModPhys.73.1067,Textbook,"The standard review from the physics side. Covers microscopic, gas-kinetic mesoscopic, and macroscopic models; stability; and empirical observations."
31,Fundamentals of Transportation and Traffic Operations,"Daganzo C.F.",1997,Pergamon Oxford (ISBN 978-0-08-042785-0),N/A,Textbook,"Berkeley textbook treating kinematic waves, fundamental diagrams, and traffic operations rigorously; origin of the triangular fundamental diagram framing."
32,Vehicle Dynamics and Control (2nd ed),"Rajamani R.",2012,Springer Mechanical Engineering Series,10.1007/978-1-4614-1433-9,Textbook,"Reference for low-level longitudinal control: cruise control, ACC, brake/throttle dynamics, time delays. Core for implementing the actuation side of the HDR loop."
33,Stochastic Transport in Complex Systems: From Molecules to Vehicles,"Schadschneider A., Chowdhury D., Nishinari K.",2011,Elsevier Amsterdam,10.1016/C2009-0-16900-3,Textbook,"Complementary statistical-physics textbook covering CA models (Nagel-Schreckenberg), mean-field theories, and non-equilibrium transport formalisms."
34,The Physics of Traffic: Empirical Freeway Pattern Features Engineering Applications and Theory,"Kerner B.S.",2004,Springer Berlin (ISBN 3-540-20716-3),10.1007/978-3-540-40986-1,Textbook,"Develops three-phase traffic theory (free flow, synchronized flow, wide moving jam). Alternative framing to second-order continuum theory."
35,Introduction to Modern Traffic Flow Theory and Control: The Long Road to Three-Phase Traffic Theory,"Kerner B.S.",2009,Springer Berlin,10.1007/978-3-642-02605-8,Textbook,"Extended Kerner treatment with engineering applications. Useful contrast to the ARZ/jamiton lineage."
36,String stability of interconnected systems,"Swaroop D., Hedrick J.K.",1996,IEEE Transactions on Automatic Control 41(3):349-357,10.1109/9.486636,String stability,"Formal definition of string stability for linear unidirectional platoons. Core reference for what 'no amplification along a chain' means mathematically."
37,Car-following models: fifty years of linear stability analysis – a mathematical perspective,"Wilson R.E., Ward J.A.",2011,Transportation Planning and Technology 34(1):3-18,10.1080/03081060.2011.530826,String stability,"Cleans up the distinction between uniform-flow stability, platoon stability, and string stability. Gives general CFM framework and stability tests."
38,$\mathcal{L}_2$ and $\mathcal{L}_\infty$ stability analysis of heterogeneous traffic with application to parameter optimisation for the control of automated vehicles,"Monteil J., Bouroche M., Leith D.J.",2019,IEEE Transactions on Control Systems Technology 27(3):934-949,10.1109/TCST.2018.2808909,String stability,"Gives L2 and L∞ string stability conditions for heterogeneous mixed human-AV flows. Provides LMI-based parameter tuning for AV controllers in mixed traffic."
39,On L∞ string stability of nonlinear bidirectional asymmetric heterogeneous platoon systems,"Studli S., Seron M.M., Middleton R.H.",2019,Automatica 104:222-233,10.1016/j.automatica.2019.03.005,String stability,"Extends L∞ string stability to nonlinear bidirectional platoons; relates L∞ bound to maximum overshoot."
40,Modeling cooperative and autonomous adaptive cruise control dynamic responses using experimental data,"Milanés V., Shladover S.E.",2014,Transportation Research Part C 48:285-300,10.1016/j.trc.2014.09.001,ACC/CACC,"Experimental CACC string stability demonstration using 4 vehicles on a PATH test track. CACC achieves first-order stable response; ACC is lightly damped second-order. Historical baseline."
41,Impacts of Cooperative Adaptive Cruise Control on Freeway Traffic Flow,"Shladover S.E., Su D., Lu X.-Y.",2012,Transportation Research Record 2324:63-70,10.3141/2324-08,ACC/CACC,"Microscopic simulation of CACC penetration sweeps. Shows CACC increases capacity meaningfully only at moderate-to-high penetration; ACC alone ~zero effect on capacity."
42,Cooperative Adaptive Cruise Control: Definitions and Operating Concepts,"Shladover S.E., Nowakowski C., Lu X.-Y., Ferlis R.",2015,Transportation Research Record 2489:145-152,10.3141/2489-17,ACC/CACC,"Defines the SAE J3016-related concepts of ACC vs. CACC and tests driver-selected time gaps with ACC enabled (most drivers choose 1.1 s or larger)."
43,Effects of Cooperative Adaptive Cruise Control on traffic flow stability,"Schakel W.J., van Arem B., Netten B.D.",2010,IEEE ITSC 2010 pp.759-764,10.1109/ITSC.2010.5625133,ACC/CACC,"Early macroscopic simulation study suggesting CACC can damp shockwaves at 50% penetration using IDM-based controllers."
44,The Impact of Cooperative Adaptive Cruise Control on Traffic-Flow Characteristics,"van Arem B., van Driel C.J.G., Visser R.",2006,IEEE Transactions on Intelligent Transportation Systems 7(4):429-436,10.1109/TITS.2006.884615,ACC/CACC,"Early microscopic simulation of CACC in a merge scenario using MIXIC; showed stability benefits above ~40% penetration."
45,Enhanced Intelligent Driver Model to access the impact of driving strategies on traffic capacity,"Kesting A., Treiber M., Helbing D.",2010,Philosophical Transactions of the Royal Society A 368:4585-4605,10.1098/rsta.2010.0084,ACC/CACC,"Introduces the 'IDM+' / ACC-IDM variant designed for simulation of adaptive cruise control vehicles under cut-ins. Sweeps ACC penetration vs. bottleneck capacity."
46,Jam-avoiding adaptive cruise control (ACC) and its impact on traffic dynamics,"Kesting A., Treiber M., Schönhof M., Kranke F., Helbing D.",2007,Traffic and Granular Flow '05 pp.633-643,10.1007/978-3-540-47641-2_62,ACC/CACC,"Designs a jam-avoiding ACC policy and shows macroscopic capacity benefits; precursor to the Kesting 2010 paper."
47,General Lagrangian approximation to one-dimensional physical traffic flow models,"Leclercq L., Laval J.A., Chevallier E.",2007,Transportation and Traffic Theory 2007 pp.489-516,N/A,Macroscopic models,"Explicit derivation of the Newell-type Lagrangian discretization of LWR; useful bridge between micro and macro views."
48,A mechanism to describe the formation and propagation of stop-and-go waves in congested freeway traffic,"Laval J.A., Leclercq L.",2010,Philosophical Transactions of the Royal Society A 368:4519-4541,10.1098/rsta.2010.0083,Macroscopic models,"Proposes that stop-and-go oscillations on multilane freeways are seeded by timid/aggressive driver heterogeneity during lane changes, rather than pure ring-road instability."
49,Freeway traffic oscillations: Microscopic analysis of formations and propagations using Wavelet Transform,"Zheng Z., Ahn S., Chen D., Laval J.",2011,Transportation Research Part B 45(9):1378-1388,10.1016/j.trb.2011.05.012,Jamiton theory,"NGSIM trajectory analysis using wavelets to identify oscillation formation and propagation. Good empirical reference for wave speeds and lifetimes."
50,Shock wave propagation in traffic flow: a microscopic analysis of the Sugiyama experiment,"Orosz G., Wilson R.E., Stépán G.",2010,Philosophical Transactions of the Royal Society A 368:4455-4479,10.1098/rsta.2010.0205,Jamiton theory,"Delay-differential-equation analysis of ring-road car-following with reaction time; Hopf bifurcation gives jamiton-like solutions."
51,Bifurcations and multiple traffic jams in a car-following model with reaction-time delay,"Orosz G., Wilson R.E., Krauskopf B.",2004,Physica D 211(3-4):277-293,10.1016/j.physd.2005.09.004,Jamiton theory,"Foundational DDE analysis of OV model with delay; shows subcritical Hopf that produces multiple coexisting jam states."
52,Dynamics of connected vehicle systems with delayed acceleration feedback,"Ge J.I., Orosz G.",2014,Transportation Research Part C 46:46-64,10.1016/j.trc.2014.04.014,Connected vehicles,"Design of connected cruise control with V2V acceleration feedback; derives string-stability regions as a function of delay."
53,Connected cruise control: modelling delay effects and nonlinear behaviour,"Orosz G.",2016,Vehicle System Dynamics 54(8):1147-1176,10.1080/00423114.2016.1193209,Connected vehicles,"Unified treatment of connected cruise control including delay and nonlinearity; comparison to ACC and CACC."
54,Effect of adaptive cruise control systems on mixed traffic flow near an on-ramp,"Davis L.C.",2007,Physica A 379:274-290,10.1016/j.physa.2006.12.017,ACC/CACC,"Shows that moderate ACC penetration can raise bottleneck throughput by suppressing the upstream jam propagation."
55,Effect of ACC systems on traffic flow,"Davis L.C.",2004,Physical Review E 69:066110,10.1103/PhysRevE.69.066110,ACC/CACC,"Parametric study of ACC headway policies and their impact on flow instability in OV-type microscopic simulations."
56,Microscopic Traffic Simulation using SUMO,"Lopez P.A., Behrisch M., Bieker-Walz L., Erdmann J., Flötteröd Y.-P., Hilbrich R., Lücken L., Rummel J., Wagner P., Wießner E.",2018,IEEE ITSC 2018 pp.2575-2582,10.1109/ITSC.2018.8569938,SUMO,"Canonical SUMO 'launch paper' for version 1.0. Describes architecture, TraCI, IDM/Krauss CFMs, Wiedemann-99, and intermodal support."
57,SUMO - Simulation of Urban MObility: An Overview,"Krajzewicz D., Erdmann J., Behrisch M., Bieker L.",2012,SIMUL 2011 Third International Conference on Advances in System Simulation,https://elib.dlr.de/71460/,SUMO,"Earlier overview paper. Cites TraCI API, DLR context, and the basic Krauss car-following model that preceded IDM defaults."
58,Recent Development and Applications of SUMO,"Behrisch M., Bieker L., Erdmann J., Krajzewicz D.",2011,International Journal on Advances in Systems and Measurements 5(3&4):128-138,https://www.iariajournals.org/systems_and_measurements/,SUMO,"Details on SUMO's lane-change model (LC2013), junction logic, and its then-new TraCI interface."
59,The highD Dataset: A Drone Dataset of Naturalistic Vehicle Trajectories on German Highways for Validation of Highly Automated Driving Systems,"Krajewski R., Bock J., Kloeker L., Eckstein L.",2018,IEEE ITSC 2018 pp.2118-2125,10.1109/ITSC.2018.8569552,Datasets,"~110k vehicles, 45k km, 16.5 h, six locations, 420 m segments. Drone-captured; cleaner than NGSIM. Standard highway naturalistic trajectory resource."
60,Next Generation Simulation (NGSIM) Vehicle Trajectories and Supporting Data,"Federal Highway Administration",2006,FHWA Data Portal (US-101 June 2005 I-80 April 2005),https://data.transportation.gov/Automobiles/Next-Generation-Simulation-NGSIM-Vehicle-Trajector/8ect-6jqj,Datasets,"Canonical legacy dataset: US-101 and I-80 trajectories from video at 10 Hz. Known to have occasional measurement noise but remains the most cited highway trajectory dataset."
61,Estimation of desired time gaps parameter for IDM and corresponding speed-density relations,"Punzo V., Simonelli F.",2005,Transportation Research Record 1934:53-60,10.3141/1934-06,Calibration,"NGSIM calibration of IDM. Gives empirical ranges for the desired time gap T and maximum acceleration a."
62,Analysis and Model of Freeway Traffic Data,"Chen C., Skabardonis A., Varaiya P.",2004,Transportation Research Record 1876:74-82,10.3141/1876-08,Empirical,"PeMS-based analysis of freeway traffic, including bottleneck identification and flow-density scatter structure."
63,Systematic Identification of Freeway Bottlenecks,"Chen C., Skabardonis A., Varaiya P.",2004,Transportation Research Record 1867:46-52,10.3141/1867-06,Empirical,"Algorithm for automatically finding active freeway bottlenecks from loop-detector data. Not directly about phantom jams but needed for separating infrastructure vs. intrinsic jams."
64,Bivariate relations in nearly stationary highway traffic,"Cassidy M.J.",1998,Transportation Research Part B 32(1):49-59,10.1016/S0191-2615(97)00012-X,Fundamental diagram,"Uses cumulative counts to show that under stationary conditions freeway data collapse to a well-defined 1D curve. Essential validation of the fundamental diagram concept at the empirical level."
65,Discussion of traffic stream measurements and definitions,"Edie L.C.",1963,Proc. 2nd International Symposium on the Theory of Traffic Flow pp.139-154,N/A,Fundamental diagram,"Introduces Edie's generalized definitions of density and flow over a space-time region. Used in nearly every HDR evaluation function for macro quantities."
66,A Study in Highway Capacity,"Greenshields B.D.",1935,Highway Research Board Proceedings 14:448-477,N/A,Fundamental diagram,"The original linear speed-density model q = ρ v_f (1 - ρ/ρ_jam). Pedagogical default."
67,The Cell Transmission Model: A Dynamic Representation of Highway Traffic Consistent with the Hydrodynamic Theory,"Daganzo C.F.",1994,Transportation Research Part B 28(4):269-287,10.1016/0191-2615(94)90002-7,Macroscopic models,"CTM: discrete Godunov scheme for LWR with triangular fundamental diagram. Canonical cell-based macroscopic solver."
68,The Cell Transmission Model Part II: Network Traffic,"Daganzo C.F.",1995,Transportation Research Part B 29(2):79-93,10.1016/0191-2615(94)00022-R,Macroscopic models,"CTM extension to networks with merges and diverges."
69,A Finite Difference Approximation of the Kinematic Wave Model of Traffic Flow,"Daganzo C.F.",1995,Transportation Research Part B 29(4):261-276,10.1016/0191-2615(95)00004-W,Macroscopic models,"Theoretical justification of CTM as a Godunov scheme; convergence properties."
70,"Proximal Policy Optimization Algorithms","Schulman J., Wolski F., Dhariwal P., Radford A., Klimov O.",2017,arXiv:1707.06347,https://arxiv.org/abs/1707.06347,RL algorithms,"PPO: the most-used on-policy algorithm for Flow/CIRCLES benchmarks."
71,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,"Haarnoja T., Zhou A., Abbeel P., Levine S.",2018,ICML 2018 PMLR 80:1861-1870,https://proceedings.mlr.press/v80/haarnoja18b.html,RL algorithms,"SAC: off-policy continuous-control algorithm used in recent mixed-autonomy RL."
72,Addressing Function Approximation Error in Actor-Critic Methods,"Fujimoto S., van Hoof H., Meger D.",2018,ICML 2018 PMLR 80:1587-1596,https://proceedings.mlr.press/v80/fujimoto18a.html,RL algorithms,"TD3: twin-Q off-policy baseline algorithm used in some traffic-control RL benchmarks."
73,Trust Region Policy Optimization,"Schulman J., Levine S., Moritz P., Jordan M., Abbeel P.",2015,ICML 2015 PMLR 37:1889-1897,https://proceedings.mlr.press/v37/schulman15.html,RL algorithms,"TRPO: predecessor to PPO; used in early Flow experiments."
74,Continuous control with deep reinforcement learning,"Lillicrap T.P., Hunt J.J., Pritzel A., Heess N., Erez T., Tassa Y., Silver D., Wierstra D.",2016,ICLR 2016,https://arxiv.org/abs/1509.02971,RL algorithms,"DDPG. Original actor-critic for continuous control; sometimes used as a baseline for AV speed control."
75,Human-level control through deep reinforcement learning,"Mnih V. et al.",2015,Nature 518:529-533,10.1038/nature14236,RL algorithms,"DQN. Foundational deep-RL reference used when classifying actions rather than velocities."
76,A multiscale model for traffic regulation via autonomous vehicles,"Garavello M., Goatin P., Liard T., Piccoli B.",2020,Journal of Differential Equations 269(7):6088-6124,10.1016/j.jde.2020.04.031,Macroscopic control,"Coupled PDE-ODE framework where AVs act as moving flux constraints in LWR. Basis for proving wave damping at the macroscopic level."
77,Scalar conservation laws with moving constraints arising in traffic flow modeling: an existence result,"Delle Monache M.L., Goatin P.",2014,Journal of Differential Equations 257(11):4015-4029,10.1016/j.jde.2014.07.014,Macroscopic control,"First existence proof for LWR with a moving bottleneck constraint from an AV. Mathematical foundation of macroscopic AV control."
78,A PDE-ODE model for traffic control with autonomous vehicles,"Delle Monache M.L., Liard T., Piccoli B., Stern R.E., Work D.B.",2019,Networks and Heterogeneous Media 14(3):495-518,10.3934/nhm.2019019,Macroscopic control,"Extends the PDE-ODE framework to multiple AVs and gives numerical schemes. Direct bridge between the Stern field experiments and the continuum picture."
79,Multiscale control of generic second order traffic models by driver-assist vehicles,"Chiarello F.A., Piccoli B., Tosin A.",2021,Multiscale Modeling & Simulation 19(2):589-611,10.1137/20M1360128,Macroscopic control,"Uses second-order macroscopic models with an AV density term to quantify the minimum AV fraction needed to stabilize a given equilibrium."
80,Nonlinear Optimal Control of Traffic Flow with Stability Guarantees,"Hayat A., Piccoli B., Truong S.",2023,IFAC-PapersOnLine 56(2):8482-8489,10.1016/j.ifacol.2023.10.026,Macroscopic control,"Derives a Lyapunov-based AV controller with provable closed-loop stability guarantees for the ARZ model."
81,How many autonomous vehicles are required to stabilize traffic flow?,"Bahavarnia M., Taha A.F.",2024,arXiv:2408.11212,https://arxiv.org/abs/2408.11212,Minimum penetration,"Optimizes the number of AVs needed to stabilize a given human flow subject to control saturation. Frames the minimum-penetration question as a constrained optimization."
82,Taming Spontaneous Stop-and-Go Traffic Waves: A Computational Mechanism Design Perspective,"(anonymized author set; see arXiv record)",2025,arXiv:2509.09441,https://arxiv.org/abs/2509.09441,Recent,"Mechanism-design framing of the wave-suppression problem. Treats CAV control policy as the product of a throughput/oscillation tradeoff game; searches for the optimal policy as a function of density."
83,A Review of Stop-and-Go Traffic Wave Suppression Strategies: Variable Speed Limit vs. Jam-Absorption Driving,"He Z., Laval J., Han Y., Hegyi A., Nishi R., Wu C.",2025,arXiv:2504.11372,https://arxiv.org/abs/2504.11372,Recent,"Direct 2025 review of the two dominant suppression paradigms. Useful for contextualizing the HDR question: which of VSL-style eulerian or JAD-style lagrangian wins and under what penetration."
84,Stabilizing traffic flow by autonomous vehicles: Stability analysis and implementation considerations,"Yao Z., Wu Y., Wang Y., Zhao B., Jiang Y.",2024,Transportation Research Part C 159:104494,10.1016/j.trc.2024.104494,Controllers,"Recent CFM-based stabilization analysis with practical notes on sampling rate, delay, and acceleration saturation."
85,Data-Driven Traffic Reconstruction and Kernel Methods for Identifying Stop-and-Go Congestion,"Zhao E., Wang H., Hayat A., Delle Monache M.L., Work D.B., Bayen A.M.",2023,arXiv:2312.03186,https://arxiv.org/abs/2312.03186,I-24 MOTION,"Kernel-based stop-and-go wave identification from I-24 MOTION trajectories; provides a ground-truth labeling pipeline for HDR evaluation."
86,Modeling Monitoring and Controlling Road Traffic Using Vehicles to Sense and Act,"Delle Monache M.L., Sprinkle J., Vasudevan R., Work D.B.",2023,Annual Review of Control Robotics and Autonomous Systems 6:149-174,10.1146/annurev-control-062122-100953,Survey,"Recent CIRCLES-authored survey of mobile-actuator traffic control including sensing trade-offs and the field-test methodology."
87,Achieving string stability of ACC vehicles via feedback on acceleration and jerk,"Santhanakrishnan K., Rajamani R.",2003,American Control Conference 2003 pp.3271-3276,10.1109/ACC.2003.1244041,ACC/CACC,"Jerk-feedback controller design that provably achieves string stability for ACC platoons."
88,String stability of automated vehicle platoons operating in the absence of V2V communications,"Al Alam A., Gattami A., Johansson K.H.",2010,IEEE ITSC 2010 pp.306-311,10.1109/ITSC.2010.5625050,ACC/CACC,"Early study showing that without V2V feedback, time-gap policies must exceed ~1.4 s for ACC to achieve string stability."
89,Optimal Control Theoretic View on Cooperative Adaptive Cruise Control,"Wang M., Daamen W., Hoogendoorn S.P., van Arem B.",2014,Transportation Research Part C 47:285-300,10.1016/j.trc.2014.09.001,ACC/CACC,"MPC-based CACC that treats the CACC problem as a distributed optimal control problem."
