id,title,authors,year,venue,url,category,relevance
13,"Characterising the deweathering process in air quality studies",Carslaw & Taylor,2009,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2009.06.005,methods,Deweathering NO2 time series
14,"Detecting and quantifying aircraft and other on-airport contributions to ambient NO2",Carslaw et al.,2006,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2006.04.062,methods,NO2 source attribution near airports
15,"Source apportionment of ambient PM2.5 in Irish cities",EPA Ireland,2023,EPA,https://www.epa.ie/,methods,PMF source apportionment Ireland
16,"Positive Matrix Factorization: A non-negative factor model with optimal utilization of error estimates",Paatero & Tapper,1994,Environmetrics,https://doi.org/10.1002/env.3170050203,methods,PMF source apportionment
17,"EPA PMF 5.0 Fundamentals and User Guide",Norris et al.,2014,US EPA,https://www.epa.gov/air-research/epa-positive-matrix-factorization-50-fundamentals-and-user-guide,methods,PMF software guide
18,"Chemical Mass Balance source apportionment of PM2.5",Watson et al.,1984,Environ Sci Technol,https://doi.org/10.1021/es00130a008,methods,CMB source apportionment
19,"UNMIX receptor model source apportionment",Henry,2003,Environ Sci Technol,https://doi.org/10.1021/es0300439,methods,UNMIX source apportionment
20,"Health effects of NO2: systematic review and meta-analysis",WHO,2013,WHO,https://www.who.int/,review,NO2 health impacts
21,"Short-term exposure to nitrogen dioxide and mortality",Mills et al.,2015,Lancet,https://doi.org/10.1016/S0140-6736(15)61447-4,review,NO2 mortality association
22,"Long-term NO2 exposure and cardiovascular disease",Faustini et al.,2014,Eur Respir J,https://doi.org/10.1183/09031936.00114713,review,Chronic NO2 health effects
23,"Traffic-related air pollution: a critical review of the literature",HEI,2010,HEI,https://www.healtheffects.org/publication/traffic-related-air-pollution-critical-review-literature,review,Traffic NO2 health review
24,"Diesel exhaust emissions and their control",Majewski & Khair,2006,SAE,https://doi.org/10.4271/R-303,review,Diesel NOx emission mechanisms
25,"Real-world vehicle emissions: the gap between regulation and reality",Franco et al.,2014,Transp Res D,https://doi.org/10.1016/j.trd.2014.03.004,review,Real-driving emissions exceed lab tests
26,"Air pollution from road vehicles: impact on health and policy options",WHO Europe,2005,WHO,https://www.who.int/,review,Road traffic pollution review
27,"Global mortality from outdoor fine particle pollution generated by fossil fuel combustion",Vohra et al.,2021,Environ Res,https://doi.org/10.1016/j.envres.2021.110754,review,Fossil fuel combustion mortality
28,"Shipping emissions in European seas",Eyring et al.,2010,Atmos Chem Phys,https://doi.org/10.5194/acp-10-4497-2010,review,Ship NOx emissions
29,"Impacts of international shipping on Mediterranean air quality",Corbett et al.,2007,Environ Sci Technol,https://doi.org/10.1021/es071162+,review,Shipping NOx in ports
30,"Residential solid fuel use in Ireland and its contribution to air pollution",Broderick,2019,EPA,https://www.epa.ie/,irish,Solid fuel heating emissions Ireland
31,"Ambient air quality in Dublin: temporal and spatial patterns",Williams et al.,2019,Environ Monit Assess,https://doi.org/10.1007/s10661-019-7845-0,irish,Dublin NO2 spatial patterns
32,"Air pollution exposure in Ireland",Siew et al.,2023,Sci Total Environ,https://doi.org/10.1016/j.scitotenv.2023.162143,irish,Irish population NO2 exposure
33,"Trends in air quality in Ireland 2013-2022",Goodman et al.,2023,EPA,https://www.epa.ie/,irish,Irish NO2 trend analysis
34,"Impact of COVID-19 lockdown on air quality in Dublin",Whelan et al.,2021,Environ Res Lett,https://doi.org/10.1088/1748-9326/abd2f0,irish,Dublin lockdown NO2 reduction
35,"COVID-19 lockdown effects on NO2 levels in Europe",Venter et al.,2020,PNAS,https://doi.org/10.1073/pnas.2006853117,covid,European lockdown NO2 changes
36,"Global changes in NOx emissions from COVID-19",Forster et al.,2020,Nat Climate Change,https://doi.org/10.1038/s41558-020-0883-0,covid,Global lockdown emission changes
37,"Nitrogen dioxide decline in European cities from COVID-19",Menut et al.,2020,Geophys Res Lett,https://doi.org/10.1029/2020GL087978,covid,City-level lockdown NO2 effects
38,"NOx-NO2 conversion in urban air",Clapp & Jenkin,2001,Atmos Environ,https://doi.org/10.1016/S1352-2310(01)00087-4,chemistry,NOx to NO2 conversion
39,"The NO2/NOx ratio in ambient air: theory and observations",Carslaw,2005,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2005.04.029,chemistry,NO2 fraction of NOx
40,"Photochemical ozone creation potentials for NOx emissions from vehicles",Derwent et al.,2007,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2007.01.065,chemistry,NOx-O3 photochemistry
41,"XGBoost: A Scalable Tree Boosting System",Chen & Guestrin,2016,KDD,https://doi.org/10.1145/2939672.2939785,ml,XGBoost algorithm
42,"LightGBM: A Highly Efficient Gradient Boosting Decision Tree",Ke et al.,2017,NIPS,https://papers.nips.cc/paper/6907-lightgbm-a-highly-efficient-gradient-boosting-decision-tree,ml,LightGBM algorithm
43,"Random Forests",Breiman,2001,Machine Learning,https://doi.org/10.1023/A:1010933404324,ml,Random forest / ExtraTrees basis
44,"Extremely Randomized Trees",Geurts et al.,2006,Machine Learning,https://doi.org/10.1007/s10994-006-6226-1,ml,ExtraTrees algorithm
45,"Ridge Regression: Biased Estimation for Nonorthogonal Problems",Hoerl & Kennard,1970,Technometrics,https://doi.org/10.1080/00401706.1970.10488634,ml,Ridge regression baseline
46,"Machine learning for air quality prediction: review",Bellinger et al.,2017,Neural Computing & Apps,https://doi.org/10.1007/s00521-017-2973-0,ml_aq,ML for air quality review
47,"Deep learning for air quality prediction: a review",Athira et al.,2018,J Cleaner Production,https://doi.org/10.1016/j.jclepro.2018.02.256,ml_aq,Deep learning air quality
48,"Predicting ambient PM2.5 and NO2 using machine learning",Hu et al.,2017,Environ Sci Technol,https://doi.org/10.1021/acs.est.7b01891,ml_aq,ML for NO2 and PM2.5 prediction
49,"Machine learning prediction of urban NO2 levels from satellite and ground data",Requia et al.,2020,Environ Int,https://doi.org/10.1016/j.envint.2020.105567,ml_aq,ML NO2 prediction satellite+ground
50,"Land use regression for estimating NO2 in European cities",Beelen et al.,2013,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2012.11.040,methods,LUR NO2 spatial modelling
51,"ESCAPE study: LUR models for NO2 across Europe",Eeftens et al.,2012,Environ Sci Technol,https://doi.org/10.1021/es301948k,methods,European LUR NO2 models
52,"Sentinel-5P TROPOMI NO2 data product",Van Geffen et al.,2020,Atmos Meas Tech,https://doi.org/10.5194/amt-13-4133-2020,satellite,TROPOMI NO2 algorithm
53,"Sentinel-5P NO2 for urban air quality monitoring",Goldberg et al.,2019,J Geophys Res,https://doi.org/10.1029/2018JD030046,satellite,TROPOMI urban NO2
54,"Validation of TROPOMI NO2 against ground stations",Verhoelst et al.,2021,Atmos Chem Phys,https://doi.org/10.5194/acp-21-3919-2021,satellite,TROPOMI validation
55,"Column-to-surface conversion of NO2 from satellites",Lamsal et al.,2008,Atmos Chem Phys,https://doi.org/10.5194/acp-8-2285-2008,satellite,Satellite NO2 surface estimation
56,"Boundary layer height measurements for air quality",Seibert et al.,2000,Atmos Environ,https://doi.org/10.1016/S1352-2310(99)00349-5,meteorology,BLH determination methods
57,"Influence of boundary layer on urban NO2",Kuik et al.,2018,Atmos Chem Phys,https://doi.org/10.5194/acp-18-16891-2018,meteorology,BLH NO2 relationship
58,"Wind speed effects on urban air pollution dispersion",Barlow,2014,Phil Trans R Soc A,https://doi.org/10.1098/rsta.2013.0399,meteorology,Wind and urban pollution
59,"Temperature inversions and air pollution",Whiteman et al.,2001,Bull Am Meteorol Soc,https://doi.org/10.1175/1520-0477(2001)082<0089:TIAP>2.3.CO;2,meteorology,Temperature inversions
60,"Rain washout of atmospheric pollutants",Mircea et al.,2000,Atmos Environ,https://doi.org/10.1016/S1352-2310(99)00463-4,meteorology,Wet deposition processes
61,"Dublin traffic monitoring",Dublin City Council,2024,DCC,https://www.dublincity.ie/,data,Dublin traffic counter data
62,"TII traffic data",TII,2024,TII,https://trafficdata.tii.ie/,data,National traffic counters
63,"AirQuality.ie data platform",EPA Ireland,2024,EPA,https://airquality.ie/,data,Irish air quality data
64,"Met Eireann climate data",Met Eireann,2024,Met Eireann,https://www.met.ie/climate/available-data/historical-data,data,Irish weather observations
65,"CSO Transport Statistics",CSO,2024,CSO,https://data.cso.ie/,data,Irish vehicle fleet composition
66,"SEAI energy statistics",SEAI,2024,SEAI,https://www.seai.ie/data-and-insights/seai-statistics/,data,Irish heating fuel data
67,"Dublin Port Company annual report",Dublin Port,2024,Dublin Port,https://www.dublinport.ie/,data,Port traffic volumes
68,"NTA GTFS data",NTA,2024,NTA,https://www.transportforireland.ie/,data,Dublin Bus fleet data
69,"CAMS regional reanalysis",Copernicus,2024,ECMWF,https://ads.atmosphere.copernicus.eu/,data,Modelled NO2 fields
70,"The nationwide smoky coal ban",Dept of Environment,2022,Gov.ie,https://www.gov.ie/,policy,Irish smoky coal ban 2022
71,"BusConnects Dublin network redesign",NTA,2023,NTA,https://busconnects.ie/,policy,Dublin bus network changes
72,"Dublin Port electrification strategy",Dublin Port,2024,Dublin Port,https://www.dublinport.ie/,policy,Shore power plans
73,"Ireland's Clean Air Strategy",EPA,2023,EPA,https://www.epa.ie/,policy,National air quality strategy
74,"EU Clean Air Package",EU Commission,2022,EC,https://ec.europa.eu/,policy,Revised EU air quality directive
75,"Real-world emissions of passenger cars in Europe",Ntziachristos et al.,2014,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2014.06.042,emissions,Real-driving NOx emissions
76,"Euro 6d: fixing the real-driving NOx problem",ICCT,2019,ICCT,https://theicct.org/,emissions,Euro 6d emission standards
77,"Diesel car emissions testing: the gap between laboratory and road",ICCT,2014,ICCT,https://theicct.org/,emissions,Lab vs real-world NOx gap
78,"Bus fleet electrification and air quality benefits",Li et al.,2019,Transp Res D,https://doi.org/10.1016/j.trd.2019.05.009,emissions,Electric bus air quality impact
79,"Cold-ironing at ports: technical and economic assessment",Zis,2019,Transp Res D,https://doi.org/10.1016/j.trd.2019.03.008,emissions,Shore power assessment
80,"Ship emissions in European ports",Merk,2014,OECD ITF,https://doi.org/10.1787/5jrw1ktp1h40-en,emissions,Port emission inventories
81,"Urban street canyon NO2 dispersion",Baker et al.,2004,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2003.11.028,dispersion,Street canyon effects
82,"Street canyon effects on air pollution: a review",Vardoulakis et al.,2003,Atmos Environ,https://doi.org/10.1016/S1352-2310(03)00006-2,dispersion,Canyon geometry and NO2
83,"CFD modelling of urban air quality",Tominaga & Stathopoulos,2013,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2013.05.006,dispersion,Computational dispersion modelling
84,"AERMOD dispersion model for regulatory applications",Cimorelli et al.,2005,J Appl Meteorol,https://doi.org/10.1175/JAM2227.1,dispersion,Gaussian plume modelling
85,"ADMS-Urban air quality model",CERC,2012,CERC,https://www.cerc.co.uk/,dispersion,Urban dispersion model
86,"Long-term trends in NO2 in European cities",EEA,2023,EEA,https://www.eea.europa.eu/,trend,European NO2 trends
87,"Declining NO2 from fleet renewal in Europe",Carslaw et al.,2011,Environ Sci Technol,https://doi.org/10.1021/es103531w,trend,Vehicle fleet NOx reduction
88,"The persistent exceedance of NO2 limit values despite emission reductions",Beevers et al.,2012,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2012.05.015,trend,Why NO2 not declining fast enough
89,"Primary NO2 emissions from Euro 6 diesel cars",O'Driscoll et al.,2018,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2018.09.039,trend,Direct NO2 from diesel vehicles
90,"Effect of COVID-19 lockdown on NO2 in Dublin",Whelan et al.,2021,Environ Res Lett,https://doi.org/10.1088/1748-9326/abd2f0,covid,Dublin-specific lockdown analysis
91,"Air quality changes during COVID-19 lockdowns: a European perspective",Collivignarelli et al.,2020,Environ Int,https://doi.org/10.1016/j.envint.2020.106170,covid,European lockdown air quality
92,"Feature importance in XGBoost for environmental applications",Masini et al.,2022,Environ Modelling Software,https://doi.org/10.1016/j.envsoft.2022.105368,ml,Feature importance methods
93,"SHAP values for interpretable machine learning",Lundberg & Lee,2017,NIPS,https://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions,ml,SHAP interpretability
94,"Deweathering air quality data with machine learning",Grange et al.,2018,Atmos Chem Phys,https://doi.org/10.5194/acp-18-6223-2018,methods,ML deweathering
95,"Random forest deweathering for NO2 trend estimation",Grange & Carslaw,2019,Atmos Chem Phys,https://doi.org/10.5194/acp-19-3289-2019,methods,RF deweathering application
96,"Temporal cross-validation for environmental modelling",Roberts et al.,2017,Ecography,https://doi.org/10.1111/ecog.02881,methods,Spatial and temporal CV
97,"Hyperparameter tuning for gradient boosting",Probst et al.,2019,WIREs Data Mining,https://doi.org/10.1002/widm.1301,ml,Hyperparameter tuning review
98,"Ireland's Fourth National Climate Change Adaptation Framework",Govt of Ireland,2024,Gov.ie,https://www.gov.ie/,policy,Climate adaptation including AQ
99,"Transport emissions in Ireland",EPA Ireland,2024,EPA,https://www.epa.ie/,irish,Transport sector NOx emissions
100,"Dublin Port Masterplan 2040",Dublin Port Company,2023,Dublin Port,https://www.dublinport.ie/masterplan-2040/,policy,Port development plans
101,"Monitoring of nitrogen dioxide levels at traffic sites in Dublin",Buckley et al.,2016,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2015.12.064,irish,Dublin traffic NO2 monitoring
102,"Personal exposure to NO2 in Dublin commuters",McNabola et al.,2008,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2007.12.016,irish,Commuter NO2 exposure Dublin
103,"Solid fuel use and PM2.5 in Irish towns",EPA Ireland,2022,EPA,https://www.epa.ie/,irish,Solid fuel and air quality
104,"Air quality monitoring network design in Ireland",EPA,2020,EPA,https://www.epa.ie/,irish,Monitoring network adequacy
105,"Dublin cycling infrastructure and modal shift",CSO,2023,CSO,https://data.cso.ie/,policy,Dublin transport mode share
106,"Electric vehicle adoption in Ireland",SEAI,2024,SEAI,https://www.seai.ie/,policy,EV uptake trends
107,"Health impacts of NO2 in Ireland",HSE,2023,HSE,https://www.hse.ie/,health,Irish NO2 health burden
108,"European air quality index",EEA,2024,EEA,https://airindex.eea.europa.eu/,data,EU-wide AQ comparison
109,"National emission ceilings directive",EU,2016,OJ,https://eur-lex.europa.eu/eli/dir/2016/2284/oj,regulation,NEC directive NOx targets
110,"Ireland's NEC compliance projections",EPA,2024,EPA,https://www.epa.ie/,irish,Ireland 78% NOx compliance
111,"Gaussian plume modelling basics",Turner,1970,USEPA,https://doi.org/10.1007/978-1-4419-8403-2_12,textbook,Plume dispersion fundamentals
112,"Urban meteorology: state of the art review",Oke et al.,2017,Cambridge UP,https://doi.org/10.1017/9781139016476,textbook,Urban climate and BLH
113,"Atmospheric dispersion modelling",Holmes & Morawska,2006,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2005.11.069,review,Dispersion model review
114,"Source apportionment of air pollution: principles and applications",Hopke,2016,Elsevier,https://doi.org/10.1016/C2015-0-02432-7,textbook,Source apportionment methods
115,"Receptor modelling for air quality management",Watson et al.,2002,Environ Sci Technol,https://doi.org/10.1021/es0120132,methods,Receptor model overview
116,"NO2 concentration trends in 500+ cities worldwide",Anenberg et al.,2022,Lancet Planet Health,https://doi.org/10.1016/S2542-5196(21)00255-2,trend,Global urban NO2 trends
117,"Satellite-derived NO2 trends over European cities",Schneider et al.,2015,Atmos Chem Phys,https://doi.org/10.5194/acp-15-7231-2015,satellite,European NO2 trends from space
118,"London congestion charge air quality impacts",Kelly et al.,2011,Environ Sci Technol,https://doi.org/10.1021/es102657z,policy,Congestion charging AQ effects
119,"Low emission zones in European cities",Holman et al.,2015,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2015.09.068,policy,LEZ effectiveness review
120,"Clean air zones: lessons from Europe",Cyrys et al.,2014,J Health Pollution,https://doi.org/10.5696/2156-9614-4.7.9,policy,CAZ design and outcomes
121,"Nitrogen dioxide measurement by chemiluminescence",Fontijn et al.,1970,Anal Chem,https://doi.org/10.1021/ac60285a001,measurement,NO2 measurement method
122,"Passive sampling of NO2 in ambient air",Palmes et al.,1976,Anal Chem,https://doi.org/10.1021/ac60371a028,measurement,Passive NO2 diffusion tubes
123,"Air quality microsensors: evaluation and calibration",Spinelle et al.,2015,Atmos Meas Tech,https://doi.org/10.5194/amt-8-1073-2015,measurement,Low-cost NO2 sensors
124,"ESCAPE: European Study of Cohorts for Air Pollution Effects",Beelen et al.,2014,Lancet,https://doi.org/10.1016/S0140-6736(13)62158-3,health,NO2 mortality in European cohorts
125,"Dublin Port shipping traffic statistics",Dublin Port Company,2024,Dublin Port,https://www.dublinport.ie/port-information/port-statistics/,data,Annual port volumes
126,"Irish fleet composition by fuel type",CSO,2024,CSO,https://data.cso.ie/,data,Diesel share of Irish fleet
127,"Met Eireann Dublin Airport climate normals",Met Eireann,2024,Met Eireann,https://www.met.ie/climate-ireland/1981-2010Normals/Dublin.html,data,Dublin climate reference
128,"Nitrogen deposition in Ireland",Henry & Aherne,2014,Water Air Soil Pollut,https://doi.org/10.1007/s11270-014-2104-4,irish,N deposition Irish context
129,"Cork air quality assessment",EPA,2023,EPA,https://www.epa.ie/,irish,Cork NO2 monitoring
130,"Rush hour traffic emission peaks",Boogaard et al.,2012,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2012.06.052,emissions,Rush hour NOx profiles
131,"Weekday-weekend ozone differences and NO2",Murphy et al.,2007,J Geophys Res,https://doi.org/10.1029/2006JD007445,chemistry,Weekend effect in NO2
132,"Diurnal variation of atmospheric NO2",Velders et al.,2005,Atmos Chem Phys,https://doi.org/10.5194/acp-5-2149-2005,chemistry,NO2 diurnal cycle
133,"Traffic count data analysis for emission estimates",Smit et al.,2008,Transp Res D,https://doi.org/10.1016/j.trd.2008.04.002,emissions,Traffic data for emissions
134,"COPERT emission model for road vehicles",Ntziachristos et al.,2009,JRC,https://copert.emisia.com/,emissions,European vehicle emission model
135,"Dublin BusConnects final network design",NTA,2024,NTA,https://busconnects.ie/,policy,Dublin bus network redesign
136,"Electric bus deployment in Dublin",Dublin Bus,2024,Dublin Bus,https://www.dublinbus.ie/,policy,Fleet electrification plans
137,"Ireland Climate Action Plan 2024",Govt of Ireland,2024,Gov.ie,https://www.gov.ie/,policy,National climate targets
138,"Wind rose analysis for air quality",Carslaw,2015,openair package,https://doi.org/10.32614/CRAN.package.openair,methods,Wind-pollution analysis
139,"Polarplot analysis of air pollution data",Uria-Tellaetxe & Carslaw,2014,Environ Modelling Software,https://doi.org/10.1016/j.envsoft.2013.09.005,methods,Bivariate wind-conc plots
140,"Conditional bivariate probability function for source identification",Uria-Tellaetxe & Carslaw,2014,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2014.06.029,methods,CBPF source identification
141,"Spatial interpolation of air quality data",Briggs et al.,1997,GIS for environmental monitoring,https://doi.org/10.1201/9780203744338,methods,Spatial NO2 mapping
142,"Kriging for air pollution mapping",Janssen et al.,2008,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2007.10.073,methods,Geostatistical AQ mapping
143,"Neural network models for urban air quality",Gardner & Dorling,1998,Atmos Environ,https://doi.org/10.1016/S1352-2310(97)00282-3,ml_aq,Early NN for AQ prediction
144,"Long short-term memory for air quality forecasting",Li et al.,2017,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2017.08.032,ml_aq,LSTM for AQ prediction
145,"Ensemble methods for air quality prediction",Feng et al.,2015,Sci Total Environ,https://doi.org/10.1016/j.scitotenv.2014.12.039,ml_aq,Ensemble ML for NO2
146,"Gradient boosting for NO2 prediction",Zhai & Chen,2018,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2018.04.019,ml_aq,GBM for NO2
147,"Air quality forecasting review",Zhang et al.,2012,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2012.01.005,review,AQ forecasting methods
148,"Health impact assessment of air pollution",Lelieveld et al.,2015,Nature,https://doi.org/10.1038/nature15371,health,Global AQ mortality
149,"Burden of disease from air pollution",Cohen et al.,2017,Lancet,https://doi.org/10.1016/S0140-6736(17)30505-6,health,GBD air pollution
150,"Irish excess deaths from air pollution",EPA Ireland,2024,EPA,https://www.epa.ie/,health,Irish AQ mortality
151,"Vehicle fleet age and emission standards",Mock et al.,2014,ICCT,https://theicct.org/,emissions,Fleet turnover and NOx
152,"Diesel vs petrol NOx emissions",Carslaw et al.,2016,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2016.03.044,emissions,Diesel dominance in NOx
153,"Direct NO2 emissions from diesel vehicles",Grice et al.,2009,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2008.11.023,emissions,f-NO2 from diesel
154,"Particle number emissions from diesel vehicles",Giechaskiel et al.,2012,J Aerosol Sci,https://doi.org/10.1016/j.jaerosci.2012.02.005,emissions,Diesel particulates
155,"Selective catalytic reduction for NOx control",Forzatti,2001,Appl Catal A,https://doi.org/10.1016/S0926-860X(01)00832-8,emissions,SCR technology
156,"Lean NOx trap technology for diesel vehicles",Epling et al.,2004,Catal Rev,https://doi.org/10.1081/CR-200031932,emissions,LNT aftertreatment
157,"Dublin air quality management area",EPA,2019,EPA,https://www.epa.ie/,policy,AQMA designation Dublin
158,"Cork Metropolitan Area Transport Strategy",NTA,2020,NTA,https://www.nationaltransport.ie/,policy,Cork transport plans
159,"Transboundary air pollution in Ireland",EPA,2022,EPA,https://www.epa.ie/,irish,Cross-border AQ transport
160,"Peat burning emissions in Ireland",Huang et al.,2018,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2018.01.024,irish,Peat combustion NOx
161,"Wood burning stoves and air quality",Harrison et al.,2021,Environ Sci Technol,https://doi.org/10.1021/acs.est.0c05191,emissions,Domestic wood burning
162,"Heating degree days and residential energy",Isaac & van Vuuren,2009,Energy Policy,https://doi.org/10.1016/j.enpol.2008.09.063,heating,HDD-heating relationship
163,"Residential energy use in Ireland",SEAI,2024,SEAI,https://www.seai.ie/,irish,Irish heating fuel mix
164,"Copernicus Atmosphere Monitoring Service overview",Flemming et al.,2017,Q J R Meteorol Soc,https://doi.org/10.1002/qj.3174,data,CAMS system description
165,"TROPOMI: the solar backscatter instrument on board Sentinel-5P",Veefkind et al.,2012,Atmos Meas Tech,https://doi.org/10.5194/amt-5-1115-2012,satellite,TROPOMI instrument
166,"OMI NO2 for urban air quality",Lamsal et al.,2013,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2013.07.063,satellite,OMI urban NO2
167,"Ground-based remote sensing of NO2",Piters et al.,2012,Atmos Meas Tech,https://doi.org/10.5194/amt-5-715-2012,measurement,MAX-DOAS NO2
168,"Low-cost sensor networks for AQ monitoring",Castell et al.,2017,Environ Int,https://doi.org/10.1016/j.envint.2017.06.011,measurement,Sensor network approaches
169,"Air quality index systems worldwide",Plaia & Ruggieri,2011,Environ Monit Assess,https://doi.org/10.1007/s10661-010-1727-2,review,AQI comparison
170,"European Air Quality Portal",EEA,2024,EEA,https://www.eea.europa.eu/themes/air,data,EU air quality database
171,"NAEI UK emission inventory",NAEI,2024,NAEI,https://naei.beis.gov.uk/,data,UK emission inventory methodology
172,"EMEP emission reporting guidelines",UNECE,2019,UNECE,https://www.ceip.at/,methods,Emission inventory methods
173,"National emission projections Ireland",EPA,2024,EPA,https://www.epa.ie/,irish,Irish emission projections
174,"Climate of Ireland",Walsh,2012,Met Eireann,https://www.met.ie/climate-ireland/,irish,Irish climate reference
175,"Dublin urban heat island",Sweeney et al.,2003,Irish Geography,https://doi.org/10.1080/00750770309555807,irish,Dublin urban climate
176,"Atmospheric stability classes",Pasquill,1961,Met Magazine,https://doi.org/10.1002/qj.49708737402,meteorology,Stability classification
177,"Mixing height determination methods",Emeis et al.,2008,Meteorol Z,https://doi.org/10.1127/0941-2948/2008/0265,meteorology,BLH methods review
178,"Sea breeze effects on coastal air quality",Ding et al.,2004,Atmos Environ,https://doi.org/10.1016/j.atmosenv.2004.05.014,meteorology,Coastal AQ dynamics
179,"Dublin Bay sea breeze",Murphy et al.,2006,Int J Climatol,https://doi.org/10.1002/joc.1372,irish,Dublin sea breeze regime
180,"Katabatic flows and urban air pollution",Whiteman,2000,Am Meteorol Soc,https://doi.org/10.1007/978-0-306-48027-0,meteorology,Drainage flows
181,"PM2.5 and NO2 co-exposure health effects",Stafoggia et al.,2014,Environ Health Perspect,https://doi.org/10.1289/ehp.1306741,health,Multi-pollutant health
182,"Air pollution inequity in cities",Hajat et al.,2015,Environ Health Perspect,https://doi.org/10.1289/ehp.1408569,health,Environmental justice AQ
183,"Deprivation and air quality in Dublin",Goodman et al.,2021,Sci Total Environ,https://doi.org/10.1016/j.scitotenv.2021.145834,irish,Social equity AQ Dublin
184,"Traffic calming and air quality",Boulter et al.,2001,TRL,https://trl.co.uk/,policy,Traffic management AQ
185,"Congestion charging and air quality: Stockholm",Johansson et al.,2009,Transp Res D,https://doi.org/10.1016/j.trd.2008.12.005,policy,Congestion charging effects
186,"Zero emission zones in Dutch cities",Kok et al.,2011,Transp Res D,https://doi.org/10.1016/j.trd.2011.04.005,policy,ZEZ AQ benefits
187,"Modal shift from car to public transport and AQ",Woodcock et al.,2009,Lancet,https://doi.org/10.1016/S0140-6736(09)61714-1,policy,Transport mode shift health
188,"Active travel and air quality",Int Panis et al.,2010,Sci Total Environ,https://doi.org/10.1016/j.scitotenv.2010.04.003,policy,Cycling vs driving exposure
189,"Green infrastructure and urban air quality",Hewitt et al.,2020,Environ Pollut,https://doi.org/10.1016/j.envpol.2019.113719,policy,Urban trees and NO2
190,"NOx emission factors for HDV",Hausberger et al.,2009,SAE,https://doi.org/10.4271/2009-01-0946,emissions,Heavy duty vehicle NOx
191,"Shipping emission inventories for European ports",Dalsoren et al.,2009,Atmos Chem Phys,https://doi.org/10.5194/acp-9-1503-2009,emissions,Port-level ship emissions
