timestamp	exp_id	description	n_train	n_test	pos_rate_train	pos_rate_test	roc_auc	pr_auc	pr_auc_lift_over_base	brier	log_loss	top_k_precision	top_k_k	status
2026-04-14T15:21:44	E07-2021-12-01	Train-end 2021-12-01	36279	13560	0.0008	0.0101	0.7673	0.1837	18.178	0.0473	0.1835	0.0723	678	HDR
2026-04-14T15:21:44	E07-2022-06-01	Train-end 2022-06-01	39669	10170	0.0018	0.0093	0.7304	0.0439	4.701	0.3345	1.3235	0.0472	508	HDR
2026-04-14T15:21:44	E07-2022-12-01	Train-end 2022-12-01	43059	6780	0.0029	0.0063	0.7414	0.0889	14.017	0.0427	0.1467	0.0354	339	HDR
2026-04-14T15:21:45	E08	L2 + state fixed effects (49 states)	39669	10170	0.0018	0.0093	0.7478	0.0481	5.147	0.1257	0.7244	0.0630	508	HDR
2026-04-14T15:21:45	E09	L2 + log(ZHVI level)	39669	10170	0.0018	0.0093	0.7151	0.0279	2.986	0.3353	1.4231	0.0394	508	HDR
2026-04-14T15:21:45	E11	L2 + zhvi acceleration (3mo − 12mo)	39669	10170	0.0018	0.0093	0.7304	0.0439	4.700	0.3346	1.3238	0.0472	508	HDR
2026-04-14T15:21:45	E12	L2 top-100 metros by mean ZHVI	7075	1800	0.0011	0.0033	0.8148	0.0164	4.927	0.5417	3.6739	0.0222	90	HDR
2026-04-14T15:21:45	E13	L2 bottom-quartile size_rank metros	9768	2538	0.0040	0.0221	0.7162	0.0663	3.007	0.3854	1.7580	0.0873	126	HDR
2026-04-14T15:21:45	E15	Placebo: uniform-random fake-crash label	39669	10170	0.0035	0.0031	0.5308	0.0035	1.127	0.2405	0.6740	0.0000	508	PLACEBO
2026-04-14T15:21:45	E16	Lookalike placebo: top-PS non-crashed vs rest (-10% thresh)	95	9980	0.0000	0.0000	nan	0.0000	nan	nan	nan	nan	0	REVIEW
2026-04-14T15:21:45	E18	Naive: crash iff 12mo ret < -5%	0	10170	0.0000	0.0093	0.6380	0.0251	2.687	0.0561	0.7757	0.0591	508	NAIVE_BASELINE
2026-04-14T15:21:45	E19	Naive: crash iff mortgage delta > 2pp	0	10170	0.0000	0.0093	0.6302	0.0130	1.391	0.4952	6.8412	0.0000	508	NAIVE_BASELINE
2026-04-14T15:21:55	E20	Randomization inference (200 perms, label shuffle)	39669	10170	0.0018	0.0093	nan	0.0439	nan	nan	nan	nan	0	MANDATORY_M7
2026-04-14T15:27:47	RV-4	Single-feature baseline: score = -zhvi_12mo_ret	39669	10170	0.0000	0.0093	0.7753	0.0758	8.118	nan	nan	nan	0	REVIEW
2026-04-14T15:27:47	RV-3	Metro-collapsed test: 1 row/metro (n_pos=19, n_neg=565)	39669	584	0.0000	0.0325	0.6033	0.1126	3.460	nan	nan	0.1724	29	REVIEW
2026-04-14T15:27:47	RV-6	Population-weighted PR-AUC (inverse sqrt size_rank weights)	0	10170	0.0000	0.0093	0.7353	0.0419	4.487	nan	nan	nan	0	REVIEW
2026-04-14T15:27:50	RV-1	Metro-clustered block bootstrap PR-AUC CI = [0.0145, 0.1146]	0	10170	0.0000	0.0093	nan	0.0439	4.701	nan	nan	nan	0	REVIEW
2026-04-14T15:27:50	RV-7	L2 on within-month standardised features (national trend removed)	39669	10170	0.0000	0.0093	0.7827	0.0957	10.247	nan	nan	0.0571	508	REVIEW
2026-04-14T15:27:50	RV-5	LOMO: max PR-AUC drop from removing single metro = 39.4%	0	10170	0.0000	0.0093	nan	0.0439	0.394	nan	nan	nan	0	REVIEW
2026-04-14T15:28:00	RV-2	Metro-block-permutation null p-value = 0.4933 (150 perms)	0	10170	0.0000	0.0093	nan	0.0439	0.493	nan	nan	nan	0	REVIEW
