id,authors,year,title,venue,url,tag,key_finding_1sentence
23,Glaeser E; Nathanson C,2017,An extrapolative model of house price dynamics,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X17301459,behavioural,Small doses of extrapolation applied to rational forecasts generate bubble-like dynamics consistent with the 2000s.
24,Genesove D; Mayer C,2001,Loss aversion and seller behavior,Quarterly Journal of Economics,https://academic.oup.com/qje/article/116/4/1233/1904133,inventory,Sellers at nominal losses set higher list prices and accept longer time-on-market evidence of loss-aversion.
25,Piazzesi M; Schneider M; Stroebel J,2020,Segmented housing search,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.20141772,inventory,Search frictions in segmented local markets mean inventory and days-on-market carry substantial predictive content.
26,Stein J,1995,Prices and trading volume in the housing market,Quarterly Journal of Economics,https://academic.oup.com/qje/article/110/2/379/1861884,inventory,Down-payment constraints explain positive price-volume correlation falling prices lock owners in reducing liquidity.
27,Bayer P; Geissler C; Mangum K; Roberts J,2020,Speculators and middlemen,Review of Financial Studies,https://academic.oup.com/rfs/article/33/11/5212/5866997,speculation,Non-occupant buyers concentrated in short-term flipping activity amplified both the 2000s boom and subsequent bust.
28,Gao Z; Sockin M; Xiong W,2020,Economic consequences of housing speculation,Review of Financial Studies,https://academic.oup.com/rfs/article/33/11/5248/5866998,speculation,Metros with higher speculator shares in 2004-06 saw larger post-crisis employment declines.
29,Glaeser E; Gottlieb J; Gyourko J,2013,Can cheap credit explain the housing boom?,In Housing and the Financial Crisis NBER,https://www.nber.org/chapters/c12624,interest_rates,Standard interest-rate channel cannot explain more than one-quarter of observed price appreciation during the boom.
30,Bernanke B; Kuttner K,2005,What explains the stock market's reaction to Federal Reserve policy,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2005.00760.x,interest_rates,Surprise 25bp cut adds roughly 1 percent to broad equities and less to housing-sensitive assets.
31,Foote C; Gerardi K; Willen P,2012,Why did so many people make so many ex post bad decisions?,Public Policy Discussion Paper Boston Fed,https://www.bostonfed.org/publications/public-policy-discussion-paper/2012/why-did-so-many-people-make-so-many-ex-post-bad-decisions-the-causes-of-the-foreclosure-crisis.aspx,behavioural,Argues no single group foresaw the crash naive price extrapolation was near-universal among all market participants.
32,Foote C; Gerardi K; Willen P,2008,Negative equity and foreclosure,Journal of Urban Economics,https://www.sciencedirect.com/science/article/abs/pii/S0094119008000065,credit_supply,Negative equity is a necessary but not sufficient condition for foreclosure in 1990s Massachusetts data.
33,Fernald J,2015,Productivity and potential output before during and after the Great Recession,NBER Macroeconomics Annual,https://www.nber.org/chapters/c13428,macro,Productivity growth slowed before 2007 suggesting some housing overvaluation was relative to a weakening trend.
34,Kaminsky G; Reinhart C,1999,The twin crises,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.89.3.473,early_warning_null,Classic leading-indicator framework showing cross-country crisis prediction is noisy out-of-sample.
35,Drehmann M; Juselius M,2014,Evaluating early warning indicators,International Journal of Forecasting,https://www.sciencedirect.com/science/article/abs/pii/S0169207014000375,early_warning,Credit-to-GDP gap outperforms alternatives for predicting banking crises at 3-5 year horizons.
36,Schularick M; Taylor A,2012,Credit booms gone bust,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.102.2.1029,early_warning_null,140 years of data show credit growth predicts crises weakly and with frequent false alarms.
37,Gourinchas P; Obstfeld M,2012,Stories of the twentieth century for the twenty-first,American Economic Journal Macroeconomics,https://www.aeaweb.org/articles?id=10.1257/mac.4.1.226,early_warning_null,Crisis early-warning models calibrated pre-2007 performed poorly on the 2008 event itself.
38,Reinhart C; Rogoff K,2009,This Time is Different,Princeton University Press,https://press.princeton.edu/books/paperback/9780691152646/this-time-is-different,textbook_early_warning,Catalogs eight centuries of financial crises and argues each generation re-invents the fallacy that it is immune.
39,Ghysels E; Plazzi A; Valkanov R; Torous W,2013,Forecasting real estate prices,Handbook of Economic Forecasting,https://www.sciencedirect.com/science/article/pii/B9780444536839000094,methodology_ml,Review of real-estate forecasting finds fundamental models beat time-series at long horizons but not short ones.
40,Park B; Bae J,2015,Using machine learning algorithms for housing price prediction,Expert Systems with Applications,https://www.sciencedirect.com/science/article/abs/pii/S0957417414007325,methodology_ml,Random forests outperform linear models on Fairfax County transaction data but generalise poorly out of sample.
41,Bhutta N,2015,The ins and outs of mortgage debt during the housing boom and bust,Journal of Monetary Economics,https://www.sciencedirect.com/science/article/abs/pii/S0304393215000550,credit_supply,Much of the boom-era debt increase was extensive-margin new homebuyer debt not HELOCs by existing owners.
42,Adelino M; Schoar A; Severino F,2016,Loan originations and defaults in the mortgage crisis,Review of Financial Studies,https://academic.oup.com/rfs/article/29/7/1635/1753585,credit_supply,Credit growth was spread across the income distribution contradicting Mian-Sufi subprime-only narrative.
43,Adelino M; Schoar A; Severino F,2018,The role of housing and mortgage markets in the financial crisis,Annual Review of Financial Economics,https://www.annualreviews.org/doi/10.1146/annurev-financial-110217-023036,credit_supply,Reviews evidence that price expectations more than credit-supply shocks drove the boom.
44,DiMaggio M; Kermani A,2017,Credit-induced boom and bust,Review of Financial Studies,https://academic.oup.com/rfs/article/30/11/3711/3861366,credit_supply,Counties more exposed to 2004 national-bank preemption saw larger credit expansion and deeper busts.
45,Heilbron A; Sastry P,2023,The Post-Pandemic Housing Market,FEDS Notes,https://www.federalreserve.gov/econres/notes/feds-notes/the-post-pandemic-housing-market-20230728.htm,cycle_2022,Documents 2020-22 run-up concentrated in Sun Belt and remote-work-attractive metros.
46,Ramani A; Bloom N,2021,The donut effect of COVID-19 on cities,NBER Working Paper 28876,https://www.nber.org/papers/w28876,cycle_2022,Remote work caused populations and prices to move from urban cores to peripheries.
47,Liu S; Su Y,2021,The impact of the COVID-19 pandemic on the demand for density,Economics Letters,https://www.sciencedirect.com/science/article/pii/S0165176521002305,cycle_2022,COVID compressed the urban density premium in rents and prices across US metros.
48,Gupta A; Mittal V; Peeters J; Van Nieuwerburgh S,2022,Flattening the curve,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X22000629,cycle_2022,Remote work produced a persistent flattening of the house-price gradient in US cities.
49,Mondragon J; Wieland J,2022,Housing demand and remote work,NBER Working Paper 30041,https://www.nber.org/papers/w30041,cycle_2022,Remote work explains roughly half of the 2020-21 US house-price increase.
50,Haslag P; Weagley D,2023,From L.A. to Boise,Journal of Financial and Quantitative Analysis,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis,cycle_2022,In-migration from expensive coastal metros drove destination-metro price increases in 2020-21.
51,Rosen K; Clancy M; Ponchione H,2023,Housing Affordability Crisis 2.0,Fisher Center Working Paper UC Berkeley,https://realestate.berkeley.edu/research/research-publications/,cycle_2022,Affordability deteriorated faster in 2021-22 than at any point in the Case-Shiller record.
52,Favilukis J; Van Nieuwerburgh S,2021,Out-of-town home buyers and city welfare,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/jofi.13057,cycle_2022,Out-of-town buyers raise prices in destination metros with welfare consequences for incumbents.
53,Howard G; Liebersohn J,2021,Why is the rent so darn high,Journal of Urban Economics,https://www.sciencedirect.com/science/article/pii/S0094119021000589,cycle_2022,Rent increases 2019-21 concentrated in metros gaining net migration from expensive coastal areas.
54,Dettling L; Kearney M,2014,House prices and birth rates,Journal of Public Economics,https://www.sciencedirect.com/science/article/abs/pii/S0047272714000188,demographics,Price changes causally shift fertility relevant for long-run demand projections.
55,Chodorow-Reich G; Nenov P; Simsek A,2021,Stock market wealth and the real economy,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.20200208,macro,Stock-market-driven wealth effects spill over into housing demand via home-equity channels.
56,Campbell J; Cocco J,2007,How do house prices affect consumption,Journal of Monetary Economics,https://www.sciencedirect.com/science/article/abs/pii/S0304393207000542,macro,House-price wealth effects on non-durable consumption are on the order of 6-9 cents per dollar.
57,Case K; Quigley J; Shiller R,2013,Wealth effects revisited,Critical Finance Review,https://www.nowpublishers.com/article/Details/CFR-0001,macro,Wealth effects from housing are roughly twice those from equities and asymmetric in sign.
58,Mian A; Rao K; Sufi A,2013,Household balance sheets consumption and the economic slump,Quarterly Journal of Economics,https://academic.oup.com/qje/article/128/4/1687/1851524,credit_supply,Counties with larger housing-wealth declines 2006-09 experienced larger consumption drops.
59,Kaplan G; Mitman K; Violante G,2020,The housing boom and bust,Journal of Political Economy,https://www.journals.uchicago.edu/doi/10.1086/707495,credit_supply,Structural HANK model attributes roughly half of the boom to shifts in expectations about future prices.
60,Landvoigt T; Piazzesi M; Schneider M,2015,The housing market(s) of San Diego,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.20120851,credit_supply,Cheaper credit disproportionately boosted the low end of San Diego's distribution pulling up the entire market.
61,Chinco A; Mayer C,2016,Misinformed speculators and mispricing in the housing market,Review of Financial Studies,https://academic.oup.com/rfs/article/29/2/486/1841222,speculation,Out-of-town second-home buyers pushed up prices in Las Vegas Phoenix and Miami during the bubble.
62,Haughwout A; Lee D; Tracy J; van der Klaauw W,2011,Real estate investors the leverage cycle and the housing market crisis,Federal Reserve Bank of New York Staff Reports,https://www.newyorkfed.org/research/staff_reports/sr514,speculation,Investor purchase share doubled 2005-06 and investors defaulted at twice homeowner rates.
63,Chan S; Gedal M; Been V; Haughwout A,2013,The role of neighborhood characteristics in mortgage default risk,Journal of Housing Economics,https://www.sciencedirect.com/science/article/abs/pii/S1051137713000302,credit_supply,Neighborhood price dynamics and concentration of subprime lending are stronger default predictors than borrower attributes.
64,Corbae D; Quintin E,2015,Leverage and the foreclosure crisis,Journal of Political Economy,https://www.journals.uchicago.edu/doi/10.1086/681575,credit_supply,Loose down-payment standards account for more than half of the foreclosure crisis in a quantitative model.
65,Guren A,2018,House price momentum and strategic complementarity,Journal of Political Economy,https://www.journals.uchicago.edu/doi/10.1086/694445,momentum,Strategic pricing complementarities among sellers explain persistent short-run momentum in house prices.
66,Head A; Lloyd-Ellis H; Sun H,2014,Search liquidity and the dynamics of house prices and construction,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.104.4.1172,inventory,Search frictions generate slow-moving inventory dynamics that lead prices by quarters.
67,Ngai L; Sheedy K,2020,The decision to move house and aggregate housing-market dynamics,Journal of the European Economic Association,https://academic.oup.com/jeea/article/18/5/2487/5585541,inventory,Moving decisions create endogenous listing dynamics that correlate strongly with price cycles.
68,Giglio S; Maggiori M; Stroebel J,2015,Very long-run discount rates,Quarterly Journal of Economics,https://academic.oup.com/qje/article/130/1/1/2337729,price_fundamentals,Leaseholds vs freeholds reveal 2.6 percent real discount rate for housing cash flows key for valuation.
69,Sinai T; Souleles N,2005,Owner-occupied housing as a hedge against rent risk,Quarterly Journal of Economics,https://academic.oup.com/qje/article/120/2/763/1933918,price_fundamentals,Rent-risk hedging rationalises high price-to-rent ratios in volatile-rent metros.
70,Campbell S; Davis M; Gallin J; Martin R,2009,What moves housing markets,Journal of Urban Economics,https://www.sciencedirect.com/science/article/abs/pii/S0094119009000345,price_fundamentals,Rent growth and the required return account for most price variation at low frequencies.
71,Cocco J,2005,Portfolio choice in the presence of housing,Review of Financial Studies,https://academic.oup.com/rfs/article/18/2/535/1591174,macro,House-price risk crowds out stock-market participation by liquidity-constrained households.
72,Flavin M; Yamashita T,2002,Owner-occupied housing and the composition of the household portfolio,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/000282802762024502,macro,House-price variance dominates household portfolio risk for typical homeowners.
73,Poterba J,1984,Tax subsidies to owner-occupied housing,Quarterly Journal of Economics,https://academic.oup.com/qje/article/99/4/729/1883024,price_fundamentals,User-cost framework that later underpins Himmelberg-Mayer-Sinai and most affordability analyses.
74,Han L,2013,Understanding the puzzling risk-return relationship for housing,Review of Financial Studies,https://academic.oup.com/rfs/article/26/4/877/1574063,price_fundamentals,High-variance metros exhibit lower ex-ante returns because of hedging demand.
75,Piazzesi M; Schneider M,2009,Momentum traders in the housing market,American Economic Review P&P,https://www.aeaweb.org/articles?id=10.1257/aer.99.2.406,inventory,Small share of momentum traders suffices to generate price overshoot and subsequent correction.
76,Burnside C; Eichenbaum M; Rebelo S,2016,Understanding booms and busts in housing markets,Journal of Political Economy,https://www.journals.uchicago.edu/doi/10.1086/686732,behavioural,Social-epidemic model of belief contagion fits 2000s boom-bust without fundamental shocks.
77,Malmendier U; Nagel S,2011,Depression babies,Quarterly Journal of Economics,https://academic.oup.com/qje/article/126/1/373/1903797,behavioural,Lifetime macro experience shapes risk-taking relevant for cohort differences in housing-market entry.
78,Kuchler T; Zafar B,2019,Personal experiences and expectations about aggregate outcomes,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/jofi.12819,behavioural,Local price experience distorts expectations of national price dynamics.
79,Bailey M; Cao R; Kuchler T; Stroebel J,2018,The economic effects of social networks,Journal of Political Economy,https://www.journals.uchicago.edu/doi/10.1086/700073,behavioural,Facebook-based social-network price exposure causally shifts homebuying decisions.
80,Bailey M; Dávila E; Kuchler T; Stroebel J,2019,House price beliefs and mortgage leverage choice,Review of Economic Studies,https://academic.oup.com/restud/article/86/6/2403/5373439,credit_supply,Buyers with more optimistic price beliefs take larger mortgages consistent with extrapolation.
81,Armona L; Fuster A; Zafar B,2019,Home price expectations and behaviour,Review of Economic Studies,https://academic.oup.com/restud/article/86/4/1371/5109480,behavioural,Price-expectation surveys predict subsequent individual housing decisions even controlling for fundamentals.
82,Case K; Shiller R; Thompson A,2012,What have they been thinking,Brookings Papers on Economic Activity,https://www.brookings.edu/articles/what-have-they-been-thinking-homebuyer-behavior-in-hot-and-cold-markets/,behavioural,Homebuyer survey shows extrapolative expectations before and muted expectations after the 2006 peak.
83,Adam K; Marcet A; Beutel J,2017,Stock price booms and expected capital gains,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.20140205,behavioural,Internal-rationality model with subjective expectations generates boom-bust without irrationality.
84,Brunnermeier M; Julliard C,2008,Money illusion and housing frictions,Review of Financial Studies,https://academic.oup.com/rfs/article/21/1/135/1569175,behavioural,Money-illusion effects drive house-price overreaction to inflation changes.
85,Piazzesi M; Schneider M,2016,Housing and macroeconomics,Handbook of Macroeconomics,https://www.sciencedirect.com/science/article/pii/S1574004816300106,textbook_macro,Comprehensive survey of housing-macro models and their empirical performance.
86,Davis M; Van Nieuwerburgh S,2015,Housing credit and the macroeconomy,Handbook of Regional and Urban Economics,https://www.sciencedirect.com/science/article/pii/B9780444595317000127,review,Reviews housing-credit-macro linkages and identification strategies used in the boom-bust literature.
87,Greenwald D; Guren A,2024,Do credit conditions move house prices,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.20211481,credit_supply,Credit conditions account for roughly half of the 2000-06 boom in a structural model.
88,Kermani A,2012,Cheap credit collateral and the boom-bust cycle,Working Paper UC Berkeley,https://www.haas.berkeley.edu/wp-content/uploads/Kermani_Cheap_Credit.pdf,credit_supply,Collateral feedback amplifies credit-supply shocks into sustained boom-bust cycles.
89,Justiniano A; Primiceri G; Tambalotti A,2019,Credit supply and the housing boom,Journal of Political Economy,https://www.journals.uchicago.edu/doi/10.1086/701730,credit_supply,Foreign-saving-induced credit-supply shocks dominate in a DSGE fit to US housing data.
90,Khandani A; Lo A; Merton R,2013,Systemic risk and the refinancing ratchet effect,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X13000366,systemic_risk,Cash-out refinancing ratchets household leverage upward amplifying systemic fragility.
91,Acharya V; Richardson M,2009,Restoring Financial Stability,Wiley,https://www.wiley.com/en-us/Restoring+Financial+Stability,textbook_systemic,Textbook collection on causes of the 2008 crisis including systemic housing-finance failures.
92,Gerardi K; Foote C; Willen P,2010,Reasonable people did disagree,FRB Boston Public Policy Discussion Paper,https://www.bostonfed.org/publications/public-policy-discussion-paper/2010/reasonable-people-did-disagree-optimism-and-pessimism-about-the-us-housing-market-before-the-crash.aspx,behavioural,Real-time research shows professional economists were split on the bubble-or-not question through 2006.
93,Flavin M; Nakagawa S,2008,A model of housing in the presence of adjustment costs,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.98.1.474,behavioural,Adjustment costs produce infrequent reoptimisation explaining smooth but occasionally large price adjustments.
94,Piazzesi M; Schneider M; Tuzel S,2007,Housing consumption and asset pricing,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X06001826,price_fundamentals,Housing share of consumption is a pricing factor for equities and housing returns alike.
95,Nakamura E; Steinsson J,2014,Fiscal stimulus in a monetary union,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.104.3.753,macro,Cross-state variation used in related housing studies for identifying regional multipliers.
96,Chaney T; Sraer D; Thesmar D,2012,The collateral channel,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/aer.102.6.2381,credit_supply,Firm-level real-estate collateral amplifies local investment responses to price shocks.
97,Cvijanovic D,2014,Real estate prices and firm capital structure,Review of Financial Studies,https://academic.oup.com/rfs/article/27/9/2690/1603533,credit_supply,Corporate leverage rises with local real-estate prices via the collateral channel.
98,Loutskina E; Strahan P,2015,Financial integration housing and economic volatility,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X15000197,credit_supply,Financial integration increased US local housing volatility by loosening the marginal-cost-of-funds constraint.
99,Landvoigt T,2017,Housing demand during the boom,Journal of Money Credit and Banking,https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12432,credit_supply,Loosened credit standards more than interest-rate declines drove the 2000s demand shift.
100,Greenwood R; Hanson S; Shleifer A; Sørensen J,2022,Predictable financial crises,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/jofi.13090,early_warning,Crisis risk is predictably elevated when credit and asset prices boom jointly 40 percent conditional hit rate.
101,Jordà Ò; Schularick M; Taylor A,2015,Leveraged bubbles,Journal of Monetary Economics,https://www.sciencedirect.com/science/article/pii/S0304393215000537,early_warning,Asset-price bubbles are far more damaging when accompanied by a credit boom than when not.
102,Jordà Ò; Schularick M; Taylor A,2016,The great mortgaging housing finance crises and business cycles,Economic Policy,https://academic.oup.com/economicpolicy/article/31/85/107/2918426,credit_supply,Mortgage-credit growth is the single best predictor of financial crises in a long cross-country panel.
103,Cerutti E; Claessens S; Laeven L,2017,The use and effectiveness of macroprudential policies,Journal of Financial Stability,https://www.sciencedirect.com/science/article/pii/S1572308915001163,macro,Macroprudential tools modestly reduce credit growth and house-price inflation cross-country.
104,Laufer S,2018,Equity extraction and mortgage default,Review of Economic Dynamics,https://www.sciencedirect.com/science/article/pii/S1094202517301023,credit_supply,Equity extraction in 2004-06 strongly predicted 2008-09 default within metros.
105,Charles K; Hurst E; Notowidigdo M,2018,Housing booms and busts labor market opportunities,Journal of Political Economy,https://www.journals.uchicago.edu/doi/10.1086/697614,macro,Housing booms reduce college enrolment via low-skill construction wages reversed in the bust.
106,Mian A; Sufi A,2018,Finance and business cycles,Journal of Economic Perspectives,https://www.aeaweb.org/articles?id=10.1257/jep.32.3.31,credit_supply,Household-debt booms reliably precede recessions via a consumption-demand channel.
107,Kiyotaki N; Moore J,1997,Credit cycles,Journal of Political Economy,https://www.journals.uchicago.edu/doi/10.1086/262072,theory,Collateral feedback generates persistent credit cycles a foundational theoretical mechanism.
108,Bernanke B; Gertler M; Gilchrist S,1999,The financial accelerator in a quantitative business cycle framework,Handbook of Macroeconomics,https://www.sciencedirect.com/science/article/pii/S1574004899100343,theory,Financial-accelerator mechanism by which price declines amplify real-economy downturns.
109,Iacoviello M,2005,House prices borrowing constraints and monetary policy in the business cycle,American Economic Review,https://www.aeaweb.org/articles?id=10.1257/0002828054201477,theory,DSGE model with housing collateral widely used as a framework for modern housing-macro analyses.
110,Iacoviello M; Neri S,2010,Housing market spillovers,American Economic Journal Macroeconomics,https://www.aeaweb.org/articles?id=10.1257/mac.2.2.125,theory,Quantifies residential-investment and consumption spillovers from housing shocks.
111,Corbae D; Quintin E,2019,Mortgage innovation and the foreclosure crisis,NBER Working Paper,https://www.nber.org/papers/w25684,credit_supply,New mortgage products explain most of the foreclosure spike in structural model.
112,Keys B; Piskorski T; Seru A; Vig V,2013,Mortgage financing in the housing boom and bust,In Housing and the Financial Crisis NBER,https://www.nber.org/chapters/c12620,credit_supply,Securitisation lowered screening incentives and expanded credit at lower-quality margin.
113,Keys B; Mukherjee T; Seru A; Vig V,2010,Did securitization lead to lax screening,Quarterly Journal of Economics,https://academic.oup.com/qje/article/125/1/307/1881266,credit_supply,Causal evidence that securitisation reduced lender screening at the FICO-620 discontinuity.
114,Nadauld T; Sherlund S,2013,The impact of securitization on the expansion of subprime credit,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X13000974,credit_supply,Subprime securitisation expanded non-agency mortgage supply and share of risky originations.
115,Agarwal S; Amromin G; Ben-David I; Chomsisengphet S; Evanoff D,2014,Predatory lending and the subprime crisis,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X14001019,credit_supply,HUD-predatory-lending law effectively reduced high-risk originations with measurable ex-post default declines.
116,Agarwal S; Chang Y; Yavas A,2012,Adverse selection in mortgage securitization,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X11002893,credit_supply,Evidence that securitising banks retained higher-quality loans consistent with adverse selection.
117,Piskorski T; Seru A,2021,Mortgage market design,Annual Review of Financial Economics,https://www.annualreviews.org/doi/10.1146/annurev-financial-111620-023036,review,Reviews US mortgage market design and its fragility during housing downturns.
118,Palmer C,2015,Why did so many subprime borrowers default during the crisis,Working Paper MIT,https://mitsloan.mit.edu/shared/ods/documents/?PublicationDocumentID=4196,credit_supply,House-price declines not loan quality account for majority of increased default.
119,Gyourko J; Mayer C; Sinai T,2013,Superstar cities,American Economic Journal Economic Policy,https://www.aeaweb.org/articles?id=10.1257/pol.5.4.167,supply_elasticity,Inelastic-supply high-amenity metros show persistently faster price growth than the median metro.
120,Hilber C; Vermeulen W,2016,The impact of supply constraints on house prices in England,Economic Journal,https://academic.oup.com/ej/article/126/591/358/5077824,supply_elasticity,English price response to income shocks is 3x larger in most-regulated than least-regulated markets.
121,Molloy R; Nathanson C; Paciorek A,2022,Housing supply and affordability,Journal of Urban Economics,https://www.sciencedirect.com/science/article/pii/S0094119021000747,supply_elasticity,Reexamines Saiz elasticities and finds evidence they have become more inelastic over time.
122,Baum-Snow N; Han L,2024,The microgeography of housing supply,Journal of Political Economy,https://www.journals.uchicago.edu/doi/10.1086/728978,supply_elasticity,Tract-level supply elasticities vary dramatically within metros complicating metro-level elasticity claims.
