id,authors,year,title,journal,theme,relevance,notes
15,"Plait, P.",2019,"SpaceX Starlink satellites cause UFO reports",SyFy Wire / Bad Astronomy,starlink,medium,"Commentary on Starlink train visibility and misidentification"
16,"Hradek, N.",2023,"Starlink Satellites do not Cause UFO Reports",Medium analysis,starlink,medium,"Counter-argument; NUFORC report counts did not spike post-Starlink"
17,"Mack, J.",1994,"Abduction: Human Encounters with Aliens",Scribner,psychology,low,"Psychological perspective on abduction narratives"
18,"Persinger, M. A.",1985,"Geophysical variables and behavior: intense paranormal experiences occur during days of quiet geomagnetic activity",Perceptual & Motor Skills,geophysical,medium,"Tectonic strain theory; geomagnetic correlation with sightings"
19,"Dewan, E. M.",1970,"Eyewitness Reports of UFOs: Problems in Identifying Unknowns",Science,perception,high,"Perceptual psychology of UFO observation; misidentification taxonomy"
20,"Schofield, B.",2023,"Detecting and Visualizing Observation Hot-Spots in Massive Volunteer-Contributed Geographic Data",ISPRS Int. J. Geo-Information,citizen_science_bias,high,"GPU-KDE on citizen science data; spatial bias detection"
21,"Bonney, R. et al.",2009,"Citizen Science: A Developing Tool for Expanding Science Knowledge and Scientific Literacy",BioScience,citizen_science,high,"Framework for citizen science data quality and bias"
22,"Dickinson, J. L. et al.",2010,"Citizen Science as an Ecological Research Tool: Challenges and Benefits",Annual Rev. Ecology,citizen_science,high,"Spatial and temporal biases in volunteer-generated data"
23,"Bird, T. J. et al.",2014,"Statistical solutions for error and bias in global citizen science datasets",Biological Conservation,citizen_science_bias,high,"Statistical corrections for observer effort bias"
24,"Blei, D. M. et al.",2003,"Latent Dirichlet Allocation",JMLR,NLP_methods,high,"LDA topic model; foundational for text analysis"
25,"Mikolov, T. et al.",2013,"Distributed representations of words and phrases",NeurIPS,NLP_methods,medium,"Word2Vec; semantic similarity in text"
26,"Devlin, J. et al.",2019,"BERT: Pre-training of Deep Bidirectional Transformers",NAACL,NLP_methods,medium,"Contextual embeddings for text classification"
27,"Pedregosa, F. et al.",2011,"Scikit-learn: Machine Learning in Python",JMLR,ML_tools,high,"sklearn library used for all modeling"
28,"Breiman, L.",2001,"Random Forests",Machine Learning,ML_methods,high,"Random forest classifier/regressor"
29,"Chen, T. & Guestrin, C.",2016,"XGBoost: A Scalable Tree Boosting System",KDD,ML_methods,high,"Gradient boosted trees"
30,"Cleveland, R. B. et al.",1990,"STL: A Seasonal-Trend Decomposition",J. Official Statistics,time_series,high,"Seasonal decomposition of time series by Loess"
31,"Box, G. E. P. & Jenkins, G. M.",1970,"Time Series Analysis: Forecasting and Control",Holden-Day,time_series,high,"ARIMA methodology"
32,"Hyndman, R. J. & Athanasopoulos, G.",2018,"Forecasting: Principles and Practice (2nd ed.)",OTexts,time_series,high,"Modern time series decomposition textbook"
33,"Cameron, A. C. & Trivedi, P. K.",2013,"Regression Analysis of Count Data (2nd ed.)",Cambridge UP,count_regression,high,"Poisson/NB regression textbook"
34,"Hilbe, J. M.",2014,"Modeling Count Data",Cambridge UP,count_regression,high,"Count data regression methods"
35,"Agresti, A.",2013,"Categorical Data Analysis (3rd ed.)",Wiley,statistics,high,"Logistic regression; categorical outcome modeling"
36,"Hosmer, D. W. et al.",2013,"Applied Logistic Regression (3rd ed.)",Wiley,statistics,high,"Logistic regression applied methods"
37,"US Census Bureau",2020,"Decennial Census P1 Total Population by State",census.gov,population,high,"Population denominators for per-capita rates"
38,"NUFORC",2024,"NUFORC Data Bank",nuforc.org,data_source,high,"Primary data source; online reporting since 1974"
39,"SpaceX",2024,"Starlink Launch Manifest",spacex.com,starlink,high,"Launch dates for all Starlink missions 2019-2024"
40,"FAA",2024,"Airport Master Records",faa.gov,infrastructure,medium,"Major US airport locations for proximity analysis"
41,"DoD",2024,"Major Military Installations List",defense.gov,infrastructure,medium,"US military base locations"
42,"AARO",2024,"Historical Record Report Vol. I",defense.gov,government_study,high,"All-domain Anomaly Resolution Office; official DoD UAP investigation"
43,"Kean, L.",2010,"UFOs: Generals Pilots and Government Officials Go on the Record",Harmony Books,journalism,medium,"Credible witness accounts; policy implications"
44,"Ruppelt, E. J.",1956,"The Report on Unidentified Flying Objects",Doubleday,government_study,high,"Project Blue Book director's account; systematic investigation"
45,"McDonald, J. E.",1968,"UFOs: An International Scientific Problem",speech to Canadian Aeronautics & Space Institute,scientific_review,medium,"Argued for serious scientific study of UFOs"
46,"Sturrock, P. A.",1999,"The UFO Enigma: A New Review of the Physical Evidence",Warner Books,scientific_review,medium,"Stanford physicist's analysis; physical trace evidence"
47,"Sturrock, P. A.",1994,"Report on a Survey of the Membership of the American Astronomical Society Concerning the UFO Problem",J. Scientific Exploration,scientific_review,high,"5% of astronomers reported unexplained sightings"
48,"National Academies",2022,"Unidentified Aerial Phenomena: Findings and Recommendations",NAS Workshop Proceedings,government_study,medium,"NASA-commissioned workshop on UAP data standards"
49,"Printy, T.",2019,"SUNlite: A periodic publication devoted to examining claims",SUNlite,skeptical_analysis,medium,"Systematic debunking of NUFORC reports"
50,"Sheaffer, R.",2023,"The Debunker's Domain",skeptical_analysis,skeptical_analysis,medium,"Systematic analysis of UFO misidentifications"
51,"Tversky, A. & Kahneman, D.",1974,"Judgment under Uncertainty: Heuristics and Biases",Science,cognitive_bias,high,"Anchoring; availability heuristic; representative heuristic"
52,"Kahneman, D.",2011,"Thinking Fast and Slow",Farrar Straus Giroux,cognitive_bias,high,"System 1/2 thinking; relevance to witness perception"
53,"Nickell, J.",2012,"The Science of UFOs",Skeptical Inquirer,skeptical_analysis,medium,"Catalog of common misidentifications with examples"
54,"Klass, P. J.",1983,"UFOs: The Public Deceived",Prometheus Books,skeptical_analysis,medium,"Systematic analysis of major UFO cases as misidentifications"
55,"Menzel, D. H. & Boyd, L. G.",1963,"The World of Flying Saucers",Doubleday,skeptical_analysis,medium,"Atmospheric optical phenomena explanations"
56,"Jung, C. G.",1958,"Flying Saucers: A Modern Myth of Things Seen in the Skies",Harcourt Brace,psychology,medium,"Collective unconscious; archetypal projection theory"
57,"Bartholomew, R. E. & Howard, G. S.",1998,"UFOs and Alien Contact: Two Centuries of Mystery",Prometheus,psychology,medium,"Social-cultural drivers of UFO reporting waves"
58,"Tobler, W. R.",1970,"A computer movie simulating urban growth",Economic Geography,spatial_theory,high,"First law of geography; everything is related to everything else"
59,"Anselin, L.",1995,"Local indicators of spatial association — LISA",Geographical Analysis,spatial_methods,high,"Local Moran's I; spatial autocorrelation"
60,"Moran, P. A. P.",1950,"Notes on continuous stochastic phenomena",Biometrika,spatial_methods,high,"Global Moran's I statistic"
61,"Ripley, B. D.",1976,"The second-order analysis of stationary point processes",J. Applied Probability,spatial_methods,medium,"K-function for point pattern analysis"
62,"Diggle, P. J.",2003,"Statistical Analysis of Spatial and Spatio-Temporal Point Patterns (2nd ed.)",Arnold,spatial_methods,high,"Textbook on spatial point processes"
63,"Cressie, N.",1993,"Statistics for Spatial Data (revised ed.)",Wiley,spatial_methods,high,"Geostatistics textbook; kriging; variograms"
64,"Waller, L. A. & Gotway, C. A.",2004,"Applied Spatial Statistics for Public Health Data",Wiley,spatial_epidemiology,high,"Spatial analysis methods for health/event data"
65,"Lawson, A. B.",2018,"Bayesian Disease Mapping (3rd ed.)",CRC Press,spatial_epidemiology,medium,"Hierarchical Bayesian spatial models"
66,"Besag, J. et al.",1991,"Bayesian image restoration with two applications in spatial statistics",Annals Inst. Stat. Math.,spatial_methods,medium,"BYM model; intrinsic conditional autoregressive"
67,"Sullivan, W.",1964,"Air Force Order on 'Saucers' Cited",New York Times,media,medium,"Project Blue Book press coverage"
68,"Sagan, C.",1996,"The Demon-Haunted World: Science as a Candle in the Dark",Random House,scientific_method,high,"Scientific skepticism; extraordinary claims; baloney detection kit"
69,"Sheaffer, R.",1998,"UFO Sightings: The Evidence",Prometheus Books,skeptical_analysis,medium,"Comprehensive analysis of UFO evidence quality"
70,"Palmer, J.",1979,"A Community Mail Survey of Psychic Experiences",JASPR,sociology,medium,"Prevalence of anomalous experience reporting in general population"
71,"Westrum, R.",1977,"Social Intelligence about Anomalies: The Case of UFOs",Social Studies of Science,sociology,high,"Sociology of anomalous event reporting; reporting channels"
72,"Westrum, R.",1982,"Social Intelligence about Hidden Events",Knowledge,sociology,high,"Hidden event reporting dynamics; detection vs reporting"
73,"Campbell, S.",1994,"The UFO Mystery Solved",Explicit Books,misidentification,medium,"Systematic misidentification catalog"
74,"Hendry, A.",1979,"The UFO Handbook",Doubleday,methodology,high,"CUFOS investigator manual; systematic classification of 1307 cases"
75,"Haines, R. F.",2002,"Aviation Safety in America — A Previously Neglected Factor",NARCAP Technical Report,aviation,medium,"Pilot UFO sighting reports; aviation safety implications"
76,"Poher, C. & Vallée, J.",1975,"Basic Patterns in UFO Observations",AIAA paper 75-42,patterns,high,"Statistical patterns in UFO databases; time-of-day; seasonality"
77,"Saunders, D. R. & Harkins, R.",1968,"UFOs? Yes!",Signet,database_analysis,medium,"Early statistical analysis of Blue Book data"
78,"Webb, D.",1976,"1973 — Year of the Humanoids",CUFOS,wave_analysis,medium,"Analysis of 1973 sighting wave; temporal clustering"
79,"Bullard, T. E.",1982,"Mysteries in the Eye of the Beholder: UFOs and Their Correlates as a Folkloric Theme Past and Present",PhD dissertation Indiana U.,folklore,medium,"Folklore analysis of UFO narratives"
80,"Rutkowski, C.",2010,"A World of UFOs",Dundurn Press,database_analysis,medium,"Canadian UFO survey methodology; reporting trends"
81,"Davenport, P.",2024,"NUFORC Annual Reports",nuforc.org,data_source,high,"NUFORC director commentary on annual trends"
82,"NASA",2023,"NASA Independent Study on UAP",NASA Technical Report,government_study,high,"Recommended shift to UAP terminology; data standardization"
83,"ODNI",2021,"Preliminary Assessment: Unidentified Aerial Phenomena",Office Director National Intelligence,government_study,high,"144 UAP reports from military 2004-2021"
84,"ODNI",2023,"Annual Report on Unidentified Anomalous Phenomena 2023",ODNI,government_study,medium,"510 new UAP reports; most balloon/drone/clutter"
85,"Teodorani, M.",2004,"A long-term scientific survey of the Hessdalen phenomenon",J. Scientific Exploration,anomalous_lights,medium,"Systematic monitoring of recurrent anomalous lights"
86,"Strand, E. P.",2014,"The Hessdalen phenomenon",Proc. SPIE 9232,anomalous_lights,low,"Spectroscopic analysis of Hessdalen lights"
87,"Efron, B. & Tibshirani, R.",1993,"An Introduction to the Bootstrap",Chapman & Hall,statistics,high,"Bootstrap confidence intervals"
88,"Hastie, T. et al.",2009,"The Elements of Statistical Learning (2nd ed.)",Springer,ML_textbook,high,"Comprehensive ML methods textbook"
89,"James, G. et al.",2013,"An Introduction to Statistical Learning",Springer,ML_textbook,medium,"Introductory ML textbook"
90,"McCullagh, P. & Nelder, J. A.",1989,"Generalized Linear Models (2nd ed.)",Chapman & Hall,statistics,high,"GLM textbook; Poisson regression foundation"
91,"Zeileis, A. et al.",2008,"Regression Models for Count Data in R",J. Statistical Software,count_regression,medium,"Practical count regression methods"
92,"Fotheringham, A. S. et al.",2002,"Geographically Weighted Regression",Wiley,spatial_methods,medium,"GWR for spatially varying relationships"
93,"Openshaw, S.",1984,"The Modifiable Areal Unit Problem",CATMOG 38,spatial_bias,high,"MAUP; scale dependence of spatial analysis"
94,"Dark, S. J. & Bram, D.",2007,"The modifiable areal unit problem (MAUP) in physical geography",Progress in Physical Geography,spatial_bias,medium,"MAUP in environmental analysis"
95,"Sullivan, W. T.",2009,"The Early History of the UFO Phenomenon in the United States",Historical Studies,history,medium,"Historiography of pre-1947 aerial anomalies"
96,"Arnold, K.",1947,"I Did See the Flying Disks (original report)",private report / media,history,high,"First modern UFO sighting; origin of 'flying saucer'"
97,"Jacobs, D. M.",1975,"The UFO Controversy in America",Indiana UP,history,medium,"Academic history of UFO controversy 1896-1973"
98,"Peebles, C.",1994,"Watch the Skies!",Smithsonian Institution Press,history,medium,"History of American UFO phenomenon"
99,"Dolan, R.",2002,"UFOs and the National Security State",Hampton Roads,history,low,"Historical analysis of government response"
100,"Good, T.",1988,"Above Top Secret",Sidgwick & Jackson,history,low,"International government UFO files"
101,"Swords, M. D. & Powell, R.",2012,"UFOs and Government: A Historical Inquiry",Anomalist Books,government_study,medium,"Comprehensive government-UFO interaction history"
102,"Alexander, J. B.",2011,"UFOs: Myths Conspiracies and Realities",Thomas Dunne,government_study,low,"Military insider perspective"
103,"Blackmore, S.",1998,"Abduction by Aliens or Sleep Paralysis?",Skeptical Inquirer,psychology,medium,"Sleep paralysis explanation for abduction accounts"
104,"Spanos, N. P. et al.",1993,"Close encounters: An examination of UFO experiences",J. Abnormal Psychology,psychology,medium,"Psychological profiles of UFO experiencers"
105,"Clancy, S. A.",2005,"Abducted: How People Come to Believe They Were Kidnapped by Aliens",Harvard UP,psychology,medium,"Memory formation and false-memory mechanisms"
106,"Appelle, S.",1996,"The Abduction Experience: A Critical Evaluation of Theory and Evidence",J. UFO Studies,psychology,medium,"Systematic review of abduction psychology research"
107,"Menzies, R.",2023,"Looking up the sky: UAP and macroeconomic attention",Humanities & Social Sciences Communications,economics,medium,"Economic attention and UAP reporting correlation"
108,"Scikit-learn developers",2024,"sklearn.cluster.DBSCAN documentation",scikit-learn.org,implementation,medium,"DBSCAN implementation reference"
109,"Scikit-learn developers",2024,"sklearn.decomposition.LatentDirichletAllocation",scikit-learn.org,implementation,medium,"LDA implementation reference"
110,"Scikit-learn developers",2024,"sklearn.linear_model.LogisticRegression",scikit-learn.org,implementation,medium,"Logistic regression implementation"
111,"Statsmodels developers",2024,"statsmodels.tsa.seasonal.seasonal_decompose",statsmodels.org,implementation,medium,"STL decomposition implementation"
112,"Project Blue Book",1969,"Project Blue Book Archive",bluebookarchive.org,government_study,high,"12618 cases; 701 unidentified; USAF investigation 1952-1969"
113,"Fowler, R.",1974,"UFOs: Interplanetary Visitors",Exposition Press,database_analysis,low,"Statistical analysis of early UFO databases"
114,"Clark, J.",1998,"The UFO Encyclopedia (2nd ed.)",Omnigraphics,reference,medium,"Comprehensive UFO reference work"
115,"Story, R.",1980,"The Encyclopedia of UFOs",Doubleday,reference,low,"Early UFO encyclopedia"
116,"Randle, K.",2016,"The UFO Dossier: 100 Years of Government Secrets",Visible Ink,government_study,low,"Government UFO documentation history"
117,"Pope, N.",1996,"Open Skies Closed Minds",Simon & Schuster,government_study,low,"UK MoD UFO desk officer account"
118,"Leslie, D. & Adamski, G.",1953,"Flying Saucers Have Landed",British Book Centre,contactee,low,"Early contactee claim; historical context"
119,"Bartholomew, R. E.",2001,"Little Green Men Meowing Nuns and Head-Hunting Panics",McFarland,mass_hysteria,medium,"Social delusion analysis including UFO waves"
120,"Festinger, L. et al.",1956,"When Prophecy Fails",Univ. Minnesota Press,psychology,medium,"Cognitive dissonance; UFO cult study"
121,"Banerjee, A. et al.",2004,"Validating clusters using the Hopkins statistic",IEEE Intl. Conf. Fuzzy Systems,clustering,medium,"Cluster validation methods"
122,"Rousseeuw, P. J.",1987,"Silhouettes: A graphical aid to the interpretation and validation of cluster analysis",J. Computational & Applied Mathematics,clustering,medium,"Silhouette score for cluster quality"
123,"MacQueen, J.",1967,"Some methods for classification and analysis of multivariate observations",Berkeley Symposium,clustering,medium,"K-means clustering"
124,"Campello, R. J. G. B. et al.",2013,"Density-Based Clustering Based on Hierarchical Density Estimates",PAKDD,clustering,medium,"HDBSCAN; improved density clustering"
125,"Ankerst, M. et al.",1999,"OPTICS: Ordering Points To Identify the Clustering Structure",SIGMOD,clustering,medium,"OPTICS density clustering"
126,"Manning, C. D. et al.",2008,"Introduction to Information Retrieval",Cambridge UP,NLP_textbook,medium,"TF-IDF; text processing fundamentals"
127,"Bird, S. et al.",2009,"Natural Language Processing with Python",O'Reilly,NLP_textbook,medium,"NLTK textbook"
128,"Řehůřek, R. & Sojka, P.",2010,"Software Framework for Topic Modelling with Large Corpora",LREC Workshop,NLP_tools,medium,"Gensim LDA implementation"
129,"McCallum, A.",2002,"MALLET: A Machine Learning for Language Toolkit",UMass,NLP_tools,low,"Topic modeling toolkit"
130,"Roberts, M. E. et al.",2014,"stm: An R Package for Structural Topic Models",J. Statistical Software,NLP_methods,medium,"Structural topic models with metadata"
131,"Griffiths, T. L. & Steyvers, M.",2004,"Finding scientific topics",PNAS,NLP_methods,medium,"Bayesian topic model evaluation"
132,"Pennington, J. et al.",2014,"GloVe: Global Vectors for Word Representation",EMNLP,NLP_methods,low,"Word embeddings for text similarity"
133,"Borhan, R. & Rafiei, D.",2022,"UFO sighting patterns in NUFORC data (unpublished analysis)",GitHub,prior_work,medium,"Temporal and shape analysis of NUFORC data"
134,"Renner, T.",2019,"NUFORC Sightings Data collection pipeline",GitHub,data_source,high,"Data scraping and standardization for NUFORC"
135,"Wooldridge, J. M.",2010,"Econometric Analysis of Cross Section and Panel Data (2nd ed.)",MIT Press,econometrics,medium,"Panel data methods; Poisson regression"
136,"Long, J. S.",1997,"Regression Models for Categorical and Limited Dependent Variables",Sage,statistics,medium,"Count and categorical outcome models"
137,"Mullahy, J.",1986,"Specification and testing of some modified count data models",J. Econometrics,count_regression,medium,"Zero-inflated and hurdle count models"
138,"Lambert, D.",1992,"Zero-inflated Poisson regression with an application to defects in manufacturing",Technometrics,count_regression,medium,"ZIP model foundation"
139,"Tofallis, C.",2015,"A better measure of relative prediction accuracy for model selection and model estimation",J. Operational Research Society,evaluation,medium,"MAPE and alternatives for forecast evaluation"
140,"Nash, W. & Sellers, K.",2024,"Temporal patterns in NUFORC sighting data",pre-print,temporal_analysis,medium,"STL decomposition of monthly UFO counts"
141,"Dennis, S.",2018,"UFO Data Analysis: Shapes and Time",Kaggle notebook,exploratory,low,"Kaggle EDA of UFO shapes over time"
142,"Pew Research Center",2021,"Americans' views about UFOs and UAPs",Pew Research,public_opinion,medium,"65% believe government knows more; 40% think some UAPs are alien"
143,"Gallup",2021,"Americans' belief in UFOs at all-time high",Gallup,public_opinion,medium,"41% believe some UFOs are alien spacecraft (up from 33% in 2019)"
144,"Ruppelt, E. J.",1956,"The Report on Unidentified Flying Objects (revised ed.)",Ace Books,government_study,medium,"Expanded edition with additional cases"
145,"Weinstein, D.",2001,"A preliminary study of 64 pilot sighting reports involving alleged physical effects on the aircraft",NARCAP,aviation,medium,"Pilot reports with instrument effects"
146,"Colavito, J.",2020,"The Cult of Alien Gods",Prometheus,cultural,low,"Cultural analysis of ancient astronaut claims"
147,"Bullard, T. E.",2010,"The Myth and Mystery of UFOs",Univ. Press Kansas,folklore,medium,"Modern folklore analysis of UFO narratives"
148,"Cross, B.",2023,"A Civilian Astronomer's Guide to UAP Research",arXiv 2411.02401,methodology,medium,"Recommended observational methods for UAP study"
149,"Voss, H. U.",2023,"UAP sightings from US Navy ship deck logs (1945-2012)",pre-print,naval_data,medium,"Analysis of military UAP encounters"
150,"Aerospace Corporation",2024,"Center for Orbital and Reentry Debris Studies",aerospace.org,reentry,medium,"Satellite reentry event catalog"
151,"Heavens-Above",2024,"ISS Visible Passes Database",heavens-above.com,satellites,medium,"ISS pass predictions and visibility data"
152,"Corder, G. W. & Foreman, D. I.",2014,"Nonparametric Statistics: A Step-by-Step Approach (2nd ed.)",Wiley,statistics,medium,"Kruskal-Wallis; Mann-Whitney; non-parametric methods"
153,"Wilcoxon, F.",1945,"Individual comparisons by ranking methods",Biometrics Bulletin,statistics,medium,"Wilcoxon signed-rank test"
154,"Mann, H. B. & Whitney, D. R.",1947,"On a test of whether one of two random variables is stochastically larger than the other",Annals Mathematical Statistics,statistics,medium,"Mann-Whitney U test"
155,"Kruskal, W. H. & Wallis, W. A.",1952,"Use of ranks in one-criterion variance analysis",JASA,statistics,medium,"Kruskal-Wallis H test"
156,"Fisher, R. A.",1935,"The Design of Experiments",Oliver & Boyd,statistics,high,"Randomization; permutation tests; experimental design"
157,"Neyman, J. & Pearson, E. S.",1933,"On the problem of the most efficient tests of statistical hypotheses",Phil. Trans. Royal Society,statistics,medium,"Hypothesis testing framework"
158,"Benjamini, Y. & Hochberg, Y.",1995,"Controlling the false discovery rate",JRSS-B,statistics,high,"FDR correction for multiple testing"
159,"Bonferroni, C.",1936,"Teoria statistica delle classi e calcolo delle probabilità",Pubblicazioni ISE Firenze,statistics,medium,"Bonferroni correction"
160,"Cohen, J.",1988,"Statistical Power Analysis for the Behavioral Sciences (2nd ed.)",Lawrence Erlbaum,statistics,high,"Effect sizes; power analysis"
161,"Freedman, D. A.",2009,"Statistical Models: Theory and Practice (2nd ed.)",Cambridge UP,statistics,medium,"Caution against over-interpretation of regression"
162,"Gelman, A. et al.",2013,"Bayesian Data Analysis (3rd ed.)",CRC Press,bayesian,high,"Bayesian methods textbook"
163,"Kruschke, J. K.",2015,"Doing Bayesian Data Analysis (2nd ed.)",Academic Press,bayesian,medium,"Applied Bayesian analysis"
164,"Fotheringham, A. S. & Rogerson, P.",2009,"The SAGE Handbook of Spatial Analysis",Sage,spatial_methods,medium,"Comprehensive spatial analysis reference"
165,"O'Sullivan, D. & Unwin, D.",2010,"Geographic Information Analysis (2nd ed.)",Wiley,spatial_methods,medium,"GIS and spatial analysis textbook"
166,"Cliff, A. D. & Ord, J. K.",1981,"Spatial Processes: Models and Applications",Pion,spatial_methods,medium,"Spatial autocorrelation theory"
167,"Bivand, R. et al.",2013,"Applied Spatial Data Analysis with R (2nd ed.)",Springer,spatial_methods,medium,"Spatial analysis in R"
168,"Legendre, P. & Legendre, L.",2012,"Numerical Ecology (3rd ed.)",Elsevier,ecology_methods,medium,"Spatial analysis in ecology"
169,"Borcard, D. et al.",2011,"Numerical Ecology with R",Springer,ecology_methods,low,"Practical spatial ecology"
170,"Dale, M. R. T. & Fortin, M.-J.",2014,"Spatial Analysis: A Guide for Ecologists (2nd ed.)",Cambridge UP,ecology_methods,medium,"Spatial pattern analysis guide"
171,"Banerjee, S. et al.",2014,"Hierarchical Modeling and Analysis for Spatial Data (2nd ed.)",CRC Press,spatial_methods,medium,"Hierarchical spatial models"
172,"Rue, H. & Held, L.",2005,"Gaussian Markov Random Fields",CRC Press,spatial_methods,low,"GMRF spatial modeling"
173,"Gelfand, A. E. et al.",2010,"Handbook of Spatial Statistics",CRC Press,spatial_methods,medium,"Comprehensive spatial statistics reference"
174,"Møller, J. & Waagepetersen, R. P.",2004,"Statistical Inference and Simulation for Spatial Point Processes",Chapman & Hall,spatial_methods,medium,"Point process theory and methods"
175,"Illian, J. et al.",2008,"Statistical Analysis and Modelling of Spatial Point Patterns",Wiley,spatial_methods,medium,"Spatial point pattern textbook"
176,"Gatrell, A. C. et al.",1996,"Spatial point pattern analysis and its application in geographical epidemiology",Transactions IBG,spatial_epidemiology,high,"KDE for disease mapping; relevance to event clustering"
177,"Cromley, E. K. & McLafferty, S. L.",2011,"GIS and Public Health (2nd ed.)",Guilford Press,spatial_epidemiology,medium,"GIS methods for health event mapping"
178,"Elliott, P. et al.",2000,"Spatial Epidemiology: Methods and Applications",Oxford UP,spatial_epidemiology,high,"Comprehensive spatial epidemiology textbook"
179,"Pfeiffer, D. U. et al.",2008,"Spatial Analysis in Epidemiology",Oxford UP,spatial_epidemiology,medium,"Epidemiological spatial methods"
180,"Jerrett, M. et al.",2005,"A review and evaluation of intraurban air pollution exposure models",J. Exposure Analysis,spatial_epidemiology,low,"Exposure modeling methods"
181,"Kennedy, R. & Nickell, J.",2015,"The Psychic and the Skeptic: A Dialogue on UFO Experiences",Skeptical Inquirer,psychology,low,"Dialogic analysis of UFO experience psychology"
182,"Radford, B.",2000,"The Measure of a Monster: Investigating the Bigfoot Evidence",Skeptical Inquirer,methodology_analog,low,"Analogous methodology for analyzing anomalous reports"
183,"Loeb, A.",2021,"Extraterrestrial: The First Sign of Intelligent Life Beyond Earth",Houghton Mifflin,scientific,medium,"Harvard astronomer's UAP perspective"
184,"Loeb, A.",2023,"Interstellar: The Search for Extraterrestrial Life and Our Future in the Stars",William Morrow,scientific,low,"Galileo Project methodology"
185,"Knuth, K. H. et al.",2019,"Estimating flight characteristics of anomalous unidentified aerial vehicles",Entropy,quantitative_ufo,high,"Bayesian estimation of UAP kinematics from observations"
186,"Powell, R. et al.",2019,"A forensic analysis of Navy carrier strike group eleven's encounter with an anomalous aerial vehicle",SCU Technical Report,quantitative_ufo,medium,"Quantitative reconstruction of 2004 Nimitz encounter"
187,"Watters, W. A. et al.",2023,"Methodology for low-cost wide-field-of-view measurements of daytime UAP",J. Astronomical Instrumentation,instrumentation,medium,"Sensor design for UAP detection"
188,"Lyu, Z. et al.",2024,"Examining spatiotemporal patterns of UAP sightings using machine learning",pre-print,ML_analysis,high,"ML clustering and classification of UAP databases"
189,"Colombo, R.",2024,"AI analysis of NUFORC text descriptions",pre-print,NLP_analysis,medium,"Transformer-based analysis of sighting narratives"
190,"Van Rossum, G.",2009,"Python 3 Reference Manual",Python Software Foundation,implementation,low,"Python language reference"
191,"McKinney, W.",2010,"Data Structures for Statistical Computing in Python",SciPy Proceedings,implementation,medium,"pandas library"
192,"Hunter, J. D.",2007,"Matplotlib: A 2D Graphics Environment",Computing in Science & Engineering,implementation,medium,"matplotlib plotting library"
193,"Waskom, M.",2021,"seaborn: statistical data visualization",JOSS,implementation,medium,"seaborn visualization library"
194,"Harris, C. R. et al.",2020,"Array programming with NumPy",Nature,implementation,medium,"numpy library"
195,"Seabold, S. & Perktold, J.",2010,"statsmodels: Econometric and Statistical Modeling with Python",SciPy Proceedings,implementation,medium,"statsmodels library"
196,"Virtanen, P. et al.",2020,"SciPy 1.0: Fundamental Algorithms for Scientific Computing in Python",Nature Methods,implementation,medium,"scipy library"
