experiment_id	description	metric	value	status	interaction	notes
E32	Overdispersion: Poisson vs NB	dispersion_ratio	719.3	KEEP	False	poisson_aic=47344; nb_aic=909; nb_coef=0.7338
E32	Overdispersion: Poisson vs NB	dispersion_ratio	719.3	KEEP	False	poisson_aic=47344; nb_aic=909; nb_coef=0.7338
E33	Cultural indicators (text mention vs shape)	saucer_disk_r	0.9095	KEEP	False	p=0.0000; orb_orb_r=0.9604
E34	State-level formation (Starlink era)	latitude_formation_r	-0.0372	KEEP	False	p=0.7977; top_state=WY
E30	Internet adoption correlation (growth 1990-2014)	pearson_r	0.9075	KEEP	False	p=3.91e-10; spearman_rho=0.9492; full_period_r=0.7220
E31	Starlink ITS (formation fraction)	intercept_shift_p	0.0	KEEP	False	shift=0.0634; abs_ratio=1.30; frac_ratio=1.23
E32	Overdispersion: Poisson vs NB	dispersion_ratio	719.3	KEEP	False	poisson_aic=47344; nb_aic=909; nb_coef=0.7338
E33	Cultural indicators (text mention vs shape)	saucer_disk_r	0.9095	KEEP	False	p=0.0000; orb_orb_r=0.9604
E34	State-level formation (Starlink era)	latitude_formation_r	-0.0372	KEEP	False	p=0.7977; top_state=WY
E30	Internet adoption correlation (growth 1990-2014)	pearson_r	0.9075	KEEP	False	p=3.91e-10; spearman_rho=0.9492; full_period_r=0.7220
E30	Internet adoption correlation (growth 1990-2014)	pearson_r	0.9075	KEEP	False	p=3.91e-10; spearman_rho=0.9492; full_period_r=0.7220
E31	Starlink ITS (formation fraction)	intercept_shift_p	0.0	KEEP	False	shift=0.0634; abs_ratio=1.30; frac_ratio=1.23
E31	Starlink ITS (formation fraction)	intercept_shift_p	0.0	KEEP	False	shift=0.0634; abs_ratio=1.30; frac_ratio=1.23
E32	Overdispersion: Poisson vs NB	dispersion_ratio	719.3	KEEP	False	poisson_aic=47344; nb_aic=909; nb_coef=0.7338
E32	Overdispersion: Poisson vs NB	dispersion_ratio	719.3	KEEP	False	poisson_aic=47344; nb_aic=909; nb_coef=0.7338
E33	Cultural indicators (text mention vs shape)	saucer_disk_r	0.9095	KEEP	False	p=0.0000; orb_orb_r=0.9604
E34	State-level formation (Starlink era)	latitude_formation_r	-0.0372	KEEP	False	p=0.7977; top_state=WY
